run_id,timestamp,backbone,mask_position,n_frames,gap_type,tile_id,masked_frame_idx,gap_days,mae,psnr,ssim,loss,mask_ratio,checkpoint
run_20260403_172110_tiny_middle_T3_regular,2026-04-03T17:21:10.678828,tiny,middle,3,regular,tile_mexico_2018,1,"[80, 160]",0.084959,19.432,0.71076,0.56584,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172113_tiny_middle_T3_irregular,2026-04-03T17:21:13.196658,tiny,middle,3,irregular,tile_mexico_2018,1,"[80, 160]",0.084959,19.432,0.71076,0.56584,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172115_tiny_middle_T4_regular,2026-04-03T17:21:15.844205,tiny,middle,4,regular,tile_mexico_2018,1,"[80, 95, 65]",0.077848,20.2581,0.71772,0.577776,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172118_tiny_middle_T4_irregular,2026-04-03T17:21:18.415724,tiny,middle,4,irregular,tile_mexico_2018,1,"[80, 95, 65]",0.077848,20.2581,0.71772,0.577776,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172120_tiny_endpoint_T3_regular,2026-04-03T17:21:20.898574,tiny,endpoint,3,regular,tile_mexico_2018,2,"[80, 160]",0.054172,22.8331,0.688196,0.171984,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172122_tiny_endpoint_T3_irregular,2026-04-03T17:21:22.994092,tiny,endpoint,3,irregular,tile_mexico_2018,2,"[80, 160]",0.054172,22.8331,0.688196,0.171984,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172125_tiny_endpoint_T4_regular,2026-04-03T17:21:25.831315,tiny,endpoint,4,regular,tile_mexico_2018,3,"[80, 95, 65]",0.067079,21.4226,0.672588,0.352156,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172128_tiny_endpoint_T4_irregular,2026-04-03T17:21:28.451757,tiny,endpoint,4,irregular,tile_mexico_2018,3,"[80, 95, 65]",0.067079,21.4226,0.672588,0.352156,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_172134_100M_middle_T3_regular,2026-04-03T17:21:34.489375,100M,middle,3,regular,tile_mexico_2018,1,"[80, 160]",0.076609,20.9777,0.754114,0.441597,0.3333,Prithvi_EO_V2_100M_TL.pt
run_20260403_172137_100M_middle_T3_irregular,2026-04-03T17:21:37.967774,100M,middle,3,irregular,tile_mexico_2018,1,"[80, 160]",0.076609,20.9777,0.754114,0.441597,0.3333,Prithvi_EO_V2_100M_TL.pt
run_20260403_172142_100M_middle_T4_regular,2026-04-03T17:21:42.127819,100M,middle,4,regular,tile_mexico_2018,1,"[80, 95, 65]",0.05155,23.7734,0.806786,0.221966,0.25,Prithvi_EO_V2_100M_TL.pt
run_20260403_172144_100M_middle_T4_irregular,2026-04-03T17:21:44.539657,100M,middle,4,irregular,tile_mexico_2018,1,"[80, 95, 65]",0.05155,23.7734,0.806786,0.221966,0.25,Prithvi_EO_V2_100M_TL.pt
run_20260403_172146_100M_endpoint_T3_regular,2026-04-03T17:21:46.831333,100M,endpoint,3,regular,tile_mexico_2018,2,"[80, 160]",0.05944,22.1764,0.718416,0.331398,0.3333,Prithvi_EO_V2_100M_TL.pt
run_20260403_172149_100M_endpoint_T3_irregular,2026-04-03T17:21:49.117037,100M,endpoint,3,irregular,tile_mexico_2018,2,"[80, 160]",0.05944,22.1764,0.718416,0.331398,0.3333,Prithvi_EO_V2_100M_TL.pt
run_20260403_172151_100M_endpoint_T4_regular,2026-04-03T17:21:51.522629,100M,endpoint,4,regular,tile_mexico_2018,3,"[80, 95, 65]",0.044964,24.6253,0.750108,0.176022,0.25,Prithvi_EO_V2_100M_TL.pt
run_20260403_172153_100M_endpoint_T4_irregular,2026-04-03T17:21:53.937048,100M,endpoint,4,irregular,tile_mexico_2018,3,"[80, 95, 65]",0.044964,24.6253,0.750108,0.176022,0.25,Prithvi_EO_V2_100M_TL.pt
run_20260403_172200_300M_middle_T3_regular,2026-04-03T17:22:00.923959,300M,middle,3,regular,tile_mexico_2018,1,"[80, 160]",0.042554,25.1004,0.825274,0.166562,0.3333,Prithvi_EO_V2_300M_TL.pt
run_20260403_172206_300M_middle_T3_irregular,2026-04-03T17:22:06.974265,300M,middle,3,irregular,tile_mexico_2018,1,"[80, 160]",0.042554,25.1004,0.825274,0.166562,0.3333,Prithvi_EO_V2_300M_TL.pt
run_20260403_172213_300M_middle_T4_regular,2026-04-03T17:22:13.181670,300M,middle,4,regular,tile_mexico_2018,1,"[80, 95, 65]",0.026956,27.0386,0.841101,0.098904,0.25,Prithvi_EO_V2_300M_TL.pt
run_20260403_172219_300M_middle_T4_irregular,2026-04-03T17:22:19.337372,300M,middle,4,irregular,tile_mexico_2018,1,"[80, 95, 65]",0.026956,27.0386,0.841101,0.098904,0.25,Prithvi_EO_V2_300M_TL.pt
