tile,mask_type,streak_column,streak_zscore,flagged
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,,2.425623786090185,False
PACE_OCI.20240710T013002.L1B.V3_image_202,scattered,,2.346454234811209,False
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,,2.4914047914290145,False
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,,2.2389094753233683,False
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,,1.7411734397148804,False
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,,1.7199577855088417,False
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,11,3.691900762854729,True
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,11,3.591349023105936,True
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,11,5.4839268602088715,True
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,10,4.9082359503822826,True
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,,2.006785190060307,False
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,,1.8381162680168273,False
PACE_OCI.20250428T063402.L1B.V3_image_123,contiguous,,1.2408653442559618,False
PACE_OCI.20250428T063402.L1B.V3_image_123,scattered,,2.694850399349264,False
PACE_OCI.20250220T002538.L1B.V3_image_111,contiguous,,1.2431891290398198,False
PACE_OCI.20250220T002538.L1B.V3_image_111,scattered,,1.2530798448459266,False
PACE_OCI.20240510T003914.L1B.V3_image_087,contiguous,,2.2829553012118784,False
PACE_OCI.20240510T003914.L1B.V3_image_087,scattered,,1.824166976411048,False
PACE_OCI.20250220T002538.L1B.V3_image_113,contiguous,,1.6492327629029142,False
PACE_OCI.20250220T002538.L1B.V3_image_113,scattered,,1.6684159927535684,False
PACE_OCI.20240510T003914.L1B.V3_image_178,contiguous,,2.535256921625197,False
PACE_OCI.20240510T003914.L1B.V3_image_178,scattered,,2.3243886787567787,False
PACE_OCI.20250220T002538.L1B.V3_image_115,contiguous,,1.8993180641493446,False
PACE_OCI.20250220T002538.L1B.V3_image_115,scattered,,2.003542071622146,False
PACE_OCI.20240510T003914.L1B.V3_image_200,contiguous,,2.326823929124548,False
PACE_OCI.20240510T003914.L1B.V3_image_200,scattered,,2.4898732989503447,False
PACE_OCI.20250220T002538.L1B.V3_image_118,contiguous,,2.207152143112375,False
PACE_OCI.20250220T002538.L1B.V3_image_118,scattered,,2.113586901751711,False
PACE_OCI.20240510T003914.L1B.V3_image_217,contiguous,,2.831156150397675,False
PACE_OCI.20240510T003914.L1B.V3_image_217,scattered,,2.7741934499327954,False
PACE_OCI.20250220T002538.L1B.V3_image_120,contiguous,,1.7054343177566138,False
PACE_OCI.20250220T002538.L1B.V3_image_120,scattered,,1.5490717831588294,False
PACE_OCI.20240510T004414.L1B.V3_image_006,contiguous,,2.541679002190997,False
PACE_OCI.20240510T004414.L1B.V3_image_006,scattered,95,3.1604330306227753,True
PACE_OCI.20250220T002538.L1B.V3_image_122,contiguous,,1.8949190388465749,False
PACE_OCI.20250220T002538.L1B.V3_image_122,scattered,,1.7698335957603861,False
PACE_OCI.20240510T004414.L1B.V3_image_120,contiguous,,1.9992765059878734,False
PACE_OCI.20240510T004414.L1B.V3_image_120,scattered,73,3.3558373870135605,True
PACE_OCI.20250220T002538.L1B.V3_image_124,contiguous,,2.9081085484524163,False
PACE_OCI.20250220T002538.L1B.V3_image_124,scattered,94,3.8492016303158243,True
