tile,variance_score,mean_radiance
cvpr_dataset/hsi/PACE_OCI.20250228T112333.L1B.V3_image_139.npy,0.05539,0.17644
cvpr_dataset/hsi/PACE_OCI.20241210T005032.L1B.V3_image_146.npy,0.07572,0.09191
cvpr_dataset/hsi/PACE_OCI.20240510T004914.L1B.V3_image_157.npy,0.07887,0.08226
cvpr_dataset/hsi/PACE_OCI.20241110T014536.L1B.V3_image_157.npy,0.08095,0.09336
cvpr_dataset/hsi/PACE_OCI.20240510T004914.L1B.V3_image_094.npy,0.08209,0.09835
cvpr_dataset/hsi/PACE_OCI.20250220T013900.L1B.V3_image_213.npy,0.08455,0.13566
cvpr_dataset/hsi/PACE_OCI.20250320T001644.L1B.V3_image_148.npy,0.08645,0.08969
cvpr_dataset/hsi/PACE_OCI.20240911T131402.L1B.V3_image_142.npy,0.08767,0.33646
cvpr_dataset/hsi/PACE_OCI.20250320T001144.L1B.V3_image_203.npy,0.08838,0.11481
cvpr_dataset/hsi/PACE_OCI.20250320T001144.L1B.V3_image_059.npy,0.09017,0.10654
cvpr_dataset/hsi/PACE_OCI.20240911T132402.L1B.V3_image_194.npy,0.09208,0.36588
cvpr_dataset/hsi/PACE_OCI.20240610T004214.L1B.V3_image_136.npy,0.09378,0.10257
cvpr_dataset/hsi/PACE_OCI.20250320T000644.L1B.V3_image_201.npy,0.09514,0.09848
cvpr_dataset/hsi/PACE_OCI.20250220T001538.L1B.V3_image_119.npy,0.09594,0.09495
cvpr_dataset/hsi/PACE_OCI.20240710T000144.L1B.V3_image_153.npy,0.09716,0.10099
cvpr_dataset/hsi/PACE_OCI.20250220T001038.L1B.V3_image_185.npy,0.09770,0.09826
cvpr_dataset/hsi/PACE_OCI.20250320T002144.L1B.V3_image_097.npy,0.09862,0.11566
cvpr_dataset/hsi/PACE_OCI.20250228T063326.L1B.V3_image_135.npy,0.09967,0.21462
cvpr_dataset/hsi/PACE_OCI.20241110T013036.L1B.V3_image_085.npy,0.10046,0.51529
cvpr_dataset/hsi/PACE_OCI.20250320T001644.L1B.V3_image_117.npy,0.10175,0.12295
cvpr_dataset/hsi/PACE_OCI.20241010T002339.L1B.V3_image_106.npy,0.10245,0.21009
cvpr_dataset/hsi/PACE_OCI.20240911T130402.L1B.V3_image_056.npy,0.10273,0.76609
cvpr_dataset/hsi/PACE_OCI.20240911T132902.L1B.V3_image_017.npy,0.10450,0.09750
cvpr_dataset/hsi/PACE_OCI.20250320T000644.L1B.V3_image_049.npy,0.10586,0.11488
cvpr_dataset/hsi/PACE_OCI.20241010T000839.L1B.V3_image_154.npy,0.10778,0.62282
cvpr_dataset/hsi/PACE_OCI.20240911T144219.L1B.V3_image_095.npy,0.10872,0.60994
cvpr_dataset/hsi/PACE_OCI.20250320T001644.L1B.V3_image_200.npy,0.11020,0.11188
cvpr_dataset/hsi/PACE_OCI.20240610T003714.L1B.V3_image_185.npy,0.11116,0.18397
cvpr_dataset/hsi/PACE_OCI.20250320T002644.L1B.V3_image_007.npy,0.11177,0.38023
cvpr_dataset/hsi/PACE_OCI.20250320T001144.L1B.V3_image_095.npy,0.11236,0.11551
cvpr_dataset/hsi/PACE_OCI.20250220T000538.L1B.V3_image_151.npy,0.11346,0.10983
cvpr_dataset/hsi/PACE_OCI.20250220T000538.L1B.V3_image_116.npy,0.11433,0.15551
cvpr_dataset/hsi/PACE_OCI.20250320T000144.L1B.V3_image_021.npy,0.11523,0.59422
cvpr_dataset/hsi/PACE_OCI.20250110T002016.L1B.V3_image_138.npy,0.11637,0.55290
cvpr_dataset/hsi/PACE_OCI.20250110T003016.L1B.V3_image_111.npy,0.11748,0.41418
cvpr_dataset/hsi/PACE_OCI.20240710T014502.L1B.V3_image_061.npy,0.11823,0.12877
cvpr_dataset/hsi/PACE_OCI.20240810T015042.L1B.V3_image_062.npy,0.11912,0.56827
cvpr_dataset/hsi/PACE_OCI.20241110T001719.L1B.V3_image_096.npy,0.12003,0.14834
cvpr_dataset/hsi/PACE_OCI.20250220T000538.L1B.V3_image_193.npy,0.12144,0.13623
cvpr_dataset/hsi/PACE_OCI.20250220T000538.L1B.V3_image_219.npy,0.12180,0.13170
cvpr_dataset/hsi/PACE_OCI.20250228T123655.L1B.V3_image_123.npy,0.12273,0.66710
cvpr_dataset/hsi/PACE_OCI.20240810T001224.L1B.V3_image_123.npy,0.12298,0.53518
cvpr_dataset/hsi/PACE_OCI.20240710T014002.L1B.V3_image_139.npy,0.12466,0.11361
cvpr_dataset/hsi/PACE_OCI.20240810T011542.L1B.V3_image_137.npy,0.12510,0.12176
cvpr_dataset/hsi/PACE_OCI.20250110T005016.L1B.V3_image_135.npy,0.12604,0.12986
cvpr_dataset/hsi/PACE_OCI.20240710T012502.L1B.V3_image_016.npy,0.12679,0.53692
cvpr_dataset/hsi/PACE_OCI.20250428T102545.L1B.V3_image_158.npy,0.12771,0.74569
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_136.npy,0.12930,0.47314
cvpr_dataset/hsi/PACE_OCI.20250320T000644.L1B.V3_image_128.npy,0.13059,0.13150
cvpr_dataset/hsi/PACE_OCI.20250320T001644.L1B.V3_image_205.npy,0.13275,0.13968
cvpr_dataset/hsi/PACE_OCI.20250220T014900.L1B.V3_image_078.npy,0.13422,0.20014
cvpr_dataset/hsi/PACE_OCI.20240710T002144.L1B.V3_image_171.npy,0.13470,0.47539
cvpr_dataset/hsi/PACE_OCI.20240911T133902.L1B.V3_image_020.npy,0.13571,0.13788
cvpr_dataset/hsi/PACE_OCI.20240510T021733.L1B.V3_image_069.npy,0.13638,0.33268
cvpr_dataset/hsi/PACE_OCI.20250320T000144.L1B.V3_image_125.npy,0.13714,0.38760
cvpr_dataset/hsi/PACE_OCI.20250320T003644.L1B.V3_image_026.npy,0.13827,0.73807
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_080.npy,0.13996,0.62123
cvpr_dataset/hsi/PACE_OCI.20250320T003144.L1B.V3_image_150.npy,0.14119,0.72193
cvpr_dataset/hsi/PACE_OCI.20250219T235538.L1B.V3_image_077.npy,0.14222,0.15368
cvpr_dataset/hsi/PACE_OCI.20250320T002144.L1B.V3_image_086.npy,0.14368,0.19559
cvpr_dataset/hsi/PACE_OCI.20250320T002144.L1B.V3_image_010.npy,0.14462,0.15576
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_212.npy,0.14585,0.63520
cvpr_dataset/hsi/PACE_OCI.20241210T003032.L1B.V3_image_034.npy,0.14692,0.75464
cvpr_dataset/hsi/PACE_OCI.20250228T032142.L1B.V3_image_155.npy,0.14804,0.21898
cvpr_dataset/hsi/PACE_OCI.20240709T235644.L1B.V3_image_021.npy,0.14884,0.19724
cvpr_dataset/hsi/PACE_OCI.20250228T064326.L1B.V3_image_199.npy,0.14988,0.59544
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_191.npy,0.15114,0.69383
cvpr_dataset/hsi/PACE_OCI.20250220T000038.L1B.V3_image_088.npy,0.15325,0.17080
cvpr_dataset/hsi/PACE_OCI.20250320T003644.L1B.V3_image_056.npy,0.15519,0.58230
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_163.npy,0.15716,0.65911
cvpr_dataset/hsi/PACE_OCI.20250228T100511.L1B.V3_image_028.npy,0.15808,0.23729
cvpr_dataset/hsi/PACE_OCI.20240510T002914.L1B.V3_image_045.npy,0.15932,0.20583
cvpr_dataset/hsi/PACE_OCI.20250320T003144.L1B.V3_image_156.npy,0.16054,0.63729
cvpr_dataset/hsi/PACE_OCI.20250220T001538.L1B.V3_image_166.npy,0.16237,0.36812
cvpr_dataset/hsi/PACE_OCI.20250320T003144.L1B.V3_image_124.npy,0.16495,0.76069
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_215.npy,0.16597,0.68834
cvpr_dataset/hsi/PACE_OCI.20241010T004839.L1B.V3_image_131.npy,0.16655,0.55630
cvpr_dataset/hsi/PACE_OCI.20240610T021033.L1B.V3_image_157.npy,0.16721,0.27408
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_192.npy,0.16805,0.59896
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_200.npy,0.16948,0.63480
cvpr_dataset/hsi/PACE_OCI.20250320T003644.L1B.V3_image_018.npy,0.17021,0.52766
cvpr_dataset/hsi/PACE_OCI.20250320T002644.L1B.V3_image_197.npy,0.17167,0.35900
cvpr_dataset/hsi/PACE_OCI.20250428T131228.L1B.V3_image_122.npy,0.17267,0.17219
cvpr_dataset/hsi/PACE_OCI.20241210T002532.L1B.V3_image_139.npy,0.17433,0.57301
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_122.npy,0.17578,0.56296
cvpr_dataset/hsi/PACE_OCI.20241010T015156.L1B.V3_image_090.npy,0.17833,0.38391
cvpr_dataset/hsi/PACE_OCI.20241210T002532.L1B.V3_image_126.npy,0.18058,0.58734
cvpr_dataset/hsi/PACE_OCI.20240510T020733.L1B.V3_image_206.npy,0.18239,0.19543
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_203.npy,0.18378,0.70770
cvpr_dataset/hsi/PACE_OCI.20240610T020033.L1B.V3_image_206.npy,0.18669,0.50857
cvpr_dataset/hsi/PACE_OCI.20250428T233736.L1B.V3_image_078.npy,0.18820,0.73776
