tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,0,0.03828751,0.039423544,28.084887
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,1,0.029163945,0.031970758,29.904942
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,2,0.022975843,0.024847403,32.09438
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,3,0.03579452,0.037314925,28.562347
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,4,0.036939856,0.038434125,28.30566
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,5,0.041986797,0.04392506,27.145752
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,6,0.03876354,0.03983855,27.993929
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,7,0.026096735,0.02798424,31.06173
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,8,0.01371532,0.016990108,35.396076
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,9,0.03567687,0.03701543,28.632343
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,10,0.034814857,0.03634562,28.790958
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,11,0.03555357,0.038797397,28.22395
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,12,0.036360867,0.038330454,28.32912
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,13,0.031187015,0.03403243,29.36214
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,14,0.030656267,0.032642413,29.724354
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,15,0.02920408,0.031919662,29.918835
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,16,0.03418091,0.035779476,28.927322
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,17,0.028110415,0.030246329,30.386547
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,18,0.047325224,0.04918594,26.16318
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,19,0.031128801,0.03283926,29.67213
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,20,0.035373066,0.03707835,28.617592
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,21,0.03660478,0.038541913,28.281336
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,22,0.015857093,0.019179467,34.34327
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,23,0.039833512,0.042515256,27.429104
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,24,0.02928486,0.032027747,29.889471
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,25,0.022242755,0.024245406,32.30741
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,26,0.035944663,0.03769806,28.473621
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,27,0.047048915,0.048840567,26.224386
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,28,0.031935703,0.033601373,29.472858
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,29,0.033410024,0.035026804,29.111992
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,30,0.031133667,0.03284408,29.670858
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,31,0.01422344,0.017569192,35.104965
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,32,0.03632089,0.037561398,28.505165
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,33,0.03167285,0.033360288,29.535404
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,34,0.039434645,0.041331068,27.674467
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,35,0.044308253,0.045004472,26.934887
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,36,0.041994058,0.04392995,27.144785
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,37,0.047822837,0.04965865,26.080103
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,38,0.020199157,0.023750475,32.486553
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,39,0.02170313,0.023694597,32.507015
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,40,0.016811345,0.020081455,33.944096
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,41,0.032948986,0.03551762,28.991123
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,42,0.026000133,0.02801653,31.051712
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,43,0.04337057,0.045245085,26.88857
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,44,0.044326067,0.0450838,26.91959
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,45,0.042480342,0.04526782,26.884209
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,46,0.031688035,0.033362668,29.534786
