tile,tile_had_nan,trial,mask_type,mask_ratio,n_bands_masked,mae,rmse,psnr_db,n_values_excluded_nan,n_values_total
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,0,contiguous,0.2,58,0.03627111818567304,0.06562678935978368,23.65837684170499,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,0,scattered,0.2,58,0.0037742181046276223,0.009862650282904707,40.1201273227197,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,1,contiguous,0.2,58,0.03088636349300565,0.03629585939930346,28.802858321647562,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,1,scattered,0.2,58,0.017483142201377044,0.08232812350815641,21.689035665616416,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,2,contiguous,0.2,58,0.06777261496566958,0.08165523190234338,21.760319668999895,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,2,scattered,0.2,58,0.005169622721289951,0.015758621392116968,36.04963556939687,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,3,contiguous,0.2,58,0.012628890334405037,0.01880547333221023,34.514314618955595,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,3,scattered,0.2,58,0.005209164603739373,0.022498709923075805,32.95684767275244,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,4,contiguous,0.2,58,0.023250196388933456,0.027402640515837424,31.24415173176386,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,4,scattered,0.2,58,0.006683461556210553,0.026881918478825803,31.41079480534335,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,5,contiguous,0.2,58,0.04520172421959903,0.05321362998941704,25.47954228980035,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,5,scattered,0.2,58,0.00405516616426199,0.015571094626132407,36.15361712130422,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,6,contiguous,0.2,58,0.0169094826030467,0.020884556118250613,33.603495016493355,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,6,scattered,0.2,58,0.005299848989731787,0.018285415387461777,34.75790338802443,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,7,contiguous,0.2,58,0.0543546603877248,0.07488227421562728,22.512419486173798,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,7,scattered,0.2,58,0.004455618838369824,0.017511845965320842,35.13336142979084,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,8,contiguous,0.2,58,0.031586025325115494,0.06234319201177264,24.104219306628117,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,8,scattered,0.2,58,0.005538480922430465,0.017196745040744244,35.29107495093927,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,9,contiguous,0.2,58,0.018813397521844855,0.0239563391430042,32.411590947244356,0,534528
PACE_OCI.20240510T002414.L1B.V3_image_055.npy,False,9,scattered,0.2,58,0.004783350655823406,0.02413719594209343,32.346263680307096,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_087.npy,True,0,contiguous,0.2,58,0.006633062999693623,0.013969542659311072,37.096356235323775,1740,534528
