tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,0,0.01911087782448216,0.02090482636155445,33.59506870819999
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,1,0.022678245766072646,0.03160071023135313,30.006063128586806
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,2,0.018524500792749435,0.022970337837325182,32.776652347029255
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,3,0.004841211674204139,0.005424859519622974,45.31223007361629
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,4,0.005121339538047857,0.005734855943435897,44.8295497374919
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,5,0.03293509316720245,0.03718544837004034,28.59253955126672
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,6,0.01911087782448216,0.02090482636155445,33.59506870819999
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,7,0.027112181757072237,0.037839452169592516,28.441103196697313
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,8,0.008552404254105118,0.009978633821379482,40.01857828136767
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,9,0.018245796158340325,0.019868410428482787,34.03673754431922
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,10,0.004188194849183073,0.006156079685630675,44.213915344044096
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,11,0.08155276024166483,0.09413849706270211,20.524654791203535
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,12,0.020799150779569436,0.033593863987881806,29.47480080908339
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,13,0.02147417990037623,0.03301884858862299,29.62476150476315
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,14,0.03848338087645682,0.05122323345306453,25.81066020555937
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,15,0.021935335947093026,0.03143142531094879,30.052718494414584
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,16,0.0035601245798112806,0.00452861228520821,46.88069719244554
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,17,0.016635652678992047,0.017937920971975555,34.92455787324205
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,18,0.031404330515196956,0.03576469870401386,28.93090858545707
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,19,0.0033287186334692515,0.0038763473301059825,48.231546320814246
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,20,0.007904098523893496,0.009585462466231478,40.36773858073197
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,21,0.0033491721856321027,0.004262065119567198,47.4075983807862
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,22,0.012283976205371052,0.013549309664685096,37.361656629305024
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,23,0.023081211589962135,0.03973240836798999,28.017102190345998
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,24,0.022281865958209204,0.031477655097804716,30.03995255041111
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,25,0.018596494760202486,0.02299016030143505,32.769160011077254
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,26,0.0049868310966808705,0.005758317252510942,44.79408822986973
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,27,0.03765955722458261,0.04262424759171452,27.406865482992117
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,28,0.00650762245450509,0.00870346611441654,41.20615514398907
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,29,0.004500464327606589,0.005053925459995546,45.9274233549756
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,30,0.0033287186334692515,0.0038763473301059825,48.231546320814246
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,31,0.007307967109607403,0.00849932971846549,41.412306452890455
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,32,0.01826139862462496,0.019990153856250525,33.98367726554815
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,33,0.00873222925527113,0.01103615280987333,39.14364589559804
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,34,0.022031101204337083,0.03635586582484067,28.78851016111308
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,35,0.022688488596381555,0.02482569162927185,32.1019728694676
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,36,0.03293509316720245,0.03718544837004034,28.59253955126672
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,37,0.03412900445080478,0.03888087230425531,28.205280002140093
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,38,0.006132671337975615,0.006675280549404465,43.51060954009816
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,39,0.016576564260749143,0.020845287004602694,33.619842419813736
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,40,0.014031605711198292,0.015247492976476354,36.33603116042607
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,41,0.022006901815854584,0.03350756220505014,29.49714334983391
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,42,0.027112181757072237,0.037839452169592516,28.441103196697313
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,43,0.003627902840652702,0.004573067612567367,46.7958475510094
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,44,0.022644148071403608,0.024698970944144007,32.146422815446186
