tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,0,0.01911087782448216,0.02090482636155445,33.59506870819999,0.01911087782448216,0.02090482636155445,33.59506870819999,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,1,0.022678245766072646,0.03160071023135313,30.006063128586806,0.022678245766072646,0.03160071023135313,30.006063128586806,0.07119672850034883,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,2,0.018524500792749435,0.022970337837325182,32.776652347029255,0.018524500792749435,0.022970337837325182,32.776652347029255,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,3,0.004841211674204139,0.005424859519622974,45.31223007361629,0.004841211674204139,0.005424859519622974,45.31223007361629,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,4,0.005121339538047857,0.005734855943435897,44.8295497374919,0.005121339538047857,0.005734855943435897,44.8295497374919,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,5,0.03293509316720245,0.03718544837004034,28.59253955126672,0.03293509316720245,0.03718544837004034,28.59253955126672,0.050786293521407296,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,6,0.01911087782448216,0.02090482636155445,33.59506870819999,0.01911087782448216,0.02090482636155445,33.59506870819999,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,7,0.027112181757072237,0.037839452169592516,28.441103196697313,0.027112181757072237,0.037839452169592516,28.441103196697313,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,8,0.008552404254105118,0.009978633821379482,40.01857828136767,0.008552404254105118,0.009978633821379482,40.01857828136767,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,9,0.018245796158340325,0.019868410428482787,34.03673754431922,0.018245796158340325,0.019868410428482787,34.03673754431922,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,10,0.004188194849183073,0.006156079685630675,44.213915344044096,0.004188194849183073,0.006156079685630675,44.213915344044096,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,11,0.08155276024166483,0.09413849706270211,20.524654791203535,0.07346744189402618,0.07999857125834418,21.93835538520064,nan,0,0.22978359661503983,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,12,0.020799150779569436,0.033593863987881806,29.47480080908339,0.020799150779569436,0.033593863987881806,29.47480080908339,0.08468941581245738,7,nan,0,0.0017520143883302808,0.4716784954071045
