tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,0,0.020569522,0.02570898,31.798304
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,1,0.059973724,0.068811856,23.246735
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,2,0.045215838,0.051024437,25.844437
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,3,0.0318077,0.038142476,28.371822
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,4,0.029940456,0.036105845,28.84845
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,5,0.04387236,0.05018833,25.987946
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,6,0.020803872,0.025972024,31.709885
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,7,0.05616457,0.06161074,24.206871
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,8,0.021380238,0.026474385,31.543484
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,9,0.019617774,0.024669332,32.156853
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,10,0.036253817,0.042777542,27.375683
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,11,0.03886075,0.048997257,26.196566
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,12,0.08103866,0.08546907,21.363821
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,13,0.073624514,0.08100683,21.829567
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,14,0.06297963,0.06862625,23.270195
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,15,0.057048723,0.06552847,23.6714
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,16,0.035717104,0.042378787,27.45703
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,17,0.019128941,0.024176858,32.332005
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,18,0.04490554,0.052232068,25.641254
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,19,0.031563334,0.037794154,28.451508
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,20,0.028819084,0.03476295,29.177668
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,21,0.022665052,0.02778747,31.12302
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,22,0.020979654,0.026106322,31.665087
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,23,0.030046156,0.03733635,28.557362
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,24,0.056433164,0.06481382,23.766647
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,25,0.04294565,0.048624117,26.262966
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,26,0.030471558,0.036628246,28.723679
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,27,0.039459437,0.046466697,26.657164
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,28,0.04005284,0.046344772,26.679985
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,29,0.031675357,0.037956234,28.414337
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,30,0.031590454,0.037821893,28.445133
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,31,0.020192023,0.02528243,31.943624
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,32,0.020042758,0.02515549,31.987345
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,33,0.042032566,0.048190773,26.340723
