tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,0,0.016289807533736766,0.018091512515298773,34.85050246093679
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,1,0.0020917968031943994,0.004468102143723895,46.99753814376693
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,2,0.0016993062381919046,0.0028086639862378963,51.030004287890556
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,3,0.00307334067842355,0.003463274030761215,49.210262872799284
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,4,0.0032358988898315965,0.0036492457549702215,48.75593777006757
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,5,0.002884119713566249,0.004434573726412051,47.06296240802942
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,6,0.016289807533736766,0.018091512515298773,34.85050246093679
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,7,0.0026743343641828076,0.004648079545586638,46.6545289638445
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,8,0.00849377952526989,0.00921334279564706,40.711655399738184
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.2,9,0.014997731008491336,0.016819540790737355,35.48371731079928
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,0,0.0004247789507143213,0.001794270116329036,54.92224352014648
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,1,0.0002968230620720412,0.000912457037627652,60.79575149656378
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,2,0.0007296855074444153,0.0028887665232216844,50.7857511483979
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,3,0.0005150457556556353,0.0017887871202435447,54.94882681642903
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,4,0.00032931172818388634,0.0013852279120839864,57.16957532163253
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,5,0.0003525614777789478,0.0014332718525216224,56.87342855977731
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,6,0.00026834715864243876,0.0007650206496472084,62.32653684184788
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,7,0.0007096712684069238,0.0017672108933155426,55.05423240162504
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,8,0.0004314888946107163,0.0018943765971199422,54.45067360282223
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.2,9,0.00033588619727868127,0.0008644066320955566,61.26563819367842
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,0,0.005130377561477675,0.0056543742936619274,44.952308931816034
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,1,0.007098946748782436,0.007844280442225517,42.10893776379272
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,2,0.002705488309904563,0.004487609404293357,46.95969901071606
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,3,0.007162983785697799,0.007724080622799879,42.24306403536097
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,4,0.007419114473761838,0.008014615301600058,41.922346375496616
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,5,0.041081334049589725,0.044883137382104414,26.958335860299645
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,6,0.02515056629588662,0.038122920627030064,28.376276702324496
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,7,0.011264832184374544,0.012864208766806306,37.812338411812526
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,8,0.10176608031381722,0.22310736856059454,13.02972172096063
PACE_OCI.20241110T000719.L1B.V3_image_173,contiguous,0.4,9,0.0031407876952433502,0.004846456894605903,46.2915129122962
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,0,0.0007517387735339082,0.002694170362185526,51.39149891451898
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,1,0.000519888615808696,0.002261663689269582,52.91143948912492
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,2,0.0006598364436769779,0.0025687774436418767,51.80547041903409
PACE_OCI.20241110T000719.L1B.V3_image_173,scattered,0.4,3,0.0006128221879842462,0.0024997803559296474,52.04196298174614
