tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,0,0.01606019,0.020306839,33.847153
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,1,0.05802981,0.06537901,23.691235
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,2,0.055491153,0.061910458,24.164719
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,3,0.024182195,0.029992819,30.459654
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,4,0.023986012,0.029788025,30.519165
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,5,0.055959933,0.06444518,23.816189
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,6,0.016031777,0.02027297,33.861652
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,7,0.05594268,0.062436115,24.091282
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,8,0.017765425,0.022346253,33.015907
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,9,0.015770463,0.019985735,33.9856
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,10,0.033787906,0.04025257,27.904129
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,11,0.030113215,0.037917618,28.423178
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,12,0.06364977,0.070715934,23.009653
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,13,0.0600642,0.06731771,23.437414
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,14,0.05732439,0.064001545,23.87619
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,15,0.062027942,0.069595605,23.148363
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,16,0.03152332,0.037934102,28.419403
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,17,0.015182651,0.01933151,34.274685
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,18,0.05740988,0.06541134,23.686941
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,19,0.025131578,0.031075597,30.151611
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,20,0.02844612,0.03474971,29.180977
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,21,0.020146372,0.025143912,31.991344
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,22,0.017317224,0.021826904,33.220158
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,23,0.033511445,0.04151635,27.635616
