tile,mask_type,trial,method,mae,rmse,o2a_zone_mae
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,0,index,0.009909527479384377,0.011641043437658425,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,0,wavelength,0.010126531613653011,0.011890660314264523,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,1,index,0.021419008237605713,0.036950712290216126,0.0728097529134214
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,1,wavelength,0.021463285031933007,0.03685071200094314,0.07254866790705089
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,2,index,0.01677569571618416,0.02790719091171341,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,2,wavelength,0.016690135579777964,0.02764814350737908,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,3,index,0.010715657302810754,0.012839890703041581,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,3,wavelength,0.009923696715576937,0.012323038086271085,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,4,index,0.01137242132729494,0.013524008355127997,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,4,wavelength,0.010441921613288744,0.012865179502796517,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,5,index,0.033888000467816606,0.04677922639248381,0.049127020918449955
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,5,wavelength,0.03475325046909479,0.047539135849048564,0.04632320224716369
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,6,index,0.009909527479384377,0.011641043437658425,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,6,wavelength,0.010126531613653011,0.011890660314264523,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,7,index,0.02331388176255129,0.036264357576793575,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,7,wavelength,0.02333205613564165,0.036815468841437625,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,8,index,0.007267704285251026,0.008918189861199965,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,8,wavelength,0.0074220063556314185,0.009087535533074178,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,9,index,0.009264527345981372,0.011058393961482439,
PACE_OCI.20240710T013002.L1B.V3_image_202,contiguous,9,wavelength,0.009471292317825238,0.01129370206695468,
PACE_OCI.20240710T013002.L1B.V3_image_202,scattered,0,index,0.0042652356885646125,0.017491113233841164,0.009781381091266262
PACE_OCI.20240710T013002.L1B.V3_image_202,scattered,0,wavelength,0.00417275771203974,0.01688982627734602,0.009766134130888572
PACE_OCI.20240710T013002.L1B.V3_image_202,scattered,1,index,0.004019151999808593,0.01659716927192141,0.005247450799894675
PACE_OCI.20240710T013002.L1B.V3_image_202,scattered,1,wavelength,0.002152253019992328,0.005328311878137494,0.005238021957875827
