backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_010_063_merged.tif,0.2,0,1233354241,50,31.8484,38.4044,6.5559
600M,chip_010_063_merged.tif,0.2,1,753408723,50,36.3988,38.1518,1.753
600M,chip_010_063_merged.tif,0.2,2,372802092,50,37.7062,38.293,0.5868
600M,chip_010_063_merged.tif,0.2,3,2040340222,50,31.7912,38.7434,6.9521
600M,chip_010_063_merged.tif,0.2,4,1659733591,50,32.2104,38.2986,6.0882
600M,chip_010_063_merged.tif,0.4,0,973400021,100,35.7175,38.0533,2.3358
600M,chip_010_063_merged.tif,0.4,1,592793390,100,33.5565,38.2588,4.7023
600M,chip_010_063_merged.tif,0.4,2,112847872,100,33.274,38.7278,5.4538
600M,chip_010_063_merged.tif,0.4,3,1879724889,100,32.7037,38.1644,5.4607
600M,chip_010_063_merged.tif,0.4,4,1499118258,100,32.9733,36.8991,3.9259
600M,chip_010_063_merged.tif,0.6,0,230101814,154,34.3703,37.5991,3.2289
600M,chip_010_063_merged.tif,0.6,1,1996978831,154,33.0922,37.7178,4.6256
600M,chip_010_063_merged.tif,0.6,2,1616372200,154,32.855,37.2741,4.4191
600M,chip_010_063_merged.tif,0.6,3,1136426682,154,32.8544,36.4439,3.5895
600M,chip_010_063_merged.tif,0.6,4,755820051,154,34.3704,37.0328,2.6624
600M,chip_010_063_merged.tif,0.8,0,1994332153,208,33.0473,36.6835,3.6362
600M,chip_010_063_merged.tif,0.8,1,1514386635,208,33.6023,35.204,1.6017
600M,chip_010_063_merged.tif,0.8,2,1133780004,208,33.5726,36.4734,2.9009
600M,chip_010_063_merged.tif,0.8,3,653834486,208,33.5658,34.5755,1.0097
600M,chip_010_063_merged.tif,0.8,4,273227855,208,33.5656,36.3837,2.8181
600M,chip_030_076_merged.tif,0.2,0,344705013,50,38.9608,40.9527,1.9919
600M,chip_030_076_merged.tif,0.2,1,2111582030,50,42.9904,40.4217,-2.5687
600M,chip_030_076_merged.tif,0.2,2,1631636512,50,39.3253,40.1307,0.8054
600M,chip_030_076_merged.tif,0.2,3,1251029881,50,37.7532,39.8873,2.134
600M,chip_030_076_merged.tif,0.2,4,771084363,50,39.7353,40.844,1.1087
600M,chip_030_076_merged.tif,0.4,0,1426913591,100,38.4877,40.7234,2.2357
600M,chip_030_076_merged.tif,0.4,1,1046306960,100,39.7214,40.6874,0.9661
600M,chip_030_076_merged.tif,0.4,2,665700329,100,38.0677,40.4259,2.3582
600M,chip_030_076_merged.tif,0.4,3,185754811,100,38.7606,40.7904,2.0298
600M,chip_030_076_merged.tif,0.4,4,1952631828,100,38.5713,41.064,2.4927
600M,chip_030_076_merged.tif,0.6,0,782954271,154,39.1907,40.6524,1.4617
600M,chip_030_076_merged.tif,0.6,1,303008753,154,39.1907,40.6901,1.4994
600M,chip_030_076_merged.tif,0.6,2,2069885770,154,39.6586,40.4675,0.8089
600M,chip_030_076_merged.tif,0.6,3,1589940252,154,38.8567,39.95,1.0933
600M,chip_030_076_merged.tif,0.6,4,1209333621,154,39.4476,40.5889,1.1412
600M,chip_030_076_merged.tif,0.8,0,300362075,208,38.9666,39.8298,0.8632
600M,chip_030_076_merged.tif,0.8,1,1967900205,208,38.9675,40.1056,1.1382
600M,chip_030_076_merged.tif,0.8,2,1587293574,208,38.956,40.0334,1.0774
600M,chip_030_076_merged.tif,0.8,3,1107348056,208,38.7269,40.1644,1.4375
600M,chip_030_076_merged.tif,0.8,4,726741425,208,39.0793,39.9379,0.8586
600M,chip_032_111_merged.tif,0.2,0,1839455341,50,33.153,38.6833,5.5304
600M,chip_032_111_merged.tif,0.2,1,1458848710,50,38.9843,36.2292,-2.7551
600M,chip_032_111_merged.tif,0.2,2,978903192,50,33.9727,40.236,6.2633
600M,chip_032_111_merged.tif,0.2,3,598296561,50,33.1526,36.6507,3.4981
600M,chip_032_111_merged.tif,0.2,4,217689930,50,37.974,38.1442,0.1702
600M,chip_032_111_merged.tif,0.4,0,873519158,100,35.9678,38.62,2.6523
600M,chip_032_111_merged.tif,0.4,1,393573640,100,35.1609,38.1097,2.9488
