backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
tiny,chip_010_063_merged.tif,0.2,0,1233354241,39,30.977,35.6459,4.6689
tiny,chip_010_063_merged.tif,0.2,1,753408723,39,37.2043,35.1775,-2.0268
tiny,chip_010_063_merged.tif,0.2,2,372802092,39,36.2714,34.6638,-1.6076
tiny,chip_010_063_merged.tif,0.2,3,2040340222,39,31.9929,35.2169,3.224
tiny,chip_010_063_merged.tif,0.2,4,1659733591,39,29.6348,34.8294,5.1945
tiny,chip_010_063_merged.tif,0.4,0,973400021,78,30.2156,34.1648,3.9492
tiny,chip_010_063_merged.tif,0.4,1,592793390,78,30.8388,35.1669,4.3281
tiny,chip_010_063_merged.tif,0.4,2,112847872,78,31.9802,35.2906,3.3104
tiny,chip_010_063_merged.tif,0.4,3,1879724889,78,33.993,34.9809,0.9879
tiny,chip_010_063_merged.tif,0.4,4,1499118258,78,30.2525,34.849,4.5965
tiny,chip_010_063_merged.tif,0.6,0,230101814,117,33.0903,34.8471,1.7568
tiny,chip_010_063_merged.tif,0.6,1,1996978831,117,31.5117,34.7313,3.2196
tiny,chip_010_063_merged.tif,0.6,2,1616372200,117,31.4054,34.7237,3.3183
tiny,chip_010_063_merged.tif,0.6,3,1136426682,117,31.3311,34.6065,3.2754
tiny,chip_010_063_merged.tif,0.6,4,755820051,117,33.1174,34.2695,1.1522
tiny,chip_010_063_merged.tif,0.8,0,1994332153,156,32.3617,33.7124,1.3507
tiny,chip_010_063_merged.tif,0.8,1,1514386635,156,32.3606,33.3748,1.0143
tiny,chip_010_063_merged.tif,0.8,2,1133780004,156,32.3064,33.8293,1.5229
tiny,chip_010_063_merged.tif,0.8,3,653834486,156,31.9453,34.2284,2.2831
tiny,chip_010_063_merged.tif,0.8,4,273227855,156,32.2529,34.9057,2.6528
tiny,chip_030_076_merged.tif,0.2,0,344705013,39,36.1273,36.503,0.3758
tiny,chip_030_076_merged.tif,0.2,1,2111582030,39,37.0138,37.4506,0.4368
tiny,chip_030_076_merged.tif,0.2,2,1631636512,39,36.0816,37.1271,1.0455
tiny,chip_030_076_merged.tif,0.2,3,1251029881,39,35.146,36.9683,1.8223
