mask_ratio,backbone,mean_psnr,aggregate_rank,metric
0.2,100M,34.12240232,3.0,block_psnr
0.2,300M,34.1712672,2.0,block_psnr
0.2,600M,34.7825896,1.0,block_psnr
0.2,tiny,32.03117124,4.0,block_psnr
0.4,100M,33.23988192,3.0,block_psnr
0.4,300M,33.48448504,2.0,block_psnr
0.4,600M,34.14757692,1.0,block_psnr
0.4,tiny,31.546437320000003,4.0,block_psnr
0.6,100M,32.75000776,3.0,block_psnr
0.6,300M,33.110154519999995,2.0,block_psnr
0.6,600M,33.690456080000004,1.0,block_psnr
0.6,tiny,31.194052080000002,4.0,block_psnr
0.8,100M,32.25352944,3.0,block_psnr
0.8,300M,32.64549968,2.0,block_psnr
0.8,600M,32.7889,1.0,block_psnr
0.8,tiny,30.82455868,4.0,block_psnr
0.2,100M,36.51893068,3.0,random_psnr
0.2,300M,36.9008842,2.0,random_psnr
0.2,600M,37.855029439999996,1.0,random_psnr
0.2,tiny,34.64592392,4.0,random_psnr
0.4,100M,35.97648708,3.0,random_psnr
0.4,300M,36.43248068,2.0,random_psnr
0.4,600M,37.44871868,1.0,random_psnr
0.4,tiny,34.4055144,4.0,random_psnr
0.6,100M,35.20614792000001,3.0,random_psnr
0.6,300M,35.6838298,2.0,random_psnr
0.6,600M,36.59728284,1.0,random_psnr
0.6,tiny,33.84133632,4.0,random_psnr
0.8,100M,34.00217868,3.0,random_psnr
0.8,300M,34.45514024,2.0,random_psnr
0.8,600M,35.11832772,1.0,random_psnr
0.8,tiny,32.803413719999995,4.0,random_psnr
