metric,mask_ratio,backbone,rank,n_chips,pct_chips
block_psnr,0.2,tiny,1,0,0.0
block_psnr,0.2,tiny,2,0,0.0
block_psnr,0.2,tiny,3,6,1.2
block_psnr,0.2,tiny,4,494,98.8
block_psnr,0.2,100M,1,37,7.4
block_psnr,0.2,100M,2,213,42.6
block_psnr,0.2,100M,3,248,49.6
block_psnr,0.2,100M,4,2,0.4
block_psnr,0.2,300M,1,75,15.0
block_psnr,0.2,300M,2,240,48.0
block_psnr,0.2,300M,3,185,37.0
block_psnr,0.2,300M,4,0,0.0
block_psnr,0.2,600M,1,388,77.6
block_psnr,0.2,600M,2,47,9.4
block_psnr,0.2,600M,3,61,12.2
block_psnr,0.2,600M,4,4,0.8
block_psnr,0.4,tiny,1,1,0.2
block_psnr,0.4,tiny,2,2,0.4
block_psnr,0.4,tiny,3,6,1.2
block_psnr,0.4,tiny,4,491,98.2
block_psnr,0.4,100M,1,26,5.2
block_psnr,0.4,100M,2,131,26.2
block_psnr,0.4,100M,3,341,68.2
block_psnr,0.4,100M,4,2,0.4
block_psnr,0.4,300M,1,73,14.6
block_psnr,0.4,300M,2,325,65.0
block_psnr,0.4,300M,3,100,20.0
block_psnr,0.4,300M,4,2,0.4
block_psnr,0.4,600M,1,400,80.0
block_psnr,0.4,600M,2,42,8.4
block_psnr,0.4,600M,3,53,10.6
block_psnr,0.4,600M,4,5,1.0
block_psnr,0.6,tiny,1,0,0.0
block_psnr,0.6,tiny,2,3,0.6
block_psnr,0.6,tiny,3,6,1.2
block_psnr,0.6,tiny,4,491,98.2
block_psnr,0.6,100M,1,13,2.6
block_psnr,0.6,100M,2,71,14.2
block_psnr,0.6,100M,3,409,81.8
block_psnr,0.6,100M,4,7,1.4
block_psnr,0.6,300M,1,56,11.2
block_psnr,0.6,300M,2,374,74.8
block_psnr,0.6,300M,3,69,13.8
block_psnr,0.6,300M,4,1,0.2
block_psnr,0.6,600M,1,431,86.2
block_psnr,0.6,600M,2,52,10.4
block_psnr,0.6,600M,3,16,3.2
block_psnr,0.6,600M,4,1,0.2
block_psnr,0.8,tiny,1,0,0.0
block_psnr,0.8,tiny,2,8,1.6
block_psnr,0.8,tiny,3,25,5.0
block_psnr,0.8,tiny,4,467,93.4
block_psnr,0.8,100M,1,34,6.8
block_psnr,0.8,100M,2,95,19.0
block_psnr,0.8,100M,3,362,72.4
block_psnr,0.8,100M,4,9,1.8
block_psnr,0.8,300M,1,155,31.0
block_psnr,0.8,300M,2,297,59.4
block_psnr,0.8,300M,3,43,8.6
block_psnr,0.8,300M,4,5,1.0
block_psnr,0.8,600M,1,311,62.2
block_psnr,0.8,600M,2,100,20.0
block_psnr,0.8,600M,3,70,14.0
block_psnr,0.8,600M,4,19,3.8
random_psnr,0.2,tiny,1,0,0.0
random_psnr,0.2,tiny,2,0,0.0
random_psnr,0.2,tiny,3,0,0.0
random_psnr,0.2,tiny,4,500,100.0
random_psnr,0.2,100M,1,0,0.0
random_psnr,0.2,100M,2,26,5.2
random_psnr,0.2,100M,3,474,94.8
random_psnr,0.2,100M,4,0,0.0
random_psnr,0.2,300M,1,11,2.2
random_psnr,0.2,300M,2,466,93.2
random_psnr,0.2,300M,3,23,4.6
random_psnr,0.2,300M,4,0,0.0
random_psnr,0.2,600M,1,489,97.8
random_psnr,0.2,600M,2,8,1.6
random_psnr,0.2,600M,3,3,0.6
random_psnr,0.2,600M,4,0,0.0
random_psnr,0.4,tiny,1,0,0.0
random_psnr,0.4,tiny,2,0,0.0
random_psnr,0.4,tiny,3,0,0.0
random_psnr,0.4,tiny,4,500,100.0
random_psnr,0.4,100M,1,0,0.0
random_psnr,0.4,100M,2,8,1.6
random_psnr,0.4,100M,3,492,98.4
random_psnr,0.4,100M,4,0,0.0
random_psnr,0.4,300M,1,6,1.2
random_psnr,0.4,300M,2,488,97.6
random_psnr,0.4,300M,3,6,1.2
random_psnr,0.4,300M,4,0,0.0
random_psnr,0.4,600M,1,494,98.8
random_psnr,0.4,600M,2,4,0.8
random_psnr,0.4,600M,3,2,0.4
random_psnr,0.4,600M,4,0,0.0
random_psnr,0.6,tiny,1,0,0.0
random_psnr,0.6,tiny,2,0,0.0
random_psnr,0.6,tiny,3,0,0.0
random_psnr,0.6,tiny,4,500,100.0
random_psnr,0.6,100M,1,0,0.0
random_psnr,0.6,100M,2,13,2.6
random_psnr,0.6,100M,3,487,97.4
random_psnr,0.6,100M,4,0,0.0
random_psnr,0.6,300M,1,5,1.0
random_psnr,0.6,300M,2,482,96.4
random_psnr,0.6,300M,3,13,2.6
random_psnr,0.6,300M,4,0,0.0
random_psnr,0.6,600M,1,495,99.0
random_psnr,0.6,600M,2,5,1.0
random_psnr,0.6,600M,3,0,0.0
random_psnr,0.6,600M,4,0,0.0
random_psnr,0.8,tiny,1,0,0.0
random_psnr,0.8,tiny,2,0,0.0
random_psnr,0.8,tiny,3,0,0.0
random_psnr,0.8,tiny,4,500,100.0
random_psnr,0.8,100M,1,1,0.2
random_psnr,0.8,100M,2,19,3.8
random_psnr,0.8,100M,3,480,96.0
random_psnr,0.8,100M,4,0,0.0
random_psnr,0.8,300M,1,26,5.2
random_psnr,0.8,300M,2,461,92.2
random_psnr,0.8,300M,3,13,2.6
random_psnr,0.8,300M,4,0,0.0
random_psnr,0.8,600M,1,473,94.6
random_psnr,0.8,600M,2,20,4.0
random_psnr,0.8,600M,3,7,1.4
random_psnr,0.8,600M,4,0,0.0
