chip,mask_ratio,100M,300M,600M,tiny,rank_tiny,rank_100M,rank_300M,rank_600M,metric
chip_010_063_merged.tif,0.2,34.719100000000005,34.197559999999996,34.15326,32.89902,4.0,1.0,2.0,3.0,block_psnr
chip_010_063_merged.tif,0.4,33.56968,33.59424,32.912220000000005,32.52634,4.0,2.0,1.0,3.0,block_psnr
chip_010_063_merged.tif,0.6,32.60208,32.68188,33.14184,31.661019999999997,4.0,3.0,2.0,1.0,block_psnr
chip_010_063_merged.tif,0.8,33.13874,33.29442,33.59022,32.11242,4.0,3.0,2.0,1.0,block_psnr
chip_030_076_merged.tif,0.2,38.82418,38.005520000000004,39.80802,36.55604,4.0,2.0,3.0,1.0,block_psnr
chip_030_076_merged.tif,0.4,38.8491,38.71342,40.214800000000004,36.70566,4.0,2.0,3.0,1.0,block_psnr
chip_030_076_merged.tif,0.6,38.303819999999995,38.45128,39.12004,36.511340000000004,4.0,3.0,2.0,1.0,block_psnr
chip_030_076_merged.tif,0.8,38.29778,38.60334,38.96286,36.674620000000004,4.0,3.0,2.0,1.0,block_psnr
chip_032_111_merged.tif,0.2,35.54298,36.05896,37.73758,34.36748,4.0,3.0,2.0,1.0,block_psnr
chip_032_111_merged.tif,0.4,35.69042,36.10052,37.32696,33.975739999999995,4.0,3.0,2.0,1.0,block_psnr
chip_032_111_merged.tif,0.6,33.7621,34.19854,34.41574,32.96942,4.0,3.0,2.0,1.0,block_psnr
chip_032_111_merged.tif,0.8,35.13514,35.59624,34.507259999999995,33.21528,4.0,2.0,1.0,3.0,block_psnr
chip_032_183_merged.tif,0.2,44.664,44.58142,46.01534,41.3267,4.0,2.0,3.0,1.0,block_psnr
chip_032_183_merged.tif,0.4,45.21454,45.40924,47.02382,42.499900000000004,4.0,3.0,2.0,1.0,block_psnr
chip_032_183_merged.tif,0.6,44.51732,44.7712,46.88786,41.13776,4.0,3.0,2.0,1.0,block_psnr
chip_032_183_merged.tif,0.8,44.160000000000004,44.69636,45.42641999999999,41.92618,4.0,3.0,2.0,1.0,block_psnr
chip_036_147_merged.tif,0.2,36.784499999999994,36.7315,38.851659999999995,34.49098,4.0,2.0,3.0,1.0,block_psnr
chip_036_147_merged.tif,0.4,36.46432,36.93236,37.756119999999996,34.33182,4.0,3.0,2.0,1.0,block_psnr
