backbone,mask_ratio,n_chips,n_trials,block_psnr_mean,random_psnr_mean,mean_delta,median_delta,trimmed_mean_delta,pct_block_harder,pct_random_harder
tiny,0.2,500,2500,32.004,34.641,2.637,2.499,2.565,95.0,5.0
tiny,0.4,500,2500,31.535,34.398,2.863,2.62,2.776,98.2,1.8
tiny,0.6,500,2500,31.231,33.83,2.599,2.409,2.524,98.6,1.4
tiny,0.8,500,2500,30.813,32.811,1.998,1.771,1.92,97.7,2.3
100M,0.2,500,2500,34.08,36.53,2.449,2.232,2.383,93.3,6.7
100M,0.4,500,2500,33.238,35.962,2.724,2.446,2.647,97.2,2.8
100M,0.6,500,2500,32.755,35.189,2.434,2.16,2.353,97.9,2.1
100M,0.8,500,2500,32.271,34.0,1.729,1.509,1.654,96.6,3.4
300M,0.2,500,2500,34.125,36.91,2.785,2.606,2.729,95.9,4.1
300M,0.4,500,2500,33.472,36.415,2.943,2.691,2.875,97.9,2.1
300M,0.6,500,2500,33.118,35.661,2.543,2.269,2.466,98.0,2.0
300M,0.8,500,2500,32.664,34.445,1.782,1.567,1.711,97.0,3.0
600M,0.2,500,2500,34.804,37.852,3.048,2.785,2.974,95.5,4.5
600M,0.4,500,2500,34.125,37.43,3.304,3.044,3.209,98.4,1.6
600M,0.6,500,2500,33.678,36.583,2.906,2.552,2.809,99.0,1.0
600M,0.8,500,2500,32.801,35.122,2.321,2.01,2.211,99.2,0.8
