chip,edge_density,rank
chip_058_221_merged.tif,0.293248,1
chip_076_351_merged.tif,0.278699,2
chip_222_023_merged.tif,0.277563,3
chip_091_324_merged.tif,0.273836,4
chip_106_107_merged.tif,0.271983,5
chip_208_417_merged.tif,0.268993,6
chip_211_428_merged.tif,0.268355,7
chip_264_467_merged.tif,0.267040,8
chip_074_351_merged.tif,0.266841,9
chip_350_560_merged.tif,0.266482,10
chip_019_091_merged.tif,0.266462,11
chip_092_322_merged.tif,0.266044,12
chip_030_076_merged.tif,0.265725,13
chip_208_416_merged.tif,0.264250,14
chip_206_391_merged.tif,0.264110,15
chip_054_199_merged.tif,0.262835,16
chip_093_322_merged.tif,0.262277,17
chip_172_579_merged.tif,0.261918,18
chip_174_017_merged.tif,0.261878,19
chip_075_347_merged.tif,0.261300,20
chip_176_580_merged.tif,0.261201,21
chip_170_579_merged.tif,0.261081,22
chip_164_583_merged.tif,0.260802,23
chip_222_467_merged.tif,0.260782,24
chip_138_442_merged.tif,0.260682,25
chip_340_326_merged.tif,0.260463,26
chip_344_415_merged.tif,0.260264,27
chip_161_459_merged.tif,0.259865,28
chip_165_582_merged.tif,0.259427,29
chip_419_323_merged.tif,0.258988,30
chip_106_106_merged.tif,0.258689,31
chip_071_352_merged.tif,0.258052,32
chip_091_320_merged.tif,0.257334,33
chip_228_023_merged.tif,0.257035,34
chip_076_349_merged.tif,0.256995,35
chip_192_474_merged.tif,0.256995,36
chip_160_591_merged.tif,0.256836,37
chip_155_402_merged.tif,0.256696,38
chip_177_581_merged.tif,0.256676,39
chip_183_235_merged.tif,0.256676,40
chip_056_198_merged.tif,0.256517,41
chip_157_388_merged.tif,0.256477,42
chip_208_390_merged.tif,0.256238,43
chip_071_347_merged.tif,0.256218,44
chip_103_102_merged.tif,0.256218,45
chip_167_580_merged.tif,0.256059,46
chip_184_237_merged.tif,0.255999,47
chip_154_402_merged.tif,0.255242,48
chip_082_104_merged.tif,0.255222,49
chip_071_257_merged.tif,0.255122,50
chip_054_200_merged.tif,0.254883,51
chip_123_393_merged.tif,0.254723,52
chip_161_377_merged.tif,0.254684,53
chip_093_358_merged.tif,0.254644,54
chip_171_579_merged.tif,0.254345,55
chip_132_444_merged.tif,0.254125,56
chip_064_269_merged.tif,0.254046,57
chip_060_118_merged.tif,0.254026,58
chip_056_115_merged.tif,0.253846,59
chip_135_401_merged.tif,0.253787,60
chip_179_580_merged.tif,0.253727,61
chip_118_322_merged.tif,0.253627,62
chip_055_199_merged.tif,0.253368,63
chip_324_410_merged.tif,0.252970,64
chip_135_471_merged.tif,0.252910,65
chip_206_197_merged.tif,0.252691,66
chip_097_103_merged.tif,0.252671,67
chip_077_295_merged.tif,0.252611,68
chip_138_615_merged.tif,0.252292,69
chip_039_111_merged.tif,0.252073,70
chip_176_579_merged.tif,0.252053,71
chip_345_460_merged.tif,0.251535,72
chip_067_352_merged.tif,0.251455,73
chip_171_347_merged.tif,0.251455,74
chip_034_148_merged.tif,0.251435,75
