chip,edge_density,rank
chip_091_324_merged.tif,0.273836,1
chip_106_107_merged.tif,0.271983,2
chip_208_417_merged.tif,0.268993,3
chip_074_351_merged.tif,0.266841,4
chip_092_322_merged.tif,0.266044,5
chip_030_076_merged.tif,0.265725,6
chip_206_391_merged.tif,0.264110,7
chip_075_347_merged.tif,0.261300,8
chip_170_579_merged.tif,0.261081,9
chip_419_323_merged.tif,0.258988,10
chip_160_591_merged.tif,0.256836,11
chip_071_257_merged.tif,0.255122,12
chip_123_393_merged.tif,0.254723,13
chip_060_118_merged.tif,0.254026,14
chip_039_111_merged.tif,0.252073,15
chip_136_471_merged.tif,0.251176,16
chip_202_016_merged.tif,0.250638,17
chip_138_426_merged.tif,0.250538,18
chip_083_208_merged.tif,0.250419,19
chip_133_340_merged.tif,0.249761,20
chip_264_434_merged.tif,0.249263,21
chip_131_404_merged.tif,0.249223,22
chip_130_445_merged.tif,0.248525,23
chip_169_398_merged.tif,0.248505,24
chip_183_237_merged.tif,0.248465,25
chip_223_491_merged.tif,0.248326,26
chip_092_320_merged.tif,0.247509,27
chip_118_448_merged.tif,0.247369,28
chip_064_352_merged.tif,0.247290,29
chip_179_579_merged.tif,0.246273,30
chip_325_314_merged.tif,0.246173,31
chip_084_207_merged.tif,0.246114,32
chip_163_593_merged.tif,0.245755,33
chip_379_328_merged.tif,0.245635,34
chip_137_437_merged.tif,0.245556,35
chip_175_400_merged.tif,0.245536,36
chip_188_404_merged.tif,0.245297,37
chip_095_323_merged.tif,0.244719,38
chip_204_390_merged.tif,0.244081,39
chip_054_264_merged.tif,0.243782,40
chip_075_350_merged.tif,0.243702,41
chip_313_236_merged.tif,0.243025,42
chip_039_108_merged.tif,0.242845,43
chip_069_353_merged.tif,0.242427,44
chip_081_176_merged.tif,0.241809,45
chip_038_107_merged.tif,0.241629,46
chip_066_347_merged.tif,0.241071,47
chip_106_409_merged.tif,0.241032,48
chip_155_408_merged.tif,0.240852,49
chip_119_323_merged.tif,0.240673,50
chip_145_469_merged.tif,0.239656,51
chip_162_370_merged.tif,0.239338,52
chip_063_116_merged.tif,0.239258,53
chip_156_008_merged.tif,0.239238,54
chip_141_493_merged.tif,0.239059,55
chip_108_405_merged.tif,0.239039,56
chip_206_401_merged.tif,0.238999,57
chip_055_200_merged.tif,0.238441,58
chip_147_393_merged.tif,0.238341,59
chip_151_501_merged.tif,0.238261,60
chip_036_147_merged.tif,0.238241,61
chip_097_356_merged.tif,0.237464,62
chip_086_203_merged.tif,0.237305,63
chip_083_175_merged.tif,0.237066,64
chip_363_321_merged.tif,0.236986,65
chip_173_503_merged.tif,0.236886,66
chip_127_445_merged.tif,0.236687,67
chip_123_448_merged.tif,0.236627,68
