chip,complexity,rank,edge_density,spatial_std,entropy,edge_norm,std_norm,entropy_norm
chip_140_470_merged.tif,0.8268,1,0.2015,0.2441,15.5958,0.591,0.927,0.963
chip_217_425_merged.tif,0.8229,2,0.2348,0.2222,15.5878,0.779,0.760,0.930
chip_173_503_merged.tif,0.8228,3,0.2369,0.2200,15.5889,0.791,0.743,0.934
chip_243_589_merged.tif,0.8196,4,0.2083,0.2453,15.5791,0.629,0.936,0.894
chip_248_585_merged.tif,0.8089,5,0.2030,0.2399,15.5886,0.599,0.895,0.933
chip_200_441_merged.tif,0.8049,6,0.2036,0.2431,15.5790,0.602,0.919,0.893
chip_030_076_merged.tif,0.8030,7,0.2657,0.2016,15.5689,0.954,0.603,0.852
chip_178_497_merged.tif,0.7910,8,0.1907,0.2508,15.5723,0.530,0.978,0.866
chip_128_506_merged.tif,0.7910,9,0.2127,0.2306,15.5793,0.654,0.824,0.895
chip_163_519_merged.tif,0.7908,10,0.2238,0.2289,15.5672,0.717,0.811,0.845
chip_179_506_merged.tif,0.7869,11,0.2310,0.2148,15.5804,0.757,0.704,0.899
chip_245_593_merged.tif,0.7865,12,0.1947,0.2391,15.5851,0.552,0.889,0.919
chip_165_520_merged.tif,0.7864,13,0.2313,0.2197,15.5706,0.760,0.741,0.859
chip_144_496_merged.tif,0.7863,14,0.2191,0.2239,15.5795,0.690,0.773,0.895
chip_170_579_merged.tif,0.7826,15,0.2611,0.1851,15.5909,0.928,0.477,0.942
chip_319_529_merged.tif,0.7806,16,0.1928,0.2342,15.5925,0.541,0.851,0.949
chip_106_107_merged.tif,0.7784,17,0.2720,0.1897,15.5644,0.990,0.513,0.833
chip_316_543_merged.tif,0.7760,18,0.1744,0.2537,15.5784,0.437,1.000,0.891
chip_162_370_merged.tif,0.7753,19,0.2393,0.2129,15.5641,0.805,0.689,0.832
chip_276_083_merged.tif,0.7727,20,0.1778,0.2378,15.6005,0.457,0.879,0.982
chip_135_494_merged.tif,0.7723,21,0.2078,0.2349,15.5646,0.626,0.857,0.834
chip_164_475_merged.tif,0.7703,22,0.2301,0.2277,15.5458,0.753,0.802,0.756
chip_138_474_merged.tif,0.7698,23,0.2351,0.2041,15.5822,0.781,0.622,0.907
chip_244_594_merged.tif,0.7693,24,0.1973,0.2322,15.5816,0.567,0.836,0.904
chip_125_503_merged.tif,0.7687,25,0.2090,0.2286,15.5719,0.633,0.809,0.864
chip_160_591_merged.tif,0.7686,26,0.2568,0.1934,15.5712,0.904,0.541,0.861
chip_317_528_merged.tif,0.7675,27,0.2062,0.2200,15.5908,0.617,0.743,0.942
chip_151_501_merged.tif,0.7667,28,0.2383,0.2074,15.5695,0.799,0.647,0.854
chip_136_495_merged.tif,0.7664,29,0.2262,0.2248,15.5536,0.730,0.780,0.789
chip_175_400_merged.tif,0.7661,30,0.2455,0.1882,15.5945,0.840,0.501,0.957
chip_270_408_merged.tif,0.7655,31,0.1895,0.2394,15.5764,0.523,0.891,0.883
chip_264_434_merged.tif,0.7653,32,0.2493,0.1963,15.5738,0.861,0.563,0.872
chip_248_589_merged.tif,0.7650,33,0.2091,0.2284,15.5693,0.634,0.808,0.854
chip_133_473_merged.tif,0.7635,34,0.2196,0.2113,15.5855,0.693,0.677,0.920
chip_210_444_merged.tif,0.7632,35,0.1986,0.2298,15.5798,0.574,0.818,0.897
chip_039_111_merged.tif,0.7630,36,0.2521,0.1822,15.5945,0.877,0.455,0.957
chip_138_426_merged.tif,0.7622,37,0.2505,0.1977,15.5673,0.868,0.573,0.845
chip_121_466_merged.tif,0.7616,38,0.2057,0.2250,15.5778,0.614,0.782,0.889
chip_317_529_merged.tif,0.7597,39,0.2132,0.2261,15.5642,0.657,0.789,0.832
chip_208_417_merged.tif,0.7586,40,0.2690,0.1987,15.5376,0.973,0.581,0.723
chip_136_485_merged.tif,0.7584,41,0.2125,0.2191,15.5772,0.653,0.736,0.886
chip_107_106_merged.tif,0.7571,42,0.2207,0.2058,15.5896,0.699,0.635,0.937
chip_125_436_merged.tif,0.7569,43,0.1968,0.2208,15.5945,0.564,0.749,0.957
chip_163_537_merged.tif,0.7551,44,0.2292,0.2089,15.5708,0.747,0.658,0.859
chip_060_118_merged.tif,0.7548,45,0.2540,0.1793,15.5910,0.888,0.433,0.943
chip_220_257_merged.tif,0.7532,46,0.2313,0.1984,15.5859,0.759,0.578,0.922
chip_131_404_merged.tif,0.7528,47,0.2492,0.1806,15.5938,0.861,0.443,0.955
chip_122_507_merged.tif,0.7524,48,0.2008,0.2406,15.5491,0.587,0.900,0.770
chip_115_438_merged.tif,0.7518,49,0.2259,0.2105,15.5699,0.729,0.671,0.856
chip_123_507_merged.tif,0.7516,50,0.2001,0.2353,15.5593,0.582,0.860,0.812
chip_153_469_merged.tif,0.7515,51,0.1994,0.2320,15.5663,0.579,0.835,0.841
chip_154_484_merged.tif,0.7514,52,0.2183,0.2060,15.5884,0.685,0.637,0.932
chip_163_593_merged.tif,0.7504,53,0.2458,0.1952,15.5698,0.841,0.555,0.856
chip_086_203_merged.tif,0.7488,54,0.2373,0.2115,15.5502,0.793,0.679,0.775
chip_151_489_merged.tif,0.7482,55,0.2344,0.2011,15.5731,0.777,0.599,0.869
chip_137_437_merged.tif,0.7481,56,0.2456,0.2073,15.5461,0.840,0.647,0.758
chip_135_434_merged.tif,0.7479,57,0.2302,0.2162,15.5506,0.753,0.714,0.776
chip_071_257_merged.tif,0.7473,58,0.2551,0.1769,15.5887,0.894,0.415,0.933
chip_186_488_merged.tif,0.7472,59,0.2030,0.2266,15.5681,0.599,0.794,0.849
chip_054_264_merged.tif,0.7465,60,0.2438,0.1836,15.5912,0.830,0.466,0.944
chip_092_322_merged.tif,0.7465,61,0.2660,0.1877,15.5530,0.956,0.497,0.786
chip_264_583_merged.tif,0.7464,62,0.2179,0.2137,15.5709,0.684,0.695,0.860
chip_151_604_merged.tif,0.7458,63,0.2202,0.1963,15.5995,0.696,0.563,0.978
chip_135_472_merged.tif,0.7452,64,0.2318,0.2115,15.5550,0.762,0.679,0.795
chip_083_208_merged.tif,0.7439,65,0.2504,0.1891,15.5699,0.867,0.508,0.856
chip_169_398_merged.tif,0.7437,66,0.2485,0.1759,15.5969,0.857,0.407,0.967
chip_219_603_merged.tif,0.7437,67,0.2031,0.2352,15.5498,0.599,0.859,0.773
chip_152_404_merged.tif,0.7432,68,0.2252,0.2051,15.5745,0.725,0.630,0.875
chip_165_524_merged.tif,0.7426,69,0.2310,0.2058,15.5649,0.758,0.635,0.835
chip_266_434_merged.tif,0.7418,70,0.2226,0.2068,15.5740,0.710,0.643,0.873
chip_074_351_merged.tif,0.7413,71,0.2668,0.1912,15.5418,0.960,0.524,0.740
chip_138_494_merged.tif,0.7410,72,0.2277,0.2124,15.5561,0.739,0.685,0.799
chip_138_495_merged.tif,0.7407,73,0.2336,0.2139,15.5450,0.772,0.697,0.753
chip_246_583_merged.tif,0.7406,74,0.2279,0.2108,15.5585,0.740,0.673,0.809
chip_141_484_merged.tif,0.7393,75,0.2035,0.2243,15.5660,0.602,0.776,0.840
chip_057_118_merged.tif,0.7381,76,0.2312,0.1911,15.5885,0.758,0.523,0.933
chip_280_560_merged.tif,0.7378,77,0.1875,0.2269,15.5821,0.511,0.796,0.906
chip_166_524_merged.tif,0.7377,78,0.2244,0.1997,15.5816,0.720,0.589,0.904
chip_313_236_merged.tif,0.7364,79,0.2430,0.1794,15.5926,0.826,0.434,0.950
chip_152_479_merged.tif,0.7364,80,0.2006,0.2232,15.5698,0.586,0.768,0.855
chip_155_408_merged.tif,0.7362,81,0.2409,0.1999,15.5577,0.813,0.590,0.805
chip_148_483_merged.tif,0.7359,82,0.2029,0.2246,15.5638,0.599,0.778,0.831
chip_253_587_merged.tif,0.7359,83,0.2026,0.2142,15.5834,0.597,0.699,0.911
chip_142_498_merged.tif,0.7353,84,0.2237,0.2124,15.5574,0.716,0.686,0.804
chip_116_208_merged.tif,0.7347,85,0.2251,0.2073,15.5644,0.724,0.647,0.833
chip_159_406_merged.tif,0.7334,86,0.2256,0.1964,15.5831,0.727,0.563,0.910
chip_179_579_merged.tif,0.7333,87,0.2463,0.1802,15.5844,0.844,0.440,0.916
chip_257_445_merged.tif,0.7333,88,0.2344,0.2016,15.5613,0.777,0.603,0.820
chip_330_499_merged.tif,0.7332,89,0.2165,0.2002,15.5883,0.675,0.593,0.932
chip_188_404_merged.tif,0.7330,90,0.2453,0.1974,15.5538,0.838,0.571,0.790
chip_171_346_merged.tif,0.7326,91,0.2193,0.2075,15.5705,0.692,0.648,0.858
chip_036_147_merged.tif,0.7320,92,0.2382,0.2069,15.5452,0.799,0.643,0.754
chip_236_600_merged.tif,0.7313,93,0.1938,0.2201,15.5813,0.547,0.744,0.903
chip_246_444_merged.tif,0.7312,94,0.2338,0.1962,15.5704,0.773,0.562,0.858
chip_234_445_merged.tif,0.7303,95,0.2111,0.2103,15.5748,0.645,0.670,0.876
chip_240_588_merged.tif,0.7300,96,0.2017,0.2290,15.5530,0.592,0.812,0.786
chip_322_417_merged.tif,0.7300,97,0.2072,0.2378,15.5294,0.623,0.879,0.689
chip_119_323_merged.tif,0.7300,98,0.2407,0.1863,15.5785,0.812,0.486,0.891
chip_185_368_merged.tif,0.7298,99,0.2194,0.2010,15.5804,0.692,0.598,0.899
