backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.1,random,5.014,4.98,5.0849,0.0241,2.2374,2.2102,2.2915,0.02,2.7767,2.7698,2.7933,0.006,342.557,342.557,342.557,0.0,1717.5928,1705.9373,1741.8554,8.2663
tiny,0.1,block,5.0112,4.989,5.0276,0.0104,2.2268,2.2146,2.2372,0.0067,2.7844,2.7722,2.7939,0.0059,347.671,347.671,347.671,0.0,1742.2525,1734.5199,1747.9554,3.6185
tiny,0.2,random,4.8955,4.8755,4.9206,0.0127,2.107,2.0839,2.1365,0.0133,2.7885,2.7819,2.7948,0.0032,346.593,346.593,346.593,0.0,1696.7631,1689.8238,1705.462,4.4133
tiny,0.2,block,4.9008,4.8848,4.9172,0.0087,2.1,2.0893,2.1161,0.007,2.8008,2.7924,2.8037,0.0028,338.154,338.154,338.154,0.0,1657.2317,1651.8024,1662.7748,2.934
tiny,0.4,random,4.6558,4.6262,4.6997,0.0203,1.8525,1.8239,1.891,0.0186,2.8033,2.7972,2.8125,0.0035,338.939,338.939,338.939,0.0,1578.0208,1567.9906,1592.9011,6.8873
tiny,0.4,block,4.6846,4.6469,4.86,0.0534,1.8561,1.831,2.0298,0.0409,2.8285,2.8087,2.9641,0.0321,336.832,336.832,336.832,0.0,1577.9285,1565.2369,1637.0122,17.9743
tiny,0.6,random,4.496,4.4651,4.5154,0.0136,1.6941,1.6672,1.7154,0.0141,2.8019,2.7932,2.8408,0.0095,340.969,340.969,340.969,0.0,1532.9949,1522.463,1539.607,4.6435
tiny,0.6,block,4.5171,4.4782,4.5581,0.021,1.7007,1.6685,1.7389,0.0192,2.8164,2.8096,2.8245,0.0033,343.571,343.571,343.571,0.0,1551.9582,1538.5817,1566.0317,7.2242
tiny,0.8,random,4.5151,4.46,4.8131,0.0722,1.6997,1.6557,1.9754,0.0667,2.8154,2.8043,2.8377,0.0075,334.943,334.943,334.943,0.0,1512.2881,1493.8363,1612.112,24.1792
tiny,0.8,block,4.6024,4.5627,4.6366,0.02,1.7782,1.7481,1.8096,0.0163,2.8242,2.8147,2.837,0.0061,336.213,336.213,336.213,0.0,1547.3887,1534.0435,1558.8801,6.726
100M,0.1,random,10.0414,9.9844,10.1819,0.0552,7.1318,7.095,7.2615,0.0456,2.9097,2.8817,2.9924,0.032,347.7844,347.7844,347.7844,0.0,3492.2579,3472.4278,3541.1224,19.2149
100M,0.1,block,9.9628,9.9439,9.9739,0.0076,7.0789,7.0697,7.087,0.0054,2.8839,2.8725,2.8998,0.0067,348.135,348.135,348.135,0.0,3468.3888,3461.8179,3472.2693,2.6396
100M,0.2,random,9.012,8.9935,9.0338,0.0122,6.1256,6.1058,6.1505,0.0121,2.8864,2.8793,2.8905,0.0029,348.7853,348.7853,348.7853,0.0,3143.2355,3136.8156,3150.8421,4.2644
100M,0.2,block,9.0139,8.9669,9.138,0.0423,6.1243,6.094,6.2128,0.0307,2.8896,2.8657,2.9252,0.013,347.726,347.726,347.726,0.0,3134.3695,3118.0299,3177.5309,14.7065
100M,0.4,random,6.9854,6.9664,7.0139,0.0114,4.0639,4.0492,4.0898,0.0102,2.9216,2.9147,2.9296,0.0041,348.5311,348.5311,348.5311,0.0,2434.6365,2428.0172,2444.5592,3.9843
100M,0.4,block,6.97,6.951,6.9813,0.0077,4.0493,4.0415,4.0548,0.0036,2.9207,2.9096,2.9288,0.0053,348.15,348.15,348.15,0.0,2426.5974,2420.0048,2430.5397,2.6883
100M,0.6,random,6.5063,6.4832,6.5402,0.0139,3.6174,3.5961,3.6433,0.0125,2.8889,2.8807,2.9004,0.0046,349.321,349.321,349.321,0.0,2272.7805,2264.7202,2284.6122,4.8441
100M,0.6,block,6.4875,6.475,6.504,0.0058,3.6018,3.5962,3.6161,0.0043,2.8857,2.8763,2.89,0.0035,348.4952,348.4952,348.4952,0.0,2260.8758,2256.4927,2266.5982,2.0266
100M,0.8,random,5.1298,5.0902,5.1701,0.0231,2.2327,2.2077,2.2547,0.0137,2.8972,2.882,2.917,0.0115,346.935,346.935,346.935,0.0,1779.7229,1765.9535,1793.6826,8.0266
100M,0.8,block,5.1245,5.1099,5.1461,0.0094,2.2196,2.2127,2.2329,0.0058,2.905,2.8968,2.9152,0.0044,348.496,348.496,348.496,0.0,1785.8843,1780.791,1793.4018,3.2741
