backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.1,random,5.074,5.0372,5.1103,0.0158,2.2669,2.242,2.2967,0.0147,2.8071,2.7952,2.8215,0.0066,135.7948,135.7948,135.7948,0.0,689.0216,684.0283,693.9453,2.1469
tiny,0.1,block,5.0017,4.9736,5.0495,0.0212,2.2231,2.2024,2.2572,0.0117,2.7786,2.7643,2.8014,0.0115,140.603,140.603,140.603,0.0,703.2533,699.2965,709.9804,2.9813
tiny,0.2,random,4.909,4.8687,4.9693,0.0241,2.1178,2.086,2.1615,0.0188,2.7912,2.7775,2.8096,0.0086,140.603,140.603,140.603,0.0,690.2212,684.5469,698.7034,3.3885
tiny,0.2,block,4.8841,4.8627,4.8964,0.0086,2.0979,2.0786,2.1146,0.0071,2.7861,2.7735,2.7942,0.0049,140.603,140.603,140.603,0.0,686.7123,683.7161,688.4544,1.2136
tiny,0.4,random,4.6654,4.625,4.7313,0.0295,1.8724,1.8359,1.921,0.025,2.793,2.7839,2.8103,0.0065,183.4545,183.4545,183.4545,0.0,855.8945,848.4719,867.9756,5.4114
tiny,0.4,block,4.6493,4.6137,4.8441,0.0477,1.8539,1.8211,2.0433,0.046,2.7954,2.7803,2.8101,0.0084,226.306,226.306,226.306,0.0,1052.1621,1044.1036,1096.246,10.7895
tiny,0.6,random,4.506,4.4733,4.5428,0.0203,1.7193,1.6892,1.7568,0.0206,2.7867,2.7802,2.7946,0.0036,226.306,226.306,226.306,0.0,1019.7434,1012.3304,1028.0533,4.5897
tiny,0.6,block,4.5181,4.465,4.7163,0.065,1.7236,1.6624,1.9081,0.064,2.7945,2.7807,2.8099,0.0085,226.306,226.306,226.306,0.0,1022.4764,1010.46,1067.3243,14.7025
tiny,0.8,random,4.4942,4.4499,4.5435,0.0238,1.709,1.6691,1.7572,0.0229,2.7852,2.7796,2.7923,0.0035,253.7663,253.7663,253.7663,0.0,1140.4725,1129.237,1152.9918,6.0312
tiny,0.8,block,4.481,4.449,4.5068,0.0163,1.6953,1.666,1.7188,0.0153,2.7857,2.7802,2.7936,0.0039,308.687,308.687,308.687,0.0,1383.2303,1373.344,1391.1855,5.0446
100M,0.1,random,10.4864,9.8114,10.897,0.4577,7.4673,6.9703,7.769,0.3377,3.0191,2.8411,3.1475,0.1234,129.3797,129.3797,129.3797,0.0,1356.7275,1269.3908,1409.8475,59.2148
100M,0.1,block,9.8252,9.6642,9.8467,0.0377,6.9751,6.8425,7.0,0.0312,2.8501,2.8217,2.8606,0.0081,139.242,139.242,139.242,0.0,1368.0797,1345.6628,1371.0674,5.2452
100M,0.2,random,8.8649,8.7246,8.9373,0.042,6.0178,5.9154,6.049,0.0304,2.8471,2.8091,2.8933,0.0145,148.1694,148.1694,148.1694,0.0,1313.509,1292.7146,1324.2371,6.2165
100M,0.2,block,8.8685,8.7202,8.9179,0.037,6.0163,5.8907,6.0564,0.0301,2.8522,2.8295,2.8795,0.0093,237.443,237.443,237.443,0.0,2105.7574,2070.5442,2117.4887,8.7864
100M,0.4,random,6.8505,6.6969,6.9118,0.0444,3.9775,3.8865,4.0225,0.0299,2.8729,2.8103,2.8982,0.0167,237.443,237.443,237.443,0.0,1626.599,1590.1215,1641.1584,10.5309
100M,0.4,block,6.8353,6.8224,6.8553,0.0081,3.9667,3.9563,3.9782,0.0052,2.8686,2.8563,2.8775,0.0049,272.9052,272.9053,272.9053,0.0,1865.3833,1861.8819,1870.8458,2.2126
100M,0.6,random,6.3781,6.3533,6.4256,0.0172,3.5391,3.523,3.5743,0.0134,2.839,2.8292,2.8606,0.0069,332.009,332.009,332.009,0.0,2117.5773,2109.3574,2133.3473,5.72
100M,0.6,block,6.3482,6.3007,6.3711,0.0208,3.516,3.4888,3.5314,0.0127,2.8322,2.8118,2.846,0.009,332.009,332.009,332.009,0.0,2107.6463,2091.873,2115.2469,6.9174
100M,0.8,random,5.0327,4.9433,5.1119,0.047,2.1893,2.1357,2.245,0.0293,2.8434,2.8069,2.8745,0.0201,332.009,332.009,332.009,0.0,1670.9182,1641.2087,1697.1972,15.5977
100M,0.8,block,5.0211,4.9927,5.0415,0.0129,2.1722,2.1652,2.1872,0.0067,2.849,2.8275,2.86,0.0088,343.297,343.297,343.297,0.0,1723.7408,1713.9764,1730.733,4.435
300M,0.1,random,21.649,20.8918,22.7721,0.8582,18.6696,17.9947,19.6448,0.7543,2.9793,2.8878,3.1313,0.1084,135.357,135.357,135.357,0.0,2930.341,2827.8571,3082.3639,116.1662
300M,0.1,block,21.0456,21.0104,21.2546,0.05,18.1276,18.1058,18.2514,0.0297,2.918,2.904,3.0032,0.0224,203.4228,203.4228,203.4228,0.0,4281.1444,4273.9892,4323.6694,10.1638
300M,0.2,random,19.9827,19.882,20.3278,0.1478,17.1148,17.0258,17.411,0.128,2.8678,2.8466,2.9168,0.0219,292.6787,292.6787,292.6787,0.0,5848.4976,5819.0245,5949.5123,43.2694
300M,0.2,block,20.0574,20.0157,20.1687,0.0452,17.176,17.1416,17.2742,0.0373,2.8814,2.8679,2.9111,0.0125,343.083,343.083,343.083,0.0,6881.3474,6867.033,6919.5306,15.4941
300M,0.4,random,16.7435,16.7015,16.9065,0.0453,13.901,13.8683,14.0522,0.0387,2.8425,2.826,2.8839,0.0138,348.6202,348.6202,348.6202,0.0,5837.1236,5822.4692,5893.9642,15.7928
300M,0.4,block,16.7057,16.6849,16.7262,0.008,13.8691,13.8533,13.882,0.0069,2.8366,2.8253,2.8525,0.0067,348.729,348.729,348.729,0.0,5825.755,5818.5053,5832.9034,2.7933
300M,0.6,random,13.1919,13.1122,13.2253,0.0268,10.3604,10.3023,10.3871,0.0214,2.8316,2.7984,2.861,0.0128,348.1681,348.1681,348.1681,0.0,4593.0081,4565.2564,4604.6309,9.3479
300M,0.6,block,13.1772,13.1637,13.1973,0.0082,10.3483,10.3356,10.3644,0.008,2.8288,2.8187,2.8408,0.0061,346.5255,346.5255,346.5255,0.0,4566.2242,4561.5534,4573.1974,2.8523
300M,0.8,random,8.5896,8.2702,8.6353,0.0741,5.6915,5.4695,5.7207,0.0517,2.8981,2.8007,2.936,0.0246,343.088,343.088,343.088,0.0,2946.9754,2837.4065,2962.6529,25.4158
300M,0.8,block,8.5646,8.5223,8.5837,0.0134,5.6733,5.6381,5.6849,0.0098,2.8913,2.88,2.9046,0.007,342.912,342.912,342.912,0.0,2936.9009,2922.3852,2943.4685,4.6065
600M,0.1,random,55.0251,54.467,56.0211,0.4118,50.2902,49.7639,51.242,0.3815,4.7349,4.6763,4.9136,0.0549,173.6646,173.6646,173.6646,0.0,9555.908,9458.9881,9728.8885,71.5073
600M,0.1,block,55.2351,54.9036,55.6572,0.1842,50.482,50.148,50.8961,0.1871,4.7531,4.7174,4.8339,0.0273,347.1594,347.1594,347.1594,0.0,19175.3806,19060.289,19321.9042,63.9559
600M,0.2,random,46.3136,46.1417,47.053,0.2484,41.5497,41.4006,42.2599,0.2343,4.7639,4.7269,4.8384,0.0305,346.7811,346.7811,346.7811,0.0,16060.6769,16001.0529,16317.0741,86.1253
600M,0.2,block,46.4329,46.1238,47.5273,0.4014,41.6567,41.399,42.6579,0.3591,4.7761,4.7246,4.8866,0.0515,346.8906,346.8906,346.8906,0.0,16107.1286,15999.9035,16486.7618,139.2404
600M,0.4,random,34.3459,34.2106,34.4106,0.0428,29.542,29.3444,29.5784,0.0494,4.8039,4.7736,4.8661,0.0216,345.7574,345.7574,345.7574,0.0,11875.3465,11828.5646,11897.7359,14.7955
600M,0.4,block,34.3468,34.3262,34.3596,0.0078,29.5478,29.5374,29.5567,0.0041,4.799,4.7874,4.8072,0.0056,345.2682,345.2682,345.2682,0.0,11858.8633,11851.7356,11863.2871,2.684
600M,0.6,random,28.8502,28.8198,28.9537,0.0353,24.109,24.0849,24.178,0.0209,4.7412,4.7239,4.8394,0.0243,347.5348,347.5348,347.5348,0.0,10026.438,10015.869,10062.4214,12.2595
600M,0.6,block,28.8709,28.8566,28.892,0.01,24.1284,24.1144,24.1458,0.0087,4.7425,4.7274,4.7749,0.0105,343.718,343.718,343.718,0.0,9923.4562,9918.5199,9930.696,3.4265
600M,0.8,random,21.8235,21.7977,21.8515,0.0137,17.1516,17.1351,17.1742,0.0111,4.6718,4.6611,4.6853,0.0065,339.4228,339.4228,339.4228,0.0,7407.3769,7398.6439,7416.8895,4.6555
600M,0.8,block,21.8536,21.7979,21.9691,0.0639,17.1733,17.1319,17.269,0.0531,4.6803,4.666,4.7046,0.0134,343.6091,343.6091,343.6091,0.0,7509.0818,7489.9515,7548.7695,21.9588
