backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.2,random,4.8812,4.8437,4.9436,0.0282,2.1044,2.0748,2.1515,0.0207,2.7767,2.7625,2.8058,0.0113,139.5509,139.5509,139.5509,0.0,681.1713,675.9472,689.8831,3.9408
tiny,0.2,block,4.8471,4.829,4.8743,0.0111,2.0798,2.0651,2.1047,0.0085,2.7674,2.7581,2.7747,0.0045,141.323,141.323,141.323,0.0,685.0083,682.45,688.8509,1.5711
tiny,0.1,random,5.0002,4.9737,5.0364,0.0178,2.2287,2.2068,2.2562,0.0126,2.7715,2.7627,2.7884,0.0078,141.323,141.323,141.323,0.0,706.6413,702.9035,711.7616,2.5218
tiny,0.1,block,5.0084,4.9895,5.0343,0.0112,2.2238,2.2125,2.245,0.0088,2.7846,2.7743,2.7929,0.0052,141.323,141.323,141.323,0.0,707.8012,705.1298,711.4627,1.5846
100M,0.2,random,9.2348,8.7621,9.8128,0.4691,6.2801,5.9415,6.694,0.332,2.9547,2.8106,3.1239,0.1372,117.876,117.876,117.876,0.0,1088.5636,1032.8366,1156.6883,55.2943
100M,0.2,block,8.7849,8.6197,8.964,0.0831,5.9501,5.8384,6.0473,0.053,2.8348,2.7803,2.9166,0.0333,146.1393,146.1393,146.1393,0.0,1283.8148,1259.6825,1309.9896,12.1491
100M,0.1,random,9.764,9.6058,9.794,0.0392,6.9313,6.8093,6.955,0.0317,2.8327,2.7964,2.8502,0.01,169.692,169.692,169.692,0.0,1656.8696,1630.0225,1661.9643,6.653
100M,0.1,block,9.7583,9.5698,9.7825,0.0448,6.9245,6.7825,6.9495,0.035,2.8338,2.7873,2.8436,0.0115,212.4332,212.4333,212.4333,0.0,2072.9929,2032.9464,2078.1357,9.5226
300M,0.2,random,20.2326,19.7411,22.0569,0.8473,17.3393,16.9048,18.9084,0.7496,2.8933,2.8332,3.1492,0.1046,122.0502,122.0502,122.0502,0.0,2469.3928,2409.4047,2692.0424,103.417
300M,0.2,block,19.7617,19.734,19.8091,0.0207,16.9153,16.8934,16.9476,0.0167,2.8464,2.8307,2.9047,0.0147,196.781,196.781,196.781,0.0,3888.7247,3883.2764,3898.0482,4.0678
300M,0.1,random,21.075,21.0296,21.2869,0.0603,18.1502,18.121,18.2644,0.0361,2.9248,2.8922,3.0225,0.027,298.1186,298.1186,298.1186,0.0,6282.8387,6269.3157,6346.0153,17.9885
300M,0.1,block,20.8897,20.8656,20.9334,0.016,17.9899,17.9666,18.0021,0.0102,2.8998,2.8892,2.9492,0.0128,345.2063,345.2063,345.2063,0.0,7211.2436,7202.9231,7226.3388,5.5323
600M,0.2,random,46.1799,45.6387,51.1181,1.2072,41.4357,40.952,45.9291,1.1062,4.7443,4.6688,5.189,0.1163,169.5628,169.5628,169.5628,0.0,7830.4018,7738.6339,8667.7251,204.6983
600M,0.2,block,46.0092,45.7765,46.2277,0.167,41.2775,41.0783,41.4763,0.1474,4.7317,4.692,4.8815,0.0388,333.013,333.013,333.013,0.0,15321.6778,15244.1662,15394.4337,55.6054
600M,0.1,random,54.9597,54.8416,55.2856,0.1573,50.2452,50.1407,50.5484,0.1444,4.7145,4.6939,4.7472,0.0174,348.0991,348.0991,348.0991,0.0,19131.4197,19090.3067,19244.8804,54.7421
600M,0.1,block,55.0088,54.8321,55.2871,0.1896,50.2894,50.1286,50.5282,0.1798,4.7195,4.6949,4.7589,0.017,348.2269,348.2269,348.2269,0.0,19155.5591,19094.0093,19252.4647,66.0386
