backbone,mask_ratio,block,random,ratio
100M,0.1,3541.1725,3542.2344,1.0003
100M,0.2,3526.7079,3534.0771,1.0021
100M,0.4,3193.2435,3201.1767,1.0025
100M,0.6,3163.2706,3174.4181,1.0035
100M,0.8,3077.6778,3058.0391,1.0064
300M,0.1,7568.9438,7601.7724,1.0043
300M,0.2,7556.8434,7538.5865,1.0024
300M,0.4,7200.7302,7172.3774,1.004
300M,0.6,7134.7642,7096.5822,1.0054
300M,0.8,6870.8983,6865.4229,1.0008
600M,0.1,19923.2316,19884.801,1.0019
600M,0.2,19777.3776,19762.9486,1.0007
600M,0.4,19530.7464,19571.3744,1.0021
600M,0.6,16444.3937,16447.9786,1.0002
600M,0.8,16141.9794,16108.3946,1.0021
tiny,0.1,1772.738,1763.7754,1.0051
tiny,0.2,1789.5717,1769.1823,1.0115
tiny,0.4,1740.9087,1727.9093,1.0075
tiny,0.6,1735.4111,1736.7868,1.0008
tiny,0.8,1693.9599,1692.4777,1.0009
