backbone,mask_ratio,energy_mean,step_ratio
100M,0.1,3541.7034,
100M,0.2,3530.3925,1.0032
100M,0.4,3197.2101,1.1042
100M,0.6,3168.8444,1.009
100M,0.8,3067.8584,1.0329
300M,0.1,7585.3581,
300M,0.2,7547.715,1.005
300M,0.4,7186.5538,1.0503
300M,0.6,7115.6732,1.01
300M,0.8,6868.1606,1.036
600M,0.1,19904.0163,
600M,0.2,19770.1631,1.0068
600M,0.4,19551.0604,1.0112
600M,0.6,16446.1862,1.1888
600M,0.8,16125.187,1.0199
tiny,0.1,1768.2567,
tiny,0.2,1779.377,0.9938
tiny,0.4,1734.409,1.0259
tiny,0.6,1736.099,0.999
tiny,0.8,1693.2188,1.0253
