backbone,step,tokens_from,tokens_to,tokens_pct_drop,time_pct_drop,energy_pct_drop
tiny,10->20%,569,550,3.34,-0.69,-0.63
tiny,20->40%,550,511,7.09,2.86,2.53
tiny,40->60%,511,471,7.83,0.04,-0.1
tiny,60->80%,471,432,8.28,2.41,2.47
100M,10->20%,569,550,3.34,0.47,0.32
100M,20->40%,550,511,7.09,9.35,9.44
100M,40->60%,511,471,7.83,0.96,0.89
100M,60->80%,471,432,8.28,2.99,3.19
300M,10->20%,569,550,3.34,0.47,0.5
300M,20->40%,550,511,7.09,4.75,4.79
300M,40->60%,511,471,7.83,0.93,0.99
300M,60->80%,471,432,8.28,3.5,3.48
600M,10->20%,743,719,3.23,0.54,0.67
600M,20->40%,719,669,6.95,1.25,1.11
600M,40->60%,669,615,8.07,16.0,15.88
600M,60->80%,615,561,8.78,1.76,1.95
