backbone,mask_ratio,mask_type,summer_masked,total_tokens,tokens_encoded,global_ratio,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.1,random,20,588,569,0.034,5.1004,5.0677,5.1476,0.0199,2.295,2.269,2.327,0.0149,2.8055,2.796,2.8221,0.0074,343.2223,343.2223,343.2223,0.0,1750.5812,1739.3573,1766.7827,6.8386
tiny,0.1,block,20,588,569,0.034,5.1264,5.0952,5.1479,0.0152,2.307,2.2828,2.3258,0.0135,2.8194,2.8119,2.8378,0.0054,341.934,341.934,341.934,0.0,1752.9048,1742.2093,1760.2339,5.1976
tiny,0.2,random,39,588,550,0.0663,5.1236,5.0995,5.1967,0.0202,2.3014,2.2841,2.3164,0.0111,2.8222,2.8125,2.8802,0.0137,343.255,343.255,343.255,0.0,1758.7109,1750.4358,1783.7779,6.925
tiny,0.2,block,39,588,550,0.0663,5.144,5.1247,5.1929,0.0145,2.3071,2.2911,2.3268,0.0085,2.8369,2.8284,2.8662,0.0078,344.449,344.449,344.449,0.0,1771.8526,1765.2059,1788.6969,5.0046
tiny,0.4,random,78,588,511,0.1327,5.0118,4.9846,5.0472,0.0155,2.178,2.1596,2.2124,0.0132,2.8338,2.8244,2.8435,0.0052,347.906,347.906,347.906,0.0,1743.6361,1734.1698,1755.9613,5.3834
tiny,0.4,block,78,588,511,0.1327,5.0174,4.993,5.0382,0.0131,2.1833,2.1634,2.2067,0.0129,2.8341,2.8245,2.8534,0.0062,347.52,347.52,347.52,0.0,1743.6471,1735.1641,1750.8665,4.5498
tiny,0.6,random,117,588,471,0.199,4.9775,4.9601,4.9939,0.0097,2.1413,2.1222,2.1543,0.0081,2.8362,2.826,2.8449,0.0046,347.964,347.964,347.964,0.0,1731.9871,1725.9369,1737.7067,3.3875
tiny,0.6,block,117,588,471,0.199,4.9783,4.9497,5.009,0.0164,2.1465,2.1198,2.1722,0.015,2.8319,2.8251,2.8414,0.0047,348.102,348.102,348.102,0.0,1732.9728,1723.0073,1743.6514,5.7229
tiny,0.8,random,156,588,432,0.2653,4.8828,4.8538,4.9118,0.0171,2.03,2.0065,2.063,0.0153,2.8528,2.8444,2.8582,0.0038,346.0293,346.0293,346.0293,0.0,1689.5903,1679.5414,1699.6349,5.9063
tiny,0.8,block,156,588,432,0.2653,4.9018,4.8445,4.958,0.034,2.0437,2.0003,2.0953,0.0274,2.8581,2.8442,2.8755,0.0091,344.478,344.478,344.478,0.0,1688.5602,1668.8088,1707.9296,11.7272
100M,0.1,random,20,588,569,0.034,10.1568,10.1111,10.2262,0.038,7.2431,7.2065,7.2853,0.0274,2.9137,2.8939,2.949,0.0131,348.306,348.306,348.306,0.0,3537.6698,3521.7711,3561.8612,13.2429
100M,0.1,block,20,588,569,0.034,10.1469,10.1102,10.2212,0.0329,7.2375,7.2076,7.2993,0.025,2.9095,2.8968,2.9511,0.0126,348.949,348.949,348.949,0.0,3540.7618,3527.9297,3566.6736,11.4773
