masker,patch_size,nominal_pct,spring_pct,summer_pct,fall_pct,global_pct,spring_bleed,fall_bleed
block,16,5.0,0.0,5.102,0.0,1.7007,False,False
block,16,10.0,0.0,10.2041,0.0,3.4014,False,False
block,16,15.0,0.0,15.3061,0.0,5.102,False,False
block,16,20.0,0.0,19.898,0.0,6.6327,False,False
block,16,30.0,0.0,30.6122,0.0,10.2041,False,False
block,16,40.0,0.0,39.7959,0.0,13.2653,False,False
block,16,50.0,0.0,50.0,0.0,16.6667,False,False
block,16,60.0,0.0,59.6939,0.0,19.898,False,False
block,16,70.0,0.0,71.4286,0.0,23.8095,False,False
block,16,80.0,0.0,79.5918,0.0,26.5306,False,False
block,16,90.0,0.0,92.8571,0.0,30.9524,False,False
block,16,95.0,0.0,92.8571,0.0,30.9524,False,False
block,14,5.0,0.0,5.0781,0.0,1.6927,False,False
block,14,10.0,0.0,10.1562,0.0,3.3854,False,False
block,14,15.0,0.0,15.2344,0.0,5.0781,False,False
block,14,20.0,0.0,19.5312,0.0,6.5104,False,False
block,14,30.0,0.0,30.0781,0.0,10.026,False,False
block,14,40.0,0.0,39.0625,0.0,13.0208,False,False
block,14,50.0,0.0,50.0,0.0,16.6667,False,False
block,14,60.0,0.0,60.1562,0.0,20.0521,False,False
block,14,70.0,0.0,70.3125,0.0,23.4375,False,False
block,14,80.0,0.0,81.25,0.0,27.0833,False,False
block,14,90.0,0.0,87.8906,0.0,29.2969,False,False
block,14,95.0,0.0,93.75,0.0,31.25,False,False
random,16,5.0,0.0,5.102,0.0,1.7007,False,False
random,16,10.0,0.0,10.2041,0.0,3.4014,False,False
random,16,15.0,0.0,14.7959,0.0,4.932,False,False
random,16,20.0,0.0,19.898,0.0,6.6327,False,False
random,16,30.0,0.0,30.102,0.0,10.034,False,False
random,16,40.0,0.0,39.7959,0.0,13.2653,False,False
random,16,50.0,0.0,50.0,0.0,16.6667,False,False
random,16,60.0,0.0,60.2041,0.0,20.068,False,False
random,16,70.0,0.0,69.898,0.0,23.2993,False,False
random,16,80.0,0.0,80.102,0.0,26.7007,False,False
random,16,90.0,0.0,89.7959,0.0,29.932,False,False
random,16,95.0,0.0,94.898,0.0,31.6327,False,False
random,14,5.0,0.0,5.0781,0.0,1.6927,False,False
random,14,10.0,0.0,10.1562,0.0,3.3854,False,False
random,14,15.0,0.0,14.8438,0.0,4.9479,False,False
random,14,20.0,0.0,19.9219,0.0,6.6406,False,False
random,14,30.0,0.0,30.0781,0.0,10.026,False,False
random,14,40.0,0.0,39.8438,0.0,13.2812,False,False
random,14,50.0,0.0,50.0,0.0,16.6667,False,False
random,14,60.0,0.0,60.1562,0.0,20.0521,False,False
random,14,70.0,0.0,69.9219,0.0,23.3073,False,False
random,14,80.0,0.0,80.0781,0.0,26.6927,False,False
random,14,90.0,0.0,89.8438,0.0,29.9479,False,False
random,14,95.0,0.0,94.9219,0.0,31.6406,False,False
