backbone,mask_ratio,n,block_psnr_mean,block_psnr_std,block_mae_mean,block_mae_std,block_ssim_mean,block_ssim_std,global_psnr_mean,global_mae_mean,random_psnr_mean,delta_psnr
tiny,0.2,2500,34.2572,2.6692,0.015478,0.004564,0.8765,0.045,39.7865,0.004453,34.57,-0.3128
tiny,0.4,2500,33.1784,2.5203,0.017394,0.004943,0.8613,0.046,35.9885,0.00933,33.31,-0.1316
tiny,0.6,2500,31.9793,2.33,0.020028,0.005322,0.834,0.0478,33.2484,0.015122,31.61,0.3693
tiny,0.8,2500,30.0346,2.1743,0.025919,0.0064,0.7738,0.0562,30.3674,0.024008,29.1,0.9346
100M,0.2,2500,35.3923,2.7423,0.01344,0.004153,0.9015,0.0387,40.9685,0.003834,35.85,-0.4577
100M,0.4,2500,33.9611,2.581,0.015726,0.004639,0.8827,0.0407,36.794,0.008392,34.16,-0.1989
100M,0.6,2500,32.5268,2.3578,0.018586,0.005008,0.8522,0.0436,33.8033,0.014001,32.11,0.4168
100M,0.8,2500,30.3714,2.1737,0.024664,0.006032,0.7881,0.0526,30.7083,0.022828,29.34,1.0314
300M,0.2,2500,35.7916,2.7007,0.012777,0.003916,0.9095,0.0356,41.3906,0.003636,36.32,-0.5284
300M,0.4,2500,34.3555,2.5491,0.014947,0.004363,0.8918,0.0376,37.2008,0.007963,34.58,-0.2245
300M,0.6,2500,32.8407,2.345,0.017792,0.004773,0.8612,0.0408,34.1293,0.013379,32.43,0.4107
300M,0.8,2500,30.6248,2.1543,0.023718,0.005715,0.7968,0.0507,30.9634,0.021955,29.55,1.0748
600M,0.2,2500,36.1924,2.9018,0.012283,0.004082,0.9181,0.0353,42.009,0.003359,37.32,-1.1276
600M,0.4,2500,34.9281,2.6378,0.013961,0.004228,0.9032,0.0354,37.9243,0.007221,35.56,-0.6319
600M,0.6,2500,33.4057,2.3536,0.016523,0.004474,0.8751,0.038,34.7245,0.012377,33.28,0.1257
600M,0.8,2500,31.0604,2.2096,0.022405,0.005571,0.812,0.049,31.4727,0.020447,30.19,0.8704
