backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
600M,0.1,random,54.8724,54.4432,60.662,1.3459,50.1905,49.7882,55.6419,1.2659,4.682,4.6408,5.02,0.0819,160.7905,160.7905,160.7905,0.0,8822.9683,8753.9564,9753.8705,216.4113
600M,0.1,block,54.6767,54.4605,54.8914,0.1849,49.9963,49.7961,50.2018,0.1757,4.6804,4.6614,4.7103,0.0122,341.1927,341.1927,341.1927,0.0,18655.286,18581.5142,18728.5362,63.091
600M,0.2,random,45.8502,45.8249,45.8998,0.0192,41.1571,41.141,41.178,0.0103,4.6931,4.6788,4.7284,0.0129,345.8346,345.8346,345.8346,0.0,15856.5812,15847.8209,15873.7283,6.6506
600M,0.2,block,45.9294,45.8225,46.4508,0.1675,41.2281,41.1393,41.6911,0.149,4.7013,4.6815,4.7597,0.0206,346.6514,346.6514,346.6514,0.0,15921.4923,15884.4369,16102.2364,58.0523
600M,0.4,random,34.1264,33.8858,34.4508,0.1068,29.3623,29.17,29.5206,0.0668,4.7641,4.7158,5.0026,0.0568,347.059,347.0591,347.0591,0.0,11843.8817,11760.3724,11956.4633,37.0494
600M,0.4,block,34.1156,34.0563,34.2549,0.04,29.3554,29.3122,29.4235,0.02,4.7602,4.7334,4.9168,0.0369,345.9275,345.9274,345.9274,0.0,11801.5086,11781.0239,11849.7022,13.8504
600M,0.6,random,28.6003,28.5212,28.6373,0.0237,23.9211,23.8253,23.9496,0.0246,4.6793,4.6616,4.6959,0.0098,342.304,342.304,342.304,0.0,9790.0035,9762.9208,9802.6622,8.1213
600M,0.6,block,28.6073,28.5869,28.648,0.0164,23.9222,23.9109,23.9356,0.0064,4.6851,4.6692,4.7198,0.0132,343.5363,343.5363,343.5363,0.0,9827.6463,9820.6255,9841.6128,5.6366
600M,0.8,random,21.676,21.655,21.7134,0.0132,17.0445,17.0308,17.0602,0.0092,4.6315,4.6189,4.6563,0.0094,341.7143,341.7143,341.7143,0.0,7407.008,7399.8383,7419.7866,4.5066
600M,0.8,block,21.6634,21.6399,21.6953,0.0139,17.0306,17.0216,17.044,0.0062,4.6328,4.6169,4.6673,0.0121,339.1343,339.1343,339.1343,0.0,7346.8189,7338.8288,7357.6117,4.7206
