backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.8,random,4.5691,4.5091,4.6799,0.0462,1.7688,1.7092,1.8788,0.0449,2.8002,2.792,2.8176,0.0058,130.0993,130.0993,130.0993,0.0,594.432,586.6367,608.8535,6.013
tiny,0.8,block,4.5382,4.4697,4.8861,0.1057,1.7555,1.7001,2.0669,0.0946,2.7827,2.7646,2.8192,0.0144,132.098,132.098,132.098,0.0,599.4884,590.4389,645.4438,13.9607
tiny,0.6,random,4.6066,4.5259,4.7998,0.0786,1.8193,1.7455,2.0044,0.0733,2.7873,2.7756,2.8023,0.0067,132.098,132.098,132.098,0.0,608.5204,597.8583,634.0435,10.3849
tiny,0.6,block,4.5474,4.4982,4.6719,0.0469,1.7634,1.7114,1.882,0.0429,2.784,2.7725,2.8007,0.008,161.6535,161.6535,161.6535,0.0,735.1018,727.1453,755.2211,7.5761
tiny,0.4,random,4.6631,4.6029,4.7569,0.0381,1.8758,1.8259,1.9545,0.0309,2.7873,2.7715,2.8449,0.0162,191.209,191.209,191.209,0.0,891.6277,880.113,909.5613,7.2869
tiny,0.4,block,4.6304,4.5998,4.6787,0.0213,1.8457,1.8244,1.8941,0.0192,2.7847,2.7719,2.8034,0.0072,191.209,191.209,191.209,0.0,885.369,879.5145,894.6162,4.0649
tiny,0.2,random,4.906,4.8749,4.9925,0.0255,2.1222,2.1,2.1847,0.0197,2.7838,2.7712,2.8077,0.0096,191.209,191.209,191.209,0.0,938.0783,932.1338,954.6068,4.8737
tiny,0.2,block,4.8758,4.8538,4.9219,0.0155,2.0938,2.0786,2.1394,0.0144,2.782,2.7694,2.7952,0.006,217.6483,217.6483,217.6483,0.0,1061.2025,1056.4233,1071.2342,3.3731
tiny,0.1,random,5.0536,5.0254,5.0852,0.0138,2.2568,2.2354,2.28,0.0133,2.7967,2.776,2.8325,0.0119,270.527,270.527,270.527,0.0,1367.1284,1359.5134,1375.6774,3.7338
tiny,0.1,block,5.0323,5.0115,5.0626,0.0115,2.2356,2.2249,2.2481,0.0066,2.7967,2.7866,2.8145,0.0068,270.527,270.527,270.527,0.0,1361.3793,1355.7493,1369.5674,3.1057
100M,0.8,random,5.4058,4.9217,5.5718,0.2535,2.3439,2.1321,2.4354,0.1173,3.0619,2.7809,3.1466,0.1411,142.1067,142.1067,142.1067,0.0,768.2007,699.4106,791.792,36.0192
100M,0.8,block,5.4313,5.1081,5.5691,0.1844,2.3635,2.2186,2.4281,0.0785,3.0678,2.8875,3.1622,0.1113,142.007,142.007,142.007,0.0,771.2811,725.381,790.8481,26.1875
100M,0.6,random,6.287,6.2444,6.3254,0.0258,3.4805,3.4486,3.508,0.0179,2.8065,2.7868,2.8334,0.0115,142.007,142.007,142.007,0.0,892.8022,886.743,898.2453,3.6698
100M,0.6,block,6.2908,6.2591,6.3065,0.0115,3.4774,3.4623,3.5004,0.0092,2.8134,2.7967,2.8296,0.0083,170.597,170.597,170.597,0.0,1073.1905,1067.7752,1075.8765,1.9682
100M,0.4,random,6.8022,6.6391,6.8393,0.0455,3.9387,3.8345,3.9679,0.0334,2.8635,2.8046,2.8998,0.0177,199.187,199.187,199.187,0.0,1354.9085,1322.4218,1362.3083,9.0702
100M,0.4,block,6.8043,6.7524,6.8231,0.0144,3.9401,3.9051,3.9589,0.0099,2.8642,2.8473,2.8778,0.0061,199.187,199.187,199.187,0.0,1355.3205,1344.9862,1359.0808,2.8735
100M,0.2,random,8.8371,8.7998,8.9268,0.0279,5.9891,5.9563,6.0868,0.0261,2.848,2.8323,2.8697,0.0087,248.5266,248.5266,248.5266,0.0,2196.2582,2186.9735,2218.5546,6.9352
100M,0.2,block,8.8431,8.6942,9.0863,0.0996,5.9888,5.8831,6.1647,0.0739,2.8542,2.8038,2.9346,0.0313,289.643,289.643,289.643,0.0,2561.3332,2518.2114,2631.7871,28.8521
100M,0.1,random,9.7818,9.609,9.8366,0.0449,6.9356,6.8158,6.9734,0.0316,2.8462,2.7931,2.8919,0.017,306.8423,306.8423,306.8423,0.0,3001.4838,2948.4382,3018.2808,13.7723
100M,0.1,block,9.7761,9.5766,9.8055,0.0468,6.9281,6.7801,6.9513,0.0346,2.8479,2.7966,2.8743,0.0149,341.241,341.241,341.241,0.0,3335.9994,3267.9375,3346.0442,15.9652
300M,0.8,random,8.9706,8.4419,9.4557,0.4078,5.9612,5.5798,6.2614,0.2857,3.0094,2.8607,3.1943,0.1272,137.303,137.303,137.303,0.0,1231.6901,1159.0975,1298.2987,55.992
300M,0.8,block,8.4387,8.2815,8.4934,0.0489,5.5764,5.4702,5.6124,0.0357,2.8623,2.8113,2.8901,0.0174,140.3332,140.3332,140.3332,0.0,1184.2301,1162.1657,1191.9114,6.8632
300M,0.6,random,13.0101,12.9833,13.0788,0.0238,10.1999,10.1811,10.266,0.0194,2.8102,2.7922,2.8562,0.0177,167.605,167.605,167.605,0.0,2180.5582,2176.0586,2192.0652,3.9893
300M,0.6,block,12.9902,12.9741,13.0304,0.0132,10.1855,10.1743,10.2337,0.0128,2.8047,2.7861,2.8268,0.0103,215.0566,215.0566,215.0566,0.0,2793.6283,2790.1759,2802.2822,2.8334
300M,0.4,random,16.5355,16.5054,16.5656,0.0145,13.7144,13.6971,13.7371,0.0119,2.8212,2.8083,2.8334,0.0081,276.4948,276.4948,276.4948,0.0,4571.9916,4563.6479,4580.306,4.0191
300M,0.4,block,16.5473,16.5089,16.6329,0.0414,13.7202,13.6864,13.7894,0.0354,2.8271,2.81,2.8452,0.0092,341.365,341.365,341.365,0.0,5648.6689,5635.5697,5677.8806,14.1254
300M,0.2,random,19.828,19.7593,20.0855,0.0825,16.9545,16.9042,17.1685,0.0587,2.8735,2.838,3.0386,0.0421,342.5612,342.5612,342.5612,0.0,6792.3199,6768.777,6880.5088,28.278
300M,0.2,block,19.9043,19.888,19.9347,0.0099,17.0316,17.02,17.0598,0.0088,2.8727,2.8612,2.8896,0.0067,345.8628,345.8628,345.8628,0.0,6884.1598,6878.5049,6894.6807,3.4133
300M,0.1,random,20.9357,20.8819,21.0618,0.0411,18.0193,17.983,18.129,0.0311,2.9164,2.8989,3.0024,0.022,348.3005,348.3005,348.3005,0.0,7291.9059,7273.1799,7335.8258,14.3239
300M,0.1,block,20.9053,20.8784,20.9269,0.0149,17.998,17.9817,18.0199,0.0098,2.9073,2.8933,2.9245,0.0093,346.9109,346.9109,346.9109,0.0,7252.2817,7242.94,7259.7767,5.1783
600M,0.8,random,22.0275,21.521,24.5387,1.0053,17.326,16.8975,19.3302,0.8499,4.7015,4.6215,5.2151,0.1737,122.3982,122.3982,122.3982,0.0,2696.1273,2634.1339,3003.4984,123.0452
600M,0.8,block,21.6435,21.5217,21.9783,0.1189,16.9893,16.893,17.2225,0.0896,4.6543,4.6223,4.7557,0.035,189.3684,189.3684,189.3684,0.0,4098.5999,4075.5289,4161.9881,22.5189
600M,0.6,random,28.4759,28.4662,28.4919,0.0074,23.7847,23.7715,23.8035,0.0082,4.6912,4.6787,4.7039,0.008,298.904,298.904,298.904,0.0,8511.5688,8508.6726,8516.3569,2.1988
600M,0.6,block,28.4737,28.4463,28.6202,0.0381,23.7767,23.7535,23.8976,0.0298,4.697,4.6804,4.7513,0.0163,343.628,343.628,343.628,0.0,9784.3709,9774.9564,9834.6938,13.081
600M,0.4,random,34.0039,33.8772,34.1763,0.1239,29.2421,29.1343,29.4054,0.1075,4.7617,4.7369,4.8035,0.0191,345.6393,345.6393,345.6393,0.0,11753.071,11709.2878,11812.6601,42.8237
600M,0.4,block,34.0139,33.8365,34.1174,0.1222,29.2514,29.1034,29.3409,0.1051,4.7625,4.7308,4.7807,0.0177,347.5861,347.5861,347.5861,0.0,11822.7483,11761.0829,11858.7309,42.4816
600M,0.2,random,46.0501,45.8213,46.1648,0.1322,41.3101,41.1091,41.4166,0.121,4.74,4.7122,4.7649,0.0143,348.1631,348.1631,348.1631,0.0,16032.9466,15953.2971,16072.89,46.0375
