backbone,mask_ratio,block,random,jump_random_vs_block
100M,0.1,1368.0797,1356.7275,1.0083673397937316
100M,0.2,2105.7574,1313.509,1.603154146640792
100M,0.4,1865.3833,1626.599,1.146799733677446
100M,0.6,2107.6463,2117.5773,1.0047118911745296
100M,0.8,1723.7408,1670.9182,1.0316129179752784
300M,0.1,4281.1444,2930.341,1.4609714023043736
300M,0.2,6881.3474,5848.4976,1.1766008760950846
300M,0.4,5825.755,5837.1236,1.0019514380539518
300M,0.6,4566.2242,4593.0081,1.0058656559176398
300M,0.8,2936.9009,2946.9754,1.0034303166307041
600M,0.1,19175.3806,9555.908,2.006651863956832
600M,0.2,16107.1286,16060.6769,1.002892262903315
600M,0.4,11858.8633,11875.3465,1.0013899477195254
600M,0.6,9923.4562,10026.438,1.0103776142026
600M,0.8,7509.0818,7407.3769,1.013730218047903
tiny,0.1,703.2533,689.0216,1.0206549402805367
tiny,0.2,686.7123,690.2212,1.0051097089712824
tiny,0.4,1052.1621,855.8945,1.2293128417112156
tiny,0.6,1022.4764,1019.7434,1.00268008599026
tiny,0.8,1383.2303,1140.4725,1.212857214882428
