backbone,mask_ratio,block,random,jump_random_vs_block
100M,0.1,3468.3888,3492.2579,1.0068818985922223
100M,0.2,3134.3695,3143.2355,1.002828639061221
100M,0.4,2426.5974,2434.6365,1.0033129104976375
100M,0.6,2260.8758,2272.7805,1.0052655258639152
100M,0.8,1785.8843,1779.7229,1.0034619996180305
300M,0.1,7453.2827,7499.0574,1.0061415488775167
300M,0.2,7100.7112,7107.0712,1.0008956849280113
300M,0.4,5920.3971,5925.8497,1.0009209855197043
300M,0.6,4644.2584,4646.1968,1.0004173755706616
300M,0.8,3053.3607,3039.608,1.0045244978957812
600M,0.1,19436.2278,19422.4823,1.0007077107749507
600M,0.2,16415.051,16325.376,1.0054929822137022
600M,0.4,12128.4622,12109.3969,1.001574421926826
600M,0.6,10146.4223,10169.3633,1.0022609940057394
600M,0.8,7699.4331,7670.0707,1.0038281785329566
tiny,0.1,1742.2525,1717.5928,1.0143571281854467
tiny,0.2,1657.2317,1696.7631,1.0238538763167515
tiny,0.4,1577.9285,1578.0208,1.000058494412136
tiny,0.6,1551.9582,1532.9949,1.0123700998613891
tiny,0.8,1547.3887,1512.2881,1.023210260002707
