backbone,mask_type,ratio_prev,mask_ratio,energy_prev,energy_mean,jump_step
100M,block,,0.1,,3468.3888,
100M,block,0.1,0.2,3468.3888,3134.3695,1.106566663566628
100M,block,0.2,0.4,3134.3695,2426.5974,1.2916726524144466
100M,block,0.4,0.6,2426.5974,2260.8758,1.0732997363234196
100M,block,0.6,0.8,2260.8758,1785.8843,1.2659699175360912
100M,random,,0.1,,3492.2579,
100M,random,0.1,0.2,3492.2579,3143.2355,1.111039214210962
100M,random,0.2,0.4,3143.2355,2434.6365,1.2910491976933722
100M,random,0.4,0.6,2434.6365,2272.7805,1.0712149721453526
100M,random,0.6,0.8,2272.7805,1779.7229,1.2770417799310219
300M,block,,0.1,,7453.2827,
300M,block,0.1,0.2,7453.2827,7100.7112,1.0496529840560196
300M,block,0.2,0.4,7100.7112,5920.3971,1.1993640088770396
300M,block,0.4,0.6,5920.3971,4644.2584,1.2747777126268427
300M,block,0.6,0.8,4644.2584,3053.3607,1.521031694683173
300M,random,,0.1,,7499.0574,
300M,random,0.1,0.2,7499.0574,7107.0712,1.0551543932752494
300M,random,0.2,0.4,7107.0712,5925.8497,1.1993336921791993
300M,random,0.4,0.6,5925.8497,4646.1968,1.2754194355262782
300M,random,0.6,0.8,4646.1968,3039.608,1.5285513131956487
600M,block,,0.1,,19436.2278,
600M,block,0.1,0.2,19436.2278,16415.051,1.1840491875413608
600M,block,0.2,0.4,16415.051,12128.4622,1.3534321770817739
600M,block,0.4,0.6,12128.4622,10146.4223,1.1953437222891856
600M,block,0.6,0.8,10146.4223,7699.4331,1.317814203749624
600M,random,,0.1,,19422.4823,
600M,random,0.1,0.2,19422.4823,16325.376,1.189711177249455
600M,random,0.2,0.4,16325.376,12109.3969,1.3481576444158008
600M,random,0.4,0.6,12109.3969,10169.3633,1.1907723760837612
600M,random,0.6,0.8,10169.3633,7670.0707,1.3258500081361702
tiny,block,,0.1,,1742.2525,
tiny,block,0.1,0.2,1742.2525,1657.2317,1.051302904717548
tiny,block,0.2,0.4,1657.2317,1577.9285,1.0502577905145893
tiny,block,0.4,0.6,1577.9285,1551.9582,1.0167338914153745
tiny,block,0.6,0.8,1551.9582,1547.3887,1.0029530395304038
tiny,random,,0.1,,1717.5928,
tiny,random,0.1,0.2,1717.5928,1696.7631,1.0122761391970394
tiny,random,0.2,0.4,1696.7631,1578.0208,1.075247613973149
tiny,random,0.4,0.6,1578.0208,1532.9949,1.0293712001259756
tiny,random,0.6,0.8,1532.9949,1512.2881,1.013692364569952
