backbone,mask_ratio,mask_type,time_mean,time_min,time_max,time_std,enc_mean,enc_min,enc_max,enc_std,dec_mean,dec_min,dec_max,dec_std,power_mean,power_min,power_max,power_std,energy_mean,energy_min,energy_max,energy_std
tiny,0.2,random,5.4916,5.4518,5.6126,0.0332,2.3669,2.3377,2.4774,0.0305,3.1247,3.1136,3.1352,0.0055,142.1548,142.1548,142.1548,0.0,780.6545,774.9962,797.8566,4.7224
tiny,0.2,block,5.2258,4.9352,5.4734,0.2416,2.2434,2.1113,2.3559,0.1066,2.9825,2.824,3.1274,0.1392,121.127,121.127,121.127,0.0,632.988,597.7896,662.9802,29.2604
tiny,0.4,random,4.6352,4.615,4.6705,0.0157,1.8497,1.8342,1.8779,0.0122,2.7855,2.7781,2.8156,0.0089,121.127,121.127,121.127,0.0,561.4424,559.0009,565.7267,1.9071
tiny,0.4,block,4.6326,4.5919,4.7351,0.0311,1.8382,1.8091,1.9398,0.0277,2.7944,2.7771,2.8099,0.0093,137.3827,137.3827,137.3827,0.0,636.4419,630.8485,650.5244,4.2752
tiny,0.6,random,4.4739,4.4207,4.6686,0.0509,1.692,1.6499,1.8768,0.0466,2.7819,2.7667,2.797,0.0074,169.894,169.894,169.894,0.0,760.0887,751.0524,793.1636,8.6503
tiny,0.6,block,4.4749,4.4371,4.5148,0.0183,1.685,1.6557,1.7089,0.0161,2.79,2.7743,2.8068,0.0087,169.894,169.894,169.894,0.0,760.2671,753.8429,767.0293,3.1105
tiny,0.8,random,4.4856,4.4455,4.5306,0.0219,1.7049,1.655,1.7565,0.0232,2.7807,2.7709,2.7929,0.0061,169.894,169.894,169.894,0.0,762.0686,755.2685,769.7209,3.7288
tiny,0.8,block,4.4681,4.4208,4.5485,0.0255,1.6871,1.6493,1.7566,0.023,2.781,2.7715,2.7919,0.0044,184.8727,184.8727,184.8727,0.0,826.0266,817.2774,840.901,4.7133
100M,0.2,random,9.3088,8.8797,9.7952,0.424,6.3313,6.0285,6.6723,0.3008,2.9775,2.8493,3.1356,0.1245,122.115,122.115,122.115,0.0,1136.7403,1084.3478,1196.1371,51.7781
100M,0.2,block,8.8405,8.7852,8.8809,0.0337,5.9966,5.9586,6.0309,0.0247,2.8439,2.8228,2.8653,0.011,134.809,134.809,134.809,0.0,1191.7794,1184.3183,1197.2218,4.5378
100M,0.4,random,6.8223,6.6461,6.9041,0.058,3.9607,3.8525,4.0062,0.0377,2.8616,2.7935,2.909,0.0218,134.809,134.809,134.809,0.0,919.7018,895.948,930.7352,7.8153
100M,0.4,block,6.8307,6.7711,6.8474,0.016,3.9632,3.9311,3.9771,0.0105,2.8675,2.8401,2.8737,0.0075,172.1215,172.1215,172.1215,0.0,1175.7047,1165.4557,1178.5902,2.7531
100M,0.6,random,6.3727,6.3455,6.4881,0.0351,3.5305,3.5118,3.5888,0.023,2.8421,2.8276,2.8993,0.0145,234.309,234.309,234.309,0.0,1493.177,1486.8183,1520.226,8.2308
100M,0.6,block,6.343,6.2985,6.3897,0.0186,3.5117,3.484,3.5532,0.0137,2.8313,2.8145,2.8426,0.0064,234.309,234.309,234.309,0.0,1486.2158,1475.792,1497.167,4.3588
100M,0.8,random,5.0142,4.9539,5.0573,0.0298,2.1739,2.1357,2.2022,0.0174,2.8404,2.8047,2.8566,0.0157,234.309,234.309,234.309,0.0,1174.8742,1160.745,1184.9717,6.9851
100M,0.8,block,5.0154,4.9728,5.0442,0.0173,2.167,2.1462,2.1908,0.0099,2.8484,2.8266,2.8626,0.01,332.896,332.896,332.896,0.0,1669.6051,1655.427,1679.2004,5.7726
300M,0.2,random,20.4639,19.8823,22.0051,0.5593,17.5304,17.0289,18.8764,0.4857,2.9335,2.8521,3.1288,0.0758,130.0274,130.0274,130.0274,0.0,2660.873,2585.2421,2861.2719,72.7249
300M,0.2,block,19.9872,19.8683,20.0893,0.0684,17.11,17.0166,17.1729,0.06,2.8772,2.8517,2.9288,0.0184,204.8798,204.8798,204.8798,0.0,4094.9706,4070.6106,4115.8915,14.0043
300M,0.4,random,16.7615,16.6965,16.8569,0.0626,13.9198,13.8608,13.9995,0.0538,2.8417,2.8256,2.86,0.0109,291.4042,291.4042,291.4042,0.0,4884.3671,4865.4355,4912.1762,18.2287
300M,0.4,block,16.6973,16.6741,16.7197,0.0095,13.8655,13.8428,13.8773,0.0073,2.8318,2.8173,2.8562,0.0082,334.528,334.528,334.528,0.0,5585.701,5577.965,5593.2059,3.1922
300M,0.6,random,13.1932,13.1599,13.3361,0.039,10.3611,10.3369,10.4777,0.03,2.8321,2.8153,2.8811,0.016,345.616,345.616,345.616,0.0,4559.7958,4548.2733,4609.1569,13.4835
300M,0.6,block,13.1547,13.0949,13.1722,0.0145,10.331,10.2783,10.3433,0.0132,2.8238,2.8141,2.8403,0.007,339.3432,339.3432,339.3432,0.0,4463.9743,4443.6607,4469.8969,4.9201
300M,0.8,random,8.5472,8.5106,8.5751,0.0179,5.6625,5.6309,5.6877,0.0132,2.8847,2.8706,2.9027,0.0098,339.0218,339.0218,339.0218,0.0,2897.6745,2885.289,2907.1289,6.059
300M,0.8,block,8.5467,8.445,8.5957,0.0383,5.6597,5.5897,5.7122,0.0282,2.887,2.8535,2.9042,0.0121,339.893,339.893,339.893,0.0,2904.9518,2870.3952,2921.6197,13.011
600M,0.2,random,46.4118,45.8792,50.7831,1.0152,41.6518,41.1641,45.9147,0.9876,4.76,4.7115,5.0007,0.0634,172.551,172.551,172.551,0.0,8008.3972,7916.4988,8762.6753,175.1799
600M,0.2,block,46.2929,46.1598,46.6589,0.1722,41.5418,41.434,41.8302,0.1471,4.7511,4.7206,4.8915,0.0353,332.0839,332.0839,332.0839,0.0,15373.1271,15328.9187,15494.6672,57.1766
600M,0.4,random,34.1578,34.1011,34.3923,0.0749,29.3859,29.3429,29.5731,0.0625,4.7718,4.7582,4.8191,0.0148,347.7401,347.7401,347.7401,0.0,11878.0228,11858.3101,11959.577,26.0298
600M,0.4,block,34.0833,34.0658,34.208,0.0292,29.3174,29.3041,29.415,0.0231,4.7659,4.7542,4.7931,0.0081,347.4659,347.4659,347.4659,0.0,11842.791,11836.6897,11886.1308,10.16
600M,0.6,random,28.6298,28.5806,28.8187,0.068,23.9282,23.8883,24.0939,0.058,4.7016,4.6848,4.7273,0.0133,349.268,349.268,349.268,0.0,9999.4607,9982.2755,10065.4456,23.735
600M,0.6,block,28.879,28.7964,29.1458,0.1098,24.1357,24.064,24.3556,0.095,4.7433,4.7179,4.7902,0.0185,348.0996,348.0996,348.0996,0.0,10052.7739,10024.0323,10145.6359,38.2064
600M,0.8,random,21.8152,21.7932,21.8431,0.0163,17.143,17.122,17.1688,0.0142,4.6722,4.6611,4.6874,0.0064,344.9101,344.9101,344.9101,0.0,7524.2785,7516.7058,7533.8973,5.6078
600M,0.8,block,21.8854,21.7912,22.1111,0.0931,17.1871,17.118,17.3334,0.0669,4.6983,4.6622,4.9679,0.0632,342.4952,342.4952,342.4952,0.0,7495.6329,7463.3741,7572.9558,31.8771
