chip,rank,role,ratio,random,block,delta_random_minus_block
chip_140_470_merged.tif,1,complex_rank1_new,0.2,42.45354,39.415825,3.037716
chip_140_470_merged.tif,1,complex_rank1_new,0.4,38.81565,35.61539,3.2002602
chip_140_470_merged.tif,1,complex_rank1_new,0.6,27.66249,27.71791,-0.055419922
chip_140_470_merged.tif,1,complex_rank1_new,0.8,22.0247,22.0247,0.0
chip_217_425_merged.tif,2,complex_rank2_original,0.2,39.882034,36.967213,2.9148216
chip_217_425_merged.tif,2,complex_rank2_original,0.4,35.484344,32.020565,3.4637794
chip_217_425_merged.tif,2,complex_rank2_original,0.6,28.575178,27.778475,0.79670334
chip_217_425_merged.tif,2,complex_rank2_original,0.8,19.9519,19.9519,0.0
chip_182_606_merged.tif,250,medium_rank250_new,0.2,42.172817,40.199852,1.9729652
chip_182_606_merged.tif,250,medium_rank250_new,0.4,38.039764,35.392616,2.6471481
chip_182_606_merged.tif,250,medium_rank250_new,0.6,32.222206,31.259743,0.9624634
chip_182_606_merged.tif,250,medium_rank250_new,0.8,22.6211,22.6211,0.0
chip_268_410_merged.tif,251,medium_rank251_original,0.2,42.715775,36.37603,6.3397446
chip_268_410_merged.tif,251,medium_rank251_original,0.4,37.720055,30.867554,6.852501
chip_268_410_merged.tif,251,medium_rank251_original,0.6,27.053677,26.0955,0.95817566
chip_268_410_merged.tif,251,medium_rank251_original,0.8,20.2692,20.2692,0.0
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.2,40.12781,36.206417,3.9213943
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.4,36.190907,30.65144,5.539467
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.6,25.21672,25.559639,-0.3429184
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.8,21.3501,21.3501,0.0
chip_105_452_merged.tif,500,simple_rank500_original,0.2,42.864662,42.176025,0.6886368
chip_105_452_merged.tif,500,simple_rank500_original,0.4,37.88451,36.561203,1.323307
chip_105_452_merged.tif,500,simple_rank500_original,0.6,28.864973,28.111235,0.7537384
chip_105_452_merged.tif,500,simple_rank500_original,0.8,22.5646,22.5646,0.0
