chip,rank,role,ratio,mask_type,trial,psnr
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,0,42.4046
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,1,42.351
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,2,43.102
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,3,42.1356
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,4,42.9136
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,5,42.8605
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,6,42.8037
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,7,42.1815
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,8,42.6831
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,9,41.1503
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,10,42.0687
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,11,42.4485
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,12,42.718
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,13,41.7767
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,14,42.1906
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,15,42.3701
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,16,42.8444
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,17,42.3443
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,18,42.8635
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,19,42.6967
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,20,42.9333
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,21,42.8265
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,22,42.797
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,23,42.872
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,24,42.6317
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,25,42.5332
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,26,42.8511
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,27,42.5082
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,28,41.2323
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,29,42.3861
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,30,42.0034
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,31,43.1386
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,32,42.951
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,33,42.8484
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,34,42.538
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,35,42.3599
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,36,42.4241
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,37,43.336
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,38,40.8941
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,39,42.8621
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,40,42.6331
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,41,42.6934
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,42,41.9698
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,43,43.0139
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,44,42.5111
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,45,40.478
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,46,43.1543
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,47,42.4898
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,48,41.1518
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,49,42.7475
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,0,38.0641
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,1,40.2919
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,2,39.1378
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,3,39.8785
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,4,37.0363
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,5,37.4175
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,6,40.2919
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,7,38.3678
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,8,39.0669
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,9,39.8059
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,10,37.0363
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,11,40.2769
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,12,40.144
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,13,37.6973
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,14,41.9147
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,15,38.3678
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,16,39.0546
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,17,37.4692
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,18,38.61
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,19,39.4779
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,20,39.1378
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,21,41.0865
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,22,39.0669
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,23,41.6156
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,24,41.0805
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,25,40.5354
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,26,38.6959
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,27,41.6156
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,28,37.4175
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,29,39.9626
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,30,40.7811
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,31,36.9378
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,32,39.3045
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,33,38.6959
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,34,38.7345
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,35,40.7472
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,36,40.7849
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,37,41.5872
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,38,41.4009
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,39,39.1701
