backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
100M,chip_154_484_merged.tif,0.2,0,241068914,3,13,0.199,0.003459,41.8283,0.9758,0.011172,36.9763,0.923
100M,chip_154_484_merged.tif,0.2,1,2007945931,3,13,0.199,0.003805,41.3085,0.9712,0.013624,35.6615,0.8945
100M,chip_154_484_merged.tif,0.2,2,1627339300,3,13,0.199,0.004493,39.724,0.9676,0.017349,33.464,0.8643
100M,chip_154_484_merged.tif,0.2,3,1147393782,3,13,0.199,0.004056,40.6801,0.9703,0.014488,34.9203,0.8931
100M,chip_154_484_merged.tif,0.2,4,766787151,3,13,0.199,0.004988,39.2628,0.9679,0.01822,33.1829,0.8794
100M,chip_154_484_merged.tif,0.4,0,80453581,6,13,0.398,0.008258,37.0719,0.9358,0.015886,34.2037,0.8779
100M,chip_154_484_merged.tif,0.4,1,1847330598,6,13,0.398,0.008546,36.9192,0.9356,0.015138,34.3844,0.8884
100M,chip_154_484_merged.tif,0.4,2,1367385080,6,13,0.398,0.008532,37.1984,0.9356,0.015598,34.4753,0.8868
100M,chip_154_484_merged.tif,0.4,3,986778449,6,13,0.398,0.008858,36.7037,0.9335,0.015432,34.2243,0.8847
100M,chip_154_484_merged.tif,0.4,4,506832931,6,13,0.398,0.008826,35.9839,0.9281,0.016852,33.0342,0.8644
100M,chip_154_484_merged.tif,0.6,0,190094237,9,13,0.5969,0.013539,34.1863,0.8855,0.018652,32.7016,0.8427
100M,chip_154_484_merged.tif,0.6,1,1956971254,9,13,0.5969,0.013511,34.1672,0.8838,0.01766,33.0706,0.8534
100M,chip_154_484_merged.tif,0.6,2,1477025736,9,13,0.5969,0.013102,34.4336,0.8871,0.017408,33.231,0.8556
100M,chip_154_484_merged.tif,0.6,3,1096419105,9,13,0.5969,0.014125,33.9592,0.8809,0.019091,32.4181,0.8379
100M,chip_154_484_merged.tif,0.6,4,616473587,9,13,0.5969,0.014745,33.7622,0.8754,0.017995,32.7975,0.8483
100M,chip_154_484_merged.tif,0.8,0,1002046826,12,13,0.7959,0.022905,30.8704,0.7859,0.025313,30.3471,0.7706
100M,chip_154_484_merged.tif,0.8,1,621440195,12,13,0.7959,0.023855,30.6852,0.7843,0.025203,30.4191,0.7739
100M,chip_154_484_merged.tif,0.8,2,240833564,12,13,0.7959,0.024803,30.632,0.7811,0.02503,30.6097,0.7785
100M,chip_154_484_merged.tif,0.8,3,1908371694,12,13,0.7959,0.022756,30.8618,0.7822,0.025121,30.4394,0.7624
100M,chip_154_484_merged.tif,0.8,4,1527765063,12,13,0.7959,0.0236,30.7777,0.7901,0.024612,30.6195,0.7839
100M,chip_119_126_merged.tif,0.2,0,984185675,3,13,0.199,0.00237,44.4742,0.9867,0.006969,40.0312,0.9625
100M,chip_119_126_merged.tif,0.2,1,603579044,3,13,0.199,0.00344,41.3974,0.9807,0.014245,35.0373,0.9185
100M,chip_119_126_merged.tif,0.2,2,123633526,3,13,0.199,0.002848,40.7762,0.985,0.010849,34.3236,0.9493
100M,chip_119_126_merged.tif,0.2,3,1890510543,3,13,0.199,0.002796,41.7277,0.9818,0.009649,36.1853,0.94
100M,chip_119_126_merged.tif,0.2,4,1509903912,3,13,0.199,0.003092,42.3999,0.9799,0.011041,36.3656,0.9273
100M,chip_119_126_merged.tif,0.4,0,18249492,6,13,0.398,0.006723,38.2126,0.9543,0.013559,35.004,0.9079
100M,chip_119_126_merged.tif,0.4,1,1685787622,6,13,0.398,0.006377,37.8626,0.9586,0.012126,34.6917,0.9245
100M,chip_119_126_merged.tif,0.4,2,1305180991,6,13,0.398,0.007165,37.1156,0.9576,0.012497,34.1077,0.9291
100M,chip_119_126_merged.tif,0.4,3,825235473,6,13,0.398,0.00674,37.8517,0.9559,0.011734,35.1623,0.9244
100M,chip_119_126_merged.tif,0.4,4,444628842,6,13,0.398,0.00735,37.3762,0.9544,0.015163,34.2445,0.9079
100M,chip_119_126_merged.tif,0.6,0,80272135,9,13,0.5969,0.011128,35.3144,0.9222,0.01432,34.0594,0.9028
100M,chip_119_126_merged.tif,0.6,1,1847149152,9,13,0.5969,0.01231,34.1152,0.9139,0.014756,33.3262,0.9015
100M,chip_119_126_merged.tif,0.6,2,1367203634,9,13,0.5969,0.010628,34.941,0.9215,0.014791,33.1244,0.8916
100M,chip_119_126_merged.tif,0.6,3,986597003,9,13,0.5969,0.011378,34.3247,0.912,0.016057,32.5694,0.8754
100M,chip_119_126_merged.tif,0.6,4,506651485,9,13,0.5969,0.010369,35.8943,0.9248,0.013788,34.6639,0.9035
100M,chip_119_126_merged.tif,0.8,0,1745163587,12,13,0.7959,0.024866,30.4213,0.8241,0.025184,30.2908,0.8259
100M,chip_119_126_merged.tif,0.8,1,1364556956,12,13,0.7959,0.020859,31.352,0.8409,0.021994,31.0676,0.8349
100M,chip_119_126_merged.tif,0.8,2,884611438,12,13,0.7959,0.021476,31.1102,0.8399,0.023238,30.7677,0.8282
100M,chip_119_126_merged.tif,0.8,3,504004807,12,13,0.7959,0.022027,31.0,0.8318,0.023623,30.6061,0.8172
100M,chip_119_126_merged.tif,0.8,4,123398176,12,13,0.7959,0.021314,31.4377,0.8416,0.022676,31.1233,0.8281
100M,chip_351_539_merged.tif,0.2,0,1817969303,3,13,0.199,0.002541,42.1599,0.9835,0.008485,36.2771,0.9409
100M,chip_351_539_merged.tif,0.2,1,1338023785,3,13,0.199,0.00214,45.6906,0.9885,0.007092,40.6535,0.9666
100M,chip_351_539_merged.tif,0.2,2,957417154,3,13,0.199,0.002911,42.2904,0.9848,0.011288,35.9639,0.9392
100M,chip_351_539_merged.tif,0.2,3,477471636,3,13,0.199,0.003244,41.4113,0.978,0.010656,35.651,0.9245
