chip,rank,role,ratio,random,block,delta_random_minus_block
chip_140_470_merged.tif,1,complex_rank1_new,0.2,43.103218,40.57104,2.532177
chip_140_470_merged.tif,1,complex_rank1_new,0.4,39.710728,37.221848,2.4888802
chip_140_470_merged.tif,1,complex_rank1_new,0.6,37.06893,34.81115,2.257782
chip_140_470_merged.tif,1,complex_rank1_new,0.8,34.737835,32.55887,2.1789665
chip_217_425_merged.tif,2,complex_rank2_original,0.2,40.698574,38.196617,2.501957
chip_217_425_merged.tif,2,complex_rank2_original,0.4,37.17329,34.818813,2.354477
chip_217_425_merged.tif,2,complex_rank2_original,0.6,34.58446,32.63149,1.9529724
chip_217_425_merged.tif,2,complex_rank2_original,0.8,32.19503,30.579226,1.6158047
chip_182_606_merged.tif,250,medium_rank250_new,0.2,42.671646,40.56506,2.1065865
chip_182_606_merged.tif,250,medium_rank250_new,0.4,39.427223,36.923504,2.5037193
chip_182_606_merged.tif,250,medium_rank250_new,0.6,36.940437,34.72858,2.2118568
chip_182_606_merged.tif,250,medium_rank250_new,0.8,34.60162,33.27698,1.3246384
chip_268_410_merged.tif,251,medium_rank251_original,0.2,43.464767,38.07867,5.386097
chip_268_410_merged.tif,251,medium_rank251_original,0.4,39.647285,33.87015,5.777134
chip_268_410_merged.tif,251,medium_rank251_original,0.6,36.27821,31.786377,4.4918327
chip_268_410_merged.tif,251,medium_rank251_original,0.8,32.704517,29.818535,2.8859825
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.2,40.08371,37.099255,2.984455
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.4,36.4003,31.153479,5.2468204
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.6,33.327892,27.330803,5.9970894
chip_282_562_merged.tif,499,simple_rank499_new_FLAGGED_cloud_contamination,0.8,29.650541,25.833454,3.8170872
chip_105_452_merged.tif,500,simple_rank500_original,0.2,43.798565,43.740734,0.05783081
chip_105_452_merged.tif,500,simple_rank500_original,0.4,39.86619,39.8815,-0.01530838
chip_105_452_merged.tif,500,simple_rank500_original,0.6,36.140194,35.79082,0.34937286
chip_105_452_merged.tif,500,simple_rank500_original,0.8,32.094532,30.036463,2.0580692
