chip,ratio,trial,psnr
chip_217_425_merged.tif,0.2,0,35.909
chip_217_425_merged.tif,0.2,1,38.0442
chip_217_425_merged.tif,0.2,2,35.8806
chip_217_425_merged.tif,0.2,3,34.3101
chip_217_425_merged.tif,0.2,4,34.6348
chip_217_425_merged.tif,0.2,5,36.5187
chip_217_425_merged.tif,0.2,6,38.0442
chip_217_425_merged.tif,0.2,7,34.3145
chip_217_425_merged.tif,0.2,8,36.2747
chip_217_425_merged.tif,0.2,9,36.6796
chip_217_425_merged.tif,0.2,10,34.6348
chip_217_425_merged.tif,0.2,11,40.612
chip_217_425_merged.tif,0.2,12,37.536
chip_217_425_merged.tif,0.2,13,35.1048
chip_217_425_merged.tif,0.2,14,38.4426
chip_217_425_merged.tif,0.2,15,34.3145
chip_217_425_merged.tif,0.2,16,38.0021
chip_217_425_merged.tif,0.2,17,35.6048
chip_217_425_merged.tif,0.2,18,35.6781
chip_217_425_merged.tif,0.2,19,37.3661
chip_217_425_merged.tif,0.2,20,35.8806
chip_217_425_merged.tif,0.2,21,37.7982
chip_217_425_merged.tif,0.2,22,36.2747
chip_217_425_merged.tif,0.2,23,38.5228
chip_217_425_merged.tif,0.2,24,38.1861
chip_217_425_merged.tif,0.2,25,38.2161
chip_217_425_merged.tif,0.2,26,35.3511
chip_217_425_merged.tif,0.2,27,38.5228
chip_217_425_merged.tif,0.2,28,36.5187
chip_217_425_merged.tif,0.2,29,34.0951
chip_217_425_merged.tif,0.2,30,40.2365
chip_217_425_merged.tif,0.2,31,35.5735
chip_217_425_merged.tif,0.2,32,35.1181
chip_217_425_merged.tif,0.2,33,35.3511
chip_217_425_merged.tif,0.2,34,40.7751
chip_217_425_merged.tif,0.2,35,39.3218
chip_217_425_merged.tif,0.2,36,39.2526
chip_217_425_merged.tif,0.2,37,38.9238
chip_217_425_merged.tif,0.2,38,37.8578
chip_217_425_merged.tif,0.2,39,34.3778
chip_217_425_merged.tif,0.2,40,36.99
chip_217_425_merged.tif,0.2,41,35.3147
chip_217_425_merged.tif,0.2,42,39.0879
chip_217_425_merged.tif,0.2,43,37.1688
chip_217_425_merged.tif,0.2,44,37.8561
chip_217_425_merged.tif,0.2,45,34.3778
chip_217_425_merged.tif,0.2,46,35.5735
chip_217_425_merged.tif,0.2,47,39.0879
chip_217_425_merged.tif,0.2,48,39.3218
chip_217_425_merged.tif,0.2,49,39.5216
chip_217_425_merged.tif,0.4,0,32.5215
chip_217_425_merged.tif,0.4,1,32.2767
chip_217_425_merged.tif,0.4,2,31.8229
chip_217_425_merged.tif,0.4,3,31.5938
chip_217_425_merged.tif,0.4,4,31.2207
chip_217_425_merged.tif,0.4,5,32.1334
chip_217_425_merged.tif,0.4,6,32.2767
chip_217_425_merged.tif,0.4,7,31.7299
chip_217_425_merged.tif,0.4,8,32.6089
chip_217_425_merged.tif,0.4,9,31.0328
chip_217_425_merged.tif,0.4,10,31.2207
chip_217_425_merged.tif,0.4,11,33.6497
chip_217_425_merged.tif,0.4,12,32.5287
chip_217_425_merged.tif,0.4,13,30.721
chip_217_425_merged.tif,0.4,14,32.2288
chip_217_425_merged.tif,0.4,15,31.7299
chip_217_425_merged.tif,0.4,16,32.2767
chip_217_425_merged.tif,0.4,17,32.1074
chip_217_425_merged.tif,0.4,18,31.8158
chip_217_425_merged.tif,0.4,19,32.7512
chip_217_425_merged.tif,0.4,20,31.0542
chip_217_425_merged.tif,0.4,21,31.9242
chip_217_425_merged.tif,0.4,22,32.6089
chip_217_425_merged.tif,0.4,23,32.3798
chip_217_425_merged.tif,0.4,24,31.9239
chip_217_425_merged.tif,0.4,25,32.2391
chip_217_425_merged.tif,0.4,26,31.6234
chip_217_425_merged.tif,0.4,27,32.3798
chip_217_425_merged.tif,0.4,28,32.1334
chip_217_425_merged.tif,0.4,29,31.1604
chip_217_425_merged.tif,0.4,30,32.8694
chip_217_425_merged.tif,0.4,31,31.0662
chip_217_425_merged.tif,0.4,32,31.0542
chip_217_425_merged.tif,0.4,33,31.6234
chip_217_425_merged.tif,0.4,34,33.6497
chip_217_425_merged.tif,0.4,35,32.4864
chip_217_425_merged.tif,0.4,36,32.1623
chip_217_425_merged.tif,0.4,37,32.3129
chip_217_425_merged.tif,0.4,38,32.3793
chip_217_425_merged.tif,0.4,39,31.6234
chip_217_425_merged.tif,0.4,40,32.0012
chip_217_425_merged.tif,0.4,41,31.0984
chip_217_425_merged.tif,0.4,42,32.3076
chip_217_425_merged.tif,0.4,43,32.2458
chip_217_425_merged.tif,0.4,44,32.3972
chip_217_425_merged.tif,0.4,45,31.7299
chip_217_425_merged.tif,0.4,46,31.0662
chip_217_425_merged.tif,0.4,47,32.3076
chip_217_425_merged.tif,0.4,48,32.4864
chip_217_425_merged.tif,0.4,49,32.4864
chip_217_425_merged.tif,0.6,0,27.3456
chip_217_425_merged.tif,0.6,1,27.8327
chip_217_425_merged.tif,0.6,2,27.3456
chip_217_425_merged.tif,0.6,3,27.3456
chip_217_425_merged.tif,0.6,4,27.3456
chip_217_425_merged.tif,0.6,5,27.3456
chip_217_425_merged.tif,0.6,6,27.8327
chip_217_425_merged.tif,0.6,7,27.3456
chip_217_425_merged.tif,0.6,8,27.1352
chip_217_425_merged.tif,0.6,9,27.1381
chip_217_425_merged.tif,0.6,10,27.3456
chip_217_425_merged.tif,0.6,11,28.848
chip_217_425_merged.tif,0.6,12,27.1352
chip_217_425_merged.tif,0.6,13,27.3456
chip_217_425_merged.tif,0.6,14,28.253
chip_217_425_merged.tif,0.6,15,27.3456
chip_217_425_merged.tif,0.6,16,27.8327
chip_217_425_merged.tif,0.6,17,27.3456
chip_217_425_merged.tif,0.6,18,27.3456
chip_217_425_merged.tif,0.6,19,27.8506
chip_217_425_merged.tif,0.6,20,27.3456
chip_217_425_merged.tif,0.6,21,27.6226
chip_217_425_merged.tif,0.6,22,27.1352
chip_217_425_merged.tif,0.6,23,28.8127
chip_217_425_merged.tif,0.6,24,28.2453
chip_217_425_merged.tif,0.6,25,27.8787
chip_217_425_merged.tif,0.6,26,27.3456
chip_217_425_merged.tif,0.6,27,28.8127
chip_217_425_merged.tif,0.6,28,27.3456
chip_217_425_merged.tif,0.6,29,27.3456
chip_217_425_merged.tif,0.6,30,28.848
chip_217_425_merged.tif,0.6,31,27.1381
chip_217_425_merged.tif,0.6,32,27.3456
chip_217_425_merged.tif,0.6,33,27.3456
chip_217_425_merged.tif,0.6,34,28.848
chip_217_425_merged.tif,0.6,35,28.8266
chip_217_425_merged.tif,0.6,36,28.3166
chip_217_425_merged.tif,0.6,37,28.8127
chip_217_425_merged.tif,0.6,38,28.2453
chip_217_425_merged.tif,0.6,39,27.3456
chip_217_425_merged.tif,0.6,40,27.8327
chip_217_425_merged.tif,0.6,41,27.3456
chip_217_425_merged.tif,0.6,42,28.253
chip_217_425_merged.tif,0.6,43,27.8327
chip_217_425_merged.tif,0.6,44,27.0886
chip_217_425_merged.tif,0.6,45,27.3456
chip_217_425_merged.tif,0.6,46,27.1381
chip_217_425_merged.tif,0.6,47,28.8127
chip_217_425_merged.tif,0.6,48,28.8266
chip_217_425_merged.tif,0.6,49,28.8266
chip_217_425_merged.tif,0.8,0,19.9519
chip_217_425_merged.tif,0.8,1,19.9519
chip_217_425_merged.tif,0.8,2,19.9519
chip_217_425_merged.tif,0.8,3,19.9519
chip_217_425_merged.tif,0.8,4,19.9519
chip_217_425_merged.tif,0.8,5,19.9519
chip_217_425_merged.tif,0.8,6,19.9519
chip_217_425_merged.tif,0.8,7,19.9519
chip_217_425_merged.tif,0.8,8,19.9519
chip_217_425_merged.tif,0.8,9,19.9519
chip_217_425_merged.tif,0.8,10,19.9519
chip_217_425_merged.tif,0.8,11,19.9519
chip_217_425_merged.tif,0.8,12,19.9519
chip_217_425_merged.tif,0.8,13,19.9519
chip_217_425_merged.tif,0.8,14,19.9519
chip_217_425_merged.tif,0.8,15,19.9519
chip_217_425_merged.tif,0.8,16,19.9519
chip_217_425_merged.tif,0.8,17,19.9519
chip_217_425_merged.tif,0.8,18,19.9519
chip_217_425_merged.tif,0.8,19,19.9519
chip_217_425_merged.tif,0.8,20,19.9519
chip_217_425_merged.tif,0.8,21,19.9519
chip_217_425_merged.tif,0.8,22,19.9519
chip_217_425_merged.tif,0.8,23,19.9519
chip_217_425_merged.tif,0.8,24,19.9519
chip_217_425_merged.tif,0.8,25,19.9519
chip_217_425_merged.tif,0.8,26,19.9519
chip_217_425_merged.tif,0.8,27,19.9519
chip_217_425_merged.tif,0.8,28,19.9519
chip_217_425_merged.tif,0.8,29,19.9519
chip_217_425_merged.tif,0.8,30,19.9519
chip_217_425_merged.tif,0.8,31,19.9519
chip_217_425_merged.tif,0.8,32,19.9519
chip_217_425_merged.tif,0.8,33,19.9519
chip_217_425_merged.tif,0.8,34,19.9519
chip_217_425_merged.tif,0.8,35,19.9519
chip_217_425_merged.tif,0.8,36,19.9519
chip_217_425_merged.tif,0.8,37,19.9519
chip_217_425_merged.tif,0.8,38,19.9519
chip_217_425_merged.tif,0.8,39,19.9519
chip_217_425_merged.tif,0.8,40,19.9519
chip_217_425_merged.tif,0.8,41,19.9519
chip_217_425_merged.tif,0.8,42,19.9519
chip_217_425_merged.tif,0.8,43,19.9519
chip_217_425_merged.tif,0.8,44,19.9519
chip_217_425_merged.tif,0.8,45,19.9519
chip_217_425_merged.tif,0.8,46,19.9519
chip_217_425_merged.tif,0.8,47,19.9519
chip_217_425_merged.tif,0.8,48,19.9519
chip_217_425_merged.tif,0.8,49,19.9519
chip_268_410_merged.tif,0.2,0,36.8198
chip_268_410_merged.tif,0.2,1,33.2337
chip_268_410_merged.tif,0.2,2,36.1952
chip_268_410_merged.tif,0.2,3,35.3354
chip_268_410_merged.tif,0.2,4,36.7107
chip_268_410_merged.tif,0.2,5,36.2101
chip_268_410_merged.tif,0.2,6,33.2337
chip_268_410_merged.tif,0.2,7,38.4432
chip_268_410_merged.tif,0.2,8,35.8417
chip_268_410_merged.tif,0.2,9,35.2025
chip_268_410_merged.tif,0.2,10,36.7107
chip_268_410_merged.tif,0.2,11,35.6083
chip_268_410_merged.tif,0.2,12,36.3514
chip_268_410_merged.tif,0.2,13,37.3143
chip_268_410_merged.tif,0.2,14,38.6606
chip_268_410_merged.tif,0.2,15,38.4432
chip_268_410_merged.tif,0.2,16,34.1591
chip_268_410_merged.tif,0.2,17,36.1993
chip_268_410_merged.tif,0.2,18,37.2099
chip_268_410_merged.tif,0.2,19,34.1703
chip_268_410_merged.tif,0.2,20,36.1952
chip_268_410_merged.tif,0.2,21,36.0124
chip_268_410_merged.tif,0.2,22,35.8417
chip_268_410_merged.tif,0.2,23,39.7686
chip_268_410_merged.tif,0.2,24,34.1101
chip_268_410_merged.tif,0.2,25,35.561
chip_268_410_merged.tif,0.2,26,37.1431
chip_268_410_merged.tif,0.2,27,39.7686
chip_268_410_merged.tif,0.2,28,36.2101
chip_268_410_merged.tif,0.2,29,31.9571
chip_268_410_merged.tif,0.2,30,35.134
chip_268_410_merged.tif,0.2,31,36.2315
chip_268_410_merged.tif,0.2,32,36.415
chip_268_410_merged.tif,0.2,33,37.1431
chip_268_410_merged.tif,0.2,34,35.231
chip_268_410_merged.tif,0.2,35,35.1654
chip_268_410_merged.tif,0.2,36,35.4312
chip_268_410_merged.tif,0.2,37,38.625
chip_268_410_merged.tif,0.2,38,36.1472
chip_268_410_merged.tif,0.2,39,37.2982
chip_268_410_merged.tif,0.2,40,35.7229
chip_268_410_merged.tif,0.2,41,37.24
chip_268_410_merged.tif,0.2,42,40.5869
chip_268_410_merged.tif,0.2,43,34.397
chip_268_410_merged.tif,0.2,44,37.0301
chip_268_410_merged.tif,0.2,45,37.2982
chip_268_410_merged.tif,0.2,46,36.2315
chip_268_410_merged.tif,0.2,47,40.5869
chip_268_410_merged.tif,0.2,48,35.1654
chip_268_410_merged.tif,0.2,49,37.1
