chip,rank,role,ratio,mask_type,trial,global_ratio,psnr
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,0,0.0651,39.5716
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,0,0.0651,43.3548
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,1,0.0651,41.0925
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,1,0.0651,43.3212
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,2,0.0651,40.2795
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,2,0.0651,42.6411
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,3,0.0651,40.7347
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,3,0.0651,42.9495
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,4,0.0651,40.3798
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,4,0.0651,43.5121
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,5,0.0651,42.0308
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,5,0.0651,43.3415
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,6,0.0651,39.6299
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,6,0.0651,42.9922
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,7,0.0651,40.2046
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,7,0.0651,42.3128
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,8,0.0651,40.9151
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,8,0.0651,43.7409
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,9,0.0651,40.6312
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,9,0.0651,42.5135
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,10,0.0651,41.0162
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,10,0.0651,42.4418
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,11,0.0651,40.0973
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,11,0.0651,43.208
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,12,0.0651,39.7343
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,12,0.0651,43.7606
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,13,0.0651,40.5586
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,13,0.0651,43.3522
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,14,0.0651,40.2049
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,14,0.0651,43.3284
