backbone,mask_ratio,mask_type,time_required_n,enc_required_n,dec_required_n,power_required_n,energy_required_n
tiny,0.2,random,1,1,1,1,1
tiny,0.2,block,1,1,1,1,2
tiny,0.4,random,1,1,1,1,1
tiny,0.4,block,1,1,1,1,1
tiny,0.6,random,1,1,1,1,1
tiny,0.6,block,1,1,1,1,1
tiny,0.8,random,1,1,1,1,1
tiny,0.8,block,1,1,1,1,1
100M,0.2,random,3,2,1,1,5
100M,0.2,block,1,1,1,1,1
100M,0.4,random,1,1,1,1,1
100M,0.4,block,1,1,1,1,1
100M,0.6,random,1,1,1,1,1
100M,0.6,block,1,1,1,1,1
100M,0.8,random,1,1,1,1,1
100M,0.8,block,1,1,1,1,1
300M,0.2,random,5,4,1,1,9
300M,0.2,block,1,1,1,1,1
300M,0.4,random,1,1,1,1,1
300M,0.4,block,1,1,1,1,1
300M,0.6,random,1,1,1,1,1
300M,0.6,block,1,1,1,1,1
300M,0.8,random,1,1,1,1,1
300M,0.8,block,1,1,1,1,1
600M,0.2,random,16,15,1,1,48
600M,0.2,block,1,1,1,1,6
600M,0.4,random,1,1,1,1,2
600M,0.4,block,1,1,1,1,1
600M,0.6,random,1,1,1,1,1
600M,0.6,block,1,1,1,1,3
600M,0.8,random,1,1,1,1,1
600M,0.8,block,1,1,1,1,2
