backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
300M,chip_154_484_merged.tif,0.2,0,1250999219,3,13,0.199,0.003463,41.9912,0.976,0.011705,36.34,0.9207
300M,chip_154_484_merged.tif,0.2,1,870392588,3,13,0.199,0.003752,41.5772,0.9741,0.011371,36.5347,0.9182
300M,chip_154_484_merged.tif,0.2,2,390447070,3,13,0.199,0.00404,40.8352,0.9705,0.014465,35.0099,0.8898
300M,chip_154_484_merged.tif,0.2,3,9840439,3,13,0.199,0.00365,41.3998,0.9748,0.013082,35.6836,0.9069
300M,chip_154_484_merged.tif,0.2,4,1677378569,3,13,0.199,0.004169,40.2186,0.9692,0.014921,34.3494,0.8853
300M,chip_154_484_merged.tif,0.4,0,285063036,6,13,0.398,0.008094,37.8318,0.9461,0.01447,35.1837,0.9055
300M,chip_154_484_merged.tif,0.4,1,1952601166,6,13,0.398,0.007387,38.0519,0.9468,0.014115,35.1777,0.9016
300M,chip_154_484_merged.tif,0.4,2,1571994535,6,13,0.398,0.00783,37.6998,0.943,0.014326,34.795,0.8976
300M,chip_154_484_merged.tif,0.4,3,1092049017,6,13,0.398,0.007498,38.0974,0.9459,0.013987,35.2622,0.9021
300M,chip_154_484_merged.tif,0.4,4,711442386,6,13,0.398,0.008063,37.5054,0.942,0.014545,34.7097,0.8985
300M,chip_154_484_merged.tif,0.6,0,347085679,9,13,0.5969,0.01306,34.6347,0.8951,0.017279,33.2767,0.8642
300M,chip_154_484_merged.tif,0.6,1,2014623809,9,13,0.5969,0.013631,34.2471,0.8928,0.017602,33.2474,0.8626
300M,chip_154_484_merged.tif,0.6,2,1634017178,9,13,0.5969,0.013452,34.5893,0.897,0.016631,33.7009,0.8737
300M,chip_154_484_merged.tif,0.6,3,1253410547,9,13,0.5969,0.013873,33.8964,0.888,0.019184,32.2125,0.8453
300M,chip_154_484_merged.tif,0.6,4,773465029,9,13,0.5969,0.012973,34.628,0.897,0.017544,33.1958,0.8655
300M,chip_154_484_merged.tif,0.8,0,2011977131,12,13,0.7959,0.023756,30.5941,0.7879,0.025353,30.2826,0.7773
300M,chip_154_484_merged.tif,0.8,1,1631370500,12,13,0.7959,0.020886,31.3697,0.8057,0.022886,30.9595,0.7873
300M,chip_154_484_merged.tif,0.8,2,1151424982,12,13,0.7959,0.021419,31.3774,0.8066,0.022909,31.0905,0.7966
300M,chip_154_484_merged.tif,0.8,3,770818351,12,13,0.7959,0.021866,31.1848,0.7982,0.023186,31.0278,0.7888
300M,chip_154_484_merged.tif,0.8,4,290872833,12,13,0.7959,0.022132,31.1184,0.7931,0.023715,30.8383,0.7811
300M,chip_119_126_merged.tif,0.2,0,1643988435,3,13,0.199,0.00286,42.6411,0.9833,0.008378,37.5191,0.9503
300M,chip_119_126_merged.tif,0.2,1,1164042917,3,13,0.199,0.002576,43.9303,0.9845,0.009195,38.0612,0.9432
300M,chip_119_126_merged.tif,0.2,2,783436286,3,13,0.199,0.002386,44.3701,0.9873,0.006908,40.2385,0.9692
300M,chip_119_126_merged.tif,0.2,3,402829655,3,13,0.199,0.002642,42.8426,0.9861,0.009154,36.8378,0.9528
300M,chip_119_126_merged.tif,0.2,4,2070367785,3,13,0.199,0.002313,44.5477,0.9868,0.007731,38.9281,0.9591
300M,chip_119_126_merged.tif,0.4,0,1483373102,6,13,0.398,0.006608,38.4202,0.957,0.013172,35.1172,0.9124
300M,chip_119_126_merged.tif,0.4,1,1003427584,6,13,0.398,0.005589,39.691,0.9708,0.010492,36.7186,0.9485
300M,chip_119_126_merged.tif,0.4,2,622820953,6,13,0.398,0.005839,39.2566,0.9626,0.011064,36.3064,0.9312
300M,chip_119_126_merged.tif,0.4,3,142875435,6,13,0.398,0.006676,38.4283,0.958,0.012977,35.2048,0.9185
300M,chip_119_126_merged.tif,0.4,4,1909752452,6,13,0.398,0.006659,38.0594,0.9573,0.012751,35.4453,0.9195
300M,chip_119_126_merged.tif,0.6,0,740074895,9,13,0.5969,0.013174,34.4546,0.9124,0.018997,32.6811,0.8723
300M,chip_119_126_merged.tif,0.6,1,260129377,9,13,0.5969,0.009627,36.3042,0.934,0.012695,35.1979,0.919
300M,chip_119_126_merged.tif,0.6,2,2027006394,9,13,0.5969,0.011771,34.5628,0.914,0.01456,33.502,0.8942
300M,chip_119_126_merged.tif,0.6,3,1547060876,9,13,0.5969,0.011712,35.0854,0.9244,0.013676,34.6164,0.9215
300M,chip_119_126_merged.tif,0.6,4,1166454245,9,13,0.5969,0.010013,35.764,0.9318,0.013294,34.5155,0.9122
300M,chip_119_126_merged.tif,0.8,0,257482699,12,13,0.7959,0.019359,31.8671,0.8469,0.021009,31.4467,0.831
300M,chip_119_126_merged.tif,0.8,1,1925020829,12,13,0.7959,0.019761,32.063,0.8448,0.021191,31.7921,0.8382
300M,chip_119_126_merged.tif,0.8,2,1544414198,12,13,0.7959,0.019796,31.7071,0.8492,0.021641,31.2444,0.8373
300M,chip_119_126_merged.tif,0.8,3,1163807567,12,13,0.7959,0.023985,30.5427,0.8312,0.025269,30.3039,0.8262
300M,chip_119_126_merged.tif,0.8,4,683862049,12,13,0.7959,0.020199,31.3463,0.843,0.02187,30.9885,0.832
300M,chip_351_539_merged.tif,0.2,0,1294038059,3,13,0.199,0.002902,42.2265,0.9846,0.009801,36.912,0.949
300M,chip_351_539_merged.tif,0.2,1,913431428,3,13,0.199,0.002896,42.9384,0.9855,0.010463,37.2188,0.9519
300M,chip_351_539_merged.tif,0.2,2,532824797,3,13,0.199,0.0029,42.0959,0.9825,0.009819,36.5159,0.9387
300M,chip_351_539_merged.tif,0.2,3,52879279,3,13,0.199,0.002704,43.5305,0.986,0.007502,39.8399,0.9621
300M,chip_351_539_merged.tif,0.2,4,1819756296,3,13,0.199,0.003057,42.5546,0.9821,0.010418,36.6991,0.9376
300M,chip_351_539_merged.tif,0.4,0,328101876,6,13,0.398,0.006587,38.4431,0.9626,0.012739,35.4491,0.9305
300M,chip_351_539_merged.tif,0.4,1,1995640006,6,13,0.398,0.006116,38.0854,0.9614,0.01143,35.3547,0.9277
300M,chip_351_539_merged.tif,0.4,2,1615033375,6,13,0.398,0.006016,38.4821,0.9635,0.012063,35.3047,0.9286
300M,chip_351_539_merged.tif,0.4,3,1234426744,6,13,0.398,0.005492,39.6226,0.9657,0.010477,36.4863,0.9327
300M,chip_351_539_merged.tif,0.4,4,754481226,6,13,0.398,0.007091,38.0661,0.9603,0.013949,34.8415,0.9247
300M,chip_351_539_merged.tif,0.6,0,390124519,9,13,0.5969,0.011161,35.143,0.9221,0.015214,33.6779,0.896
300M,chip_351_539_merged.tif,0.6,1,9517888,9,13,0.5969,0.013784,33.984,0.9064,0.019338,32.4666,0.869
300M,chip_351_539_merged.tif,0.6,2,1677056018,9,13,0.5969,0.011202,35.3721,0.9218,0.014775,34.2123,0.9004
300M,chip_351_539_merged.tif,0.6,3,1296449387,9,13,0.5969,0.018637,31.4524,0.8815,0.026425,29.7456,0.8399
300M,chip_351_539_merged.tif,0.6,4,816503869,9,13,0.5969,0.010105,35.9671,0.93,0.013263,34.5364,0.9115
300M,chip_351_539_merged.tif,0.8,0,2055015971,12,13,0.7959,0.022631,30.8482,0.828,0.024098,30.5176,0.8181
300M,chip_351_539_merged.tif,0.8,1,1674409340,12,13,0.7959,0.033647,27.5661,0.7554,0.038048,26.9253,0.7261
300M,chip_351_539_merged.tif,0.8,2,1293802709,12,13,0.7959,0.028484,28.9962,0.7948,0.031782,28.4553,0.781
300M,chip_351_539_merged.tif,0.8,3,813857191,12,13,0.7959,0.019713,31.7555,0.8513,0.02146,31.3685,0.8447
300M,chip_351_539_merged.tif,0.8,4,433250560,12,13,0.7959,0.032043,27.4123,0.7663,0.03787,26.5605,0.7252
300M,chip_107_106_merged.tif,0.2,0,470712045,3,13,0.199,0.006224,36.5149,0.9561,0.024918,30.1738,0.8147
300M,chip_107_106_merged.tif,0.2,1,2138250175,3,13,0.199,0.006087,36.6594,0.954,0.02243,30.6499,0.827
300M,chip_107_106_merged.tif,0.2,2,1757643544,3,13,0.199,0.007197,35.4496,0.9488,0.023783,29.8736,0.8102
300M,chip_107_106_merged.tif,0.2,3,1377036913,3,13,0.199,0.007102,35.9131,0.9511,0.025481,30.2216,0.8127
300M,chip_107_106_merged.tif,0.2,4,897091395,3,13,0.199,0.005663,37.1114,0.9623,0.021208,31.0589,0.8492
300M,chip_107_106_merged.tif,0.4,0,1552920623,6,13,0.398,0.013217,32.8828,0.906,0.025354,29.7576,0.8188
300M,chip_107_106_merged.tif,0.4,1,1172313992,6,13,0.398,0.014271,32.0777,0.8956,0.02805,28.8548,0.7952
300M,chip_107_106_merged.tif,0.4,2,692368474,6,13,0.398,0.011631,33.9147,0.9138,0.022318,31.0155,0.834
300M,chip_107_106_merged.tif,0.4,3,311761843,6,13,0.398,0.011979,33.7137,0.9146,0.022766,30.7638,0.837
300M,chip_107_106_merged.tif,0.4,4,2078638860,6,13,0.398,0.013538,32.1186,0.8991,0.026029,29.4889,0.8049
300M,chip_107_106_merged.tif,0.6,0,809622416,9,13,0.5969,0.021794,29.9006,0.8166,0.030326,28.3928,0.7493
300M,chip_107_106_merged.tif,0.6,1,429015785,9,13,0.5969,0.021639,29.9702,0.8269,0.02936,28.4358,0.7689
300M,chip_107_106_merged.tif,0.6,2,48409154,9,13,0.5969,0.021592,30.1525,0.8212,0.029031,28.8494,0.767
300M,chip_107_106_merged.tif,0.6,3,1715947284,9,13,0.5969,0.023946,29.4482,0.8059,0.030585,28.3866,0.7502
300M,chip_107_106_merged.tif,0.6,4,1335340653,9,13,0.5969,0.021919,29.9264,0.8276,0.029826,28.4757,0.7749
300M,chip_107_106_merged.tif,0.8,0,426369107,12,13,0.7959,0.034935,26.8285,0.6893,0.038956,26.311,0.658
300M,chip_107_106_merged.tif,0.8,1,2093907237,12,13,0.7959,0.034142,26.9853,0.702,0.036994,26.585,0.6806
300M,chip_107_106_merged.tif,0.8,2,1713300606,12,13,0.7959,0.03446,27.0485,0.6903,0.035647,27.0328,0.6816
300M,chip_107_106_merged.tif,0.8,3,1233355088,12,13,0.7959,0.035504,26.9916,0.6877,0.038395,26.6212,0.6619
300M,chip_107_106_merged.tif,0.8,4,852748457,12,13,0.7959,0.031919,27.7337,0.7088,0.034743,27.4004,0.6831
300M,chip_308_293_merged.tif,0.2,0,1434866661,3,13,0.199,0.003274,41.324,0.9775,0.01276,35.1233,0.9104
300M,chip_308_293_merged.tif,0.2,1,954921143,3,13,0.199,0.003215,41.9783,0.9794,0.01179,36.0168,0.925
300M,chip_308_293_merged.tif,0.2,2,574314512,3,13,0.199,0.004253,40.4893,0.9765,0.01527,34.624,0.9178
300M,chip_308_293_merged.tif,0.2,3,94368994,3,13,0.199,0.003894,40.5906,0.9756,0.013578,35.2553,0.9181
300M,chip_308_293_merged.tif,0.2,4,1861246011,3,13,0.199,0.004556,39.9686,0.9758,0.016524,34.1662,0.9168
300M,chip_308_293_merged.tif,0.4,0,1174912441,6,13,0.398,0.008403,36.622,0.947,0.017542,33.0647,0.887
300M,chip_308_293_merged.tif,0.4,1,794305810,6,13,0.398,0.009161,35.9664,0.9409,0.018396,32.5203,0.8792
300M,chip_308_293_merged.tif,0.4,2,314360292,6,13,0.398,0.009784,36.1633,0.9395,0.016837,34.0188,0.906
300M,chip_308_293_merged.tif,0.4,3,2081237309,6,13,0.398,0.007728,37.0531,0.9446,0.01548,33.7833,0.8874
300M,chip_308_293_merged.tif,0.4,4,1700630678,6,13,0.398,0.009576,35.8397,0.9409,0.018995,32.5126,0.8835
300M,chip_308_293_merged.tif,0.6,0,431614234,9,13,0.5969,0.013558,33.9693,0.9049,0.017779,32.8987,0.8836
300M,chip_308_293_merged.tif,0.6,1,51007603,9,13,0.5969,0.014769,33.6079,0.9052,0.019568,32.31,0.8806
300M,chip_308_293_merged.tif,0.6,2,1718545733,9,13,0.5969,0.013921,34.3384,0.9066,0.018415,33.063,0.8783
300M,chip_308_293_merged.tif,0.6,3,1337939102,9,13,0.5969,0.011907,34.8268,0.9104,0.016686,33.2049,0.875
300M,chip_308_293_merged.tif,0.6,4,957332471,9,13,0.5969,0.012586,34.6615,0.9082,0.016872,33.2335,0.8786
300M,chip_308_293_merged.tif,0.8,0,48360925,12,13,0.7959,0.022401,30.6449,0.8227,0.025114,30.1715,0.8003
300M,chip_308_293_merged.tif,0.8,1,1715899055,12,13,0.7959,0.022292,31.0139,0.8253,0.025445,30.2966,0.8015
300M,chip_308_293_merged.tif,0.8,2,1335292424,12,13,0.7959,0.020729,31.5126,0.8283,0.023329,30.9073,0.8064
300M,chip_308_293_merged.tif,0.8,3,855346906,12,13,0.7959,0.020687,31.4136,0.8358,0.02244,30.975,0.8237
300M,chip_308_293_merged.tif,0.8,4,474740275,12,13,0.7959,0.02266,30.8417,0.8324,0.024059,30.8014,0.8233
300M,chip_365_309_merged.tif,0.2,0,1777789301,3,13,0.199,0.002959,41.9499,0.9838,0.010205,36.0857,0.9485
300M,chip_365_309_merged.tif,0.2,1,1297843783,3,13,0.199,0.002501,43.2647,0.9865,0.010092,36.9185,0.9438
300M,chip_365_309_merged.tif,0.2,2,917237152,3,13,0.199,0.002269,44.8405,0.9889,0.008109,38.9767,0.9576
300M,chip_365_309_merged.tif,0.2,3,437291634,3,13,0.199,0.00287,42.7496,0.9838,0.009855,37.2851,0.9438
300M,chip_365_309_merged.tif,0.2,4,56685003,3,13,0.199,0.003023,41.759,0.9844,0.011455,35.8028,0.9406
300M,chip_365_309_merged.tif,0.4,0,712514231,6,13,0.398,0.00625,38.0702,0.9612,0.011454,35.5476,0.9281
300M,chip_365_309_merged.tif,0.4,1,331907600,6,13,0.398,0.005627,39.5341,0.9688,0.009911,36.9576,0.9425
300M,chip_365_309_merged.tif,0.4,2,1999445730,6,13,0.398,0.006208,38.4621,0.9645,0.011898,35.2181,0.9305
300M,chip_365_309_merged.tif,0.4,3,1618839099,6,13,0.398,0.006135,38.5146,0.9635,0.012173,35.1881,0.9293
300M,chip_365_309_merged.tif,0.4,4,1238232468,6,13,0.398,0.004481,40.164,0.9743,0.009062,36.9718,0.9487
300M,chip_365_309_merged.tif,0.6,0,873875761,9,13,0.5969,0.010838,34.6629,0.9266,0.0144,33.487,0.9067
300M,chip_365_309_merged.tif,0.6,1,393930243,9,13,0.5969,0.010832,34.8779,0.9193,0.015349,33.3652,0.8894
300M,chip_365_309_merged.tif,0.6,2,13323612,9,13,0.5969,0.009986,35.9129,0.934,0.013026,34.7005,0.9143
300M,chip_365_309_merged.tif,0.6,3,1680861742,9,13,0.5969,0.009664,35.7476,0.9309,0.013104,34.2925,0.9087
