backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
600M,chip_010_063_merged.tif,0.2,0,537862152,50,31.8314,31.8314,0.0,38.4208,38.4208,-0.0,0.015396,0.007125
600M,chip_010_063_merged.tif,0.2,1,157255521,50,37.3604,37.3604,-0.0,38.1382,38.1382,0.0,0.008652,0.00738
600M,chip_010_063_merged.tif,0.2,2,1824793651,50,32.4395,32.4395,0.0,37.9558,37.9558,-0.0,0.013927,0.007602
600M,chip_010_063_merged.tif,0.2,3,1444187020,50,37.7431,37.7431,0.0,38.1697,38.1697,-0.0,0.008027,0.007516
600M,chip_010_063_merged.tif,0.2,4,964241502,50,31.3919,31.3919,0.0,37.4385,37.4385,-0.0,0.016584,0.007537
600M,chip_010_063_merged.tif,0.4,0,377246819,100,32.6055,32.6055,-0.0,37.3647,37.3647,-0.0,0.013694,0.007722
600M,chip_010_063_merged.tif,0.4,1,2044784949,100,32.8538,32.8538,0.0,36.6419,36.6419,-0.0,0.013208,0.00834
600M,chip_010_063_merged.tif,0.4,2,1664178318,100,32.8539,32.8539,-0.0,37.3634,37.3634,-0.0,0.013209,0.007899
600M,chip_010_063_merged.tif,0.4,3,1283571687,100,33.9437,33.9437,-0.0,37.8887,37.8887,0.0,0.011022,0.007442
600M,chip_010_063_merged.tif,0.4,4,803626169,100,32.3042,32.3042,-0.0,37.2049,37.2049,0.0,0.014446,0.007855
600M,chip_010_063_merged.tif,0.6,0,1781432260,154,33.1209,33.1209,0.0,36.5847,36.5847,-0.0,0.012314,0.00849
600M,chip_010_063_merged.tif,0.6,1,1301486742,154,33.158,33.158,-0.0,37.3584,37.3584,-0.0,0.012568,0.007584
600M,chip_010_063_merged.tif,0.6,2,920880111,154,32.9679,32.9679,0.0,37.2967,37.2967,-0.0,0.012747,0.007896
600M,chip_010_063_merged.tif,0.6,3,540273480,154,33.1068,33.1068,-0.0,36.2512,36.2512,0.0,0.012734,0.008675
600M,chip_010_063_merged.tif,0.6,4,60327962,154,33.3556,33.3556,-0.0,36.8323,36.8323,0.0,0.012471,0.008064
600M,chip_010_063_merged.tif,0.8,0,1298840064,208,33.6022,33.6022,0.0,35.7208,35.7208,-0.0,0.011941,0.009166
600M,chip_010_063_merged.tif,0.8,1,918233433,208,33.6021,33.6021,0.0,36.2049,36.2049,0.0,0.011941,0.008543
600M,chip_010_063_merged.tif,0.8,2,438287915,208,33.5725,33.5725,0.0,36.0981,36.0981,-0.0,0.011888,0.008749
600M,chip_010_063_merged.tif,0.8,3,57681284,208,33.6019,33.6019,-0.0,35.8304,35.8304,0.0,0.011942,0.009091
600M,chip_010_063_merged.tif,0.8,4,1725219414,208,33.5724,33.5724,0.0,35.5735,35.5735,-0.0,0.011888,0.009055
600M,chip_030_076_merged.tif,0.2,0,188996778,50,42.465,42.465,0.0,40.8843,40.8843,-0.0,0.00514,0.006124
600M,chip_030_076_merged.tif,0.2,1,1856534908,50,42.9017,42.9017,0.0,40.5185,40.5185,0.0,0.005035,0.006228
600M,chip_030_076_merged.tif,0.2,2,1475928277,50,37.6292,37.6292,0.0,40.4565,40.4565,-0.0,0.008738,0.006249
600M,chip_030_076_merged.tif,0.2,3,995982759,50,38.5429,38.5429,-0.0,39.8716,39.8716,0.0,0.007809,0.006689
600M,chip_030_076_merged.tif,0.2,4,615376128,50,37.5013,37.5013,0.0,40.2449,40.2449,0.0,0.008739,0.006572
600M,chip_030_076_merged.tif,0.4,0,1271205356,100,40.0098,40.0098,0.0,39.9613,39.9613,-0.0,0.006469,0.00646
600M,chip_030_076_merged.tif,0.4,1,890598725,100,40.6462,40.6462,0.0,41.1168,41.1168,-0.0,0.006107,0.005812
600M,chip_030_076_merged.tif,0.4,2,410653207,100,41.5647,41.5647,-0.0,40.494,40.494,-0.0,0.005575,0.006105
600M,chip_030_076_merged.tif,0.4,3,30046576,100,39.7216,39.7216,0.0,40.4292,40.4292,-0.0,0.006688,0.006225
600M,chip_030_076_merged.tif,0.4,4,1697584706,100,39.1317,39.1317,0.0,40.9424,40.9424,0.0,0.007139,0.00595
600M,chip_030_076_merged.tif,0.6,0,1333227999,154,38.8957,38.8957,0.0,40.5091,40.5091,-0.0,0.007371,0.006106
600M,chip_030_076_merged.tif,0.6,1,952621368,154,39.1276,39.1276,-0.0,40.3972,40.3972,0.0,0.007121,0.006112
600M,chip_030_076_merged.tif,0.6,2,572014737,154,39.285,39.285,-0.0,40.3286,40.3286,-0.0,0.007169,0.006174
600M,chip_030_076_merged.tif,0.6,3,92069219,154,39.1642,39.1642,0.0,40.4534,40.4534,0.0,0.007235,0.006191
