backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_010_063_merged.tif,0.2,0,537862152,50,31.8314,38.4208,6.5893
600M,chip_010_063_merged.tif,0.2,1,157255521,50,37.3604,38.1382,0.7778
600M,chip_010_063_merged.tif,0.2,2,1824793651,50,32.4395,37.9558,5.5162
600M,chip_010_063_merged.tif,0.2,3,1444187020,50,37.7431,38.1697,0.4265
600M,chip_010_063_merged.tif,0.2,4,964241502,50,31.3919,37.4385,6.0466
600M,chip_010_063_merged.tif,0.4,0,377246819,100,32.6055,37.3647,4.7592
600M,chip_010_063_merged.tif,0.4,1,2044784949,100,32.8538,36.6419,3.788
600M,chip_010_063_merged.tif,0.4,2,1664178318,100,32.8539,37.3634,4.5095
600M,chip_010_063_merged.tif,0.4,3,1283571687,100,33.9437,37.8887,3.945
600M,chip_010_063_merged.tif,0.4,4,803626169,100,32.3042,37.2049,4.9007
600M,chip_010_063_merged.tif,0.6,0,1781432260,154,33.1209,36.5847,3.4637
600M,chip_010_063_merged.tif,0.6,1,1301486742,154,33.158,37.3584,4.2004
600M,chip_010_063_merged.tif,0.6,2,920880111,154,32.9679,37.2967,4.3288
600M,chip_010_063_merged.tif,0.6,3,540273480,154,33.1068,36.2512,3.1444
600M,chip_010_063_merged.tif,0.6,4,60327962,154,33.3556,36.8323,3.4768
600M,chip_010_063_merged.tif,0.8,0,1298840064,208,33.6022,35.7208,2.1185
600M,chip_010_063_merged.tif,0.8,1,918233433,208,33.6021,36.2049,2.6028
600M,chip_010_063_merged.tif,0.8,2,438287915,208,33.5725,36.0981,2.5255
600M,chip_010_063_merged.tif,0.8,3,57681284,208,33.6019,35.8304,2.2285
600M,chip_010_063_merged.tif,0.8,4,1725219414,208,33.5724,35.5735,2.0011
600M,chip_030_076_merged.tif,0.2,0,188996778,50,42.465,40.8843,-1.5808
600M,chip_030_076_merged.tif,0.2,1,1856534908,50,42.9017,40.5185,-2.3832
600M,chip_030_076_merged.tif,0.2,2,1475928277,50,37.6292,40.4565,2.8273
600M,chip_030_076_merged.tif,0.2,3,995982759,50,38.5429,39.8716,1.3288
600M,chip_030_076_merged.tif,0.2,4,615376128,50,37.5013,40.2449,2.7436
600M,chip_030_076_merged.tif,0.4,0,1271205356,100,40.0098,39.9613,-0.0486
600M,chip_030_076_merged.tif,0.4,1,890598725,100,40.6462,41.1168,0.4706
600M,chip_030_076_merged.tif,0.4,2,410653207,100,41.5647,40.494,-1.0707
600M,chip_030_076_merged.tif,0.4,3,30046576,100,39.7216,40.4292,0.7075
600M,chip_030_076_merged.tif,0.4,4,1697584706,100,39.1317,40.9424,1.8107
600M,chip_030_076_merged.tif,0.6,0,1333227999,154,38.8957,40.5091,1.6133
600M,chip_030_076_merged.tif,0.6,1,952621368,154,39.1276,40.3972,1.2696
600M,chip_030_076_merged.tif,0.6,2,572014737,154,39.285,40.3286,1.0436
600M,chip_030_076_merged.tif,0.6,3,92069219,154,39.1642,40.4534,1.2892
600M,chip_030_076_merged.tif,0.6,4,1858946236,154,39.1277,40.1902,1.0624
600M,chip_030_076_merged.tif,0.8,0,949974690,208,38.9675,40.0457,1.0782
600M,chip_030_076_merged.tif,0.8,1,470029172,208,38.9672,40.0295,1.0623
600M,chip_030_076_merged.tif,0.8,2,89422541,208,38.9561,40.3943,1.4382
600M,chip_030_076_merged.tif,0.8,3,1756960671,208,38.9559,40.1071,1.1512
600M,chip_030_076_merged.tif,0.8,4,1376354040,208,38.9676,40.0123,1.0447
600M,chip_032_111_merged.tif,0.2,0,607217224,50,36.9825,40.0062,3.0237
600M,chip_032_111_merged.tif,0.2,1,226610593,50,34.0906,39.6616,5.571
600M,chip_032_111_merged.tif,0.2,2,1894148723,50,39.4615,38.5387,-0.9228
600M,chip_032_111_merged.tif,0.2,3,1513542092,50,39.304,39.4952,0.1912
600M,chip_032_111_merged.tif,0.2,4,1033596574,50,38.8493,38.6438,-0.2055
600M,chip_032_111_merged.tif,0.4,0,446601891,100,37.642,38.6081,0.9661
600M,chip_032_111_merged.tif,0.4,1,2114140021,100,37.7078,37.6879,-0.02
600M,chip_032_111_merged.tif,0.4,2,1733533390,100,36.9811,38.4003,1.4191
600M,chip_032_111_merged.tif,0.4,3,1352926759,100,37.0831,37.4504,0.3672
600M,chip_032_111_merged.tif,0.4,4,872981241,100,37.2208,38.7993,1.5784
600M,chip_032_111_merged.tif,0.6,0,1850787332,154,33.3407,37.1893,3.8485
600M,chip_032_111_merged.tif,0.6,1,1370841814,154,35.1805,36.682,1.5015
600M,chip_032_111_merged.tif,0.6,2,990235183,154,37.13,36.8936,-0.2364
600M,chip_032_111_merged.tif,0.6,3,609628552,154,33.3401,38.0893,4.7492
600M,chip_032_111_merged.tif,0.6,4,129683034,154,33.0874,37.7507,4.6633
600M,chip_032_111_merged.tif,0.8,0,1368195136,208,34.9798,36.0497,1.0699
600M,chip_032_111_merged.tif,0.8,1,987588505,208,33.3869,35.4155,2.0286
600M,chip_032_111_merged.tif,0.8,2,507642987,208,34.9798,35.9083,0.9285
600M,chip_032_111_merged.tif,0.8,3,127036356,208,35.8035,35.4114,-0.3921
600M,chip_032_111_merged.tif,0.8,4,1794574486,208,33.3863,35.5621,2.1758
600M,chip_032_183_merged.tif,0.2,0,108174139,50,44.2922,46.2743,1.9821
600M,chip_032_183_merged.tif,0.2,1,1875051156,50,46.0616,47.3392,1.2775
600M,chip_032_183_merged.tif,0.2,2,1494444525,50,47.9209,47.4426,-0.4783
600M,chip_032_183_merged.tif,0.2,3,1014499007,50,46.6517,46.5585,-0.0932
600M,chip_032_183_merged.tif,0.2,4,633892376,50,45.1503,46.4237,1.2734
600M,chip_032_183_merged.tif,0.4,0,2095042454,100,46.6802,47.5095,0.8293
600M,chip_032_183_merged.tif,0.4,1,1714435823,100,47.4256,47.2236,-0.202
600M,chip_032_183_merged.tif,0.4,2,1234490305,100,47.9699,47.0855,-0.8844
600M,chip_032_183_merged.tif,0.4,3,853883674,100,46.5318,47.962,1.4302
600M,chip_032_183_merged.tif,0.4,4,373938156,100,46.5116,47.5999,1.0883
600M,chip_032_183_merged.tif,0.6,0,1351744247,154,45.9897,47.8874,1.8977
600M,chip_032_183_merged.tif,0.6,1,971137616,154,46.7578,47.9233,1.1655
600M,chip_032_183_merged.tif,0.6,2,491192098,154,46.8613,48.0721,1.2108
600M,chip_032_183_merged.tif,0.6,3,110585467,154,47.4147,47.9664,0.5517
600M,chip_032_183_merged.tif,0.6,4,1877462484,154,47.4158,47.8713,0.4555
600M,chip_032_183_merged.tif,0.8,0,869152051,208,46.5128,47.8845,1.3717
600M,chip_032_183_merged.tif,0.8,1,488545420,208,46.0305,47.7395,1.709
600M,chip_032_183_merged.tif,0.8,2,107938789,208,42.5256,47.7584,5.2328
600M,chip_032_183_merged.tif,0.8,3,1775476919,208,46.0316,47.8738,1.8422
600M,chip_032_183_merged.tif,0.8,4,1394870288,208,46.0316,47.8365,1.8049
600M,chip_036_147_merged.tif,0.2,0,1151733073,50,36.5359,40.5176,3.9818
600M,chip_036_147_merged.tif,0.2,1,671787555,50,38.634,40.1358,1.5018
600M,chip_036_147_merged.tif,0.2,2,291180924,50,38.4446,40.4246,1.98
600M,chip_036_147_merged.tif,0.2,3,2058057941,50,41.7483,39.5008,-2.2475
600M,chip_036_147_merged.tif,0.2,4,1578112423,50,38.8955,40.3707,1.4752
600M,chip_036_147_merged.tif,0.4,0,991117740,100,37.6132,39.8288,2.2156
600M,chip_036_147_merged.tif,0.4,1,511172222,100,40.0298,40.6705,0.6407
600M,chip_036_147_merged.tif,0.4,2,130565591,100,37.0695,39.9264,2.8569
600M,chip_036_147_merged.tif,0.4,3,1798103721,100,36.8266,39.7117,2.885
600M,chip_036_147_merged.tif,0.4,4,1417497090,100,37.2415,40.7495,3.508
600M,chip_036_147_merged.tif,0.6,0,1001419509,154,37.2475,39.7165,2.4691
600M,chip_036_147_merged.tif,0.6,1,620812878,154,38.385,40.2044,1.8194
600M,chip_036_147_merged.tif,0.6,2,240206247,154,38.27,39.4664,1.1964
600M,chip_036_147_merged.tif,0.6,3,1907744377,154,37.0292,38.5991,1.5699
600M,chip_036_147_merged.tif,0.6,4,1527137746,154,38.5468,39.9705,1.4238
600M,chip_036_147_merged.tif,0.8,0,1912710985,208,36.7929,39.9001,3.1072
600M,chip_036_147_merged.tif,0.8,1,1432765467,208,38.5143,38.1115,-0.4028
600M,chip_036_147_merged.tif,0.8,2,1052158836,208,38.2087,37.9504,-0.2584
600M,chip_036_147_merged.tif,0.8,3,671552205,208,38.514,39.1587,0.6447
600M,chip_036_147_merged.tif,0.8,4,191606687,208,38.2085,39.2791,1.0706
600M,chip_037_102_merged.tif,0.2,0,398483738,50,37.893,42.5565,4.6635
600M,chip_037_102_merged.tif,0.2,1,17877107,50,36.349,41.5872,5.2382
600M,chip_037_102_merged.tif,0.2,2,1685415237,50,38.3449,42.3959,4.051
600M,chip_037_102_merged.tif,0.2,3,1304808606,50,37.8958,42.4155,4.5197
600M,chip_037_102_merged.tif,0.2,4,824863088,50,31.8267,42.1121,10.2854
600M,chip_037_102_merged.tif,0.4,0,237868405,100,33.1279,41.5586,8.4307
600M,chip_037_102_merged.tif,0.4,1,1905406535,100,32.4882,40.5374,8.0492
600M,chip_037_102_merged.tif,0.4,2,1524799904,100,33.1276,42.0174,8.8898
600M,chip_037_102_merged.tif,0.4,3,1044854386,100,33.3243,42.2762,8.9519
600M,chip_037_102_merged.tif,0.4,4,664247755,100,33.6809,39.2319,5.5511
600M,chip_037_102_merged.tif,0.6,0,1642053846,154,32.9295,40.6262,7.6967
