backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
tiny,chip_010_063_merged.tif,0.2,0,537862152,39,29.5378,35.0563,5.5185
tiny,chip_010_063_merged.tif,0.2,1,157255521,39,36.2722,35.1763,-1.0959
tiny,chip_010_063_merged.tif,0.2,2,1824793651,39,32.9445,34.4061,1.4616
tiny,chip_010_063_merged.tif,0.2,3,1444187020,39,36.2715,34.1871,-2.0843
tiny,chip_010_063_merged.tif,0.2,4,964241502,39,29.4691,36.1722,6.7031
tiny,chip_010_063_merged.tif,0.4,0,377246819,78,33.8875,35.3107,1.4233
tiny,chip_010_063_merged.tif,0.4,1,2044784949,78,30.6403,34.9613,4.321
tiny,chip_010_063_merged.tif,0.4,2,1664178318,78,31.9811,34.2951,2.314
tiny,chip_010_063_merged.tif,0.4,3,1283571687,78,35.1393,35.0663,-0.073
tiny,chip_010_063_merged.tif,0.4,4,803626169,78,30.9835,35.2847,4.3012
tiny,chip_010_063_merged.tif,0.6,0,1781432260,117,31.7613,34.1649,2.4036
tiny,chip_010_063_merged.tif,0.6,1,1301486742,117,31.4315,35.3207,3.8892
tiny,chip_010_063_merged.tif,0.6,2,920880111,117,31.3581,33.8387,2.4806
tiny,chip_010_063_merged.tif,0.6,3,540273480,117,31.7565,34.812,3.0555
tiny,chip_010_063_merged.tif,0.6,4,60327962,117,31.9977,34.7779,2.7803
tiny,chip_010_063_merged.tif,0.8,0,1298840064,156,32.0259,34.369,2.3431
tiny,chip_010_063_merged.tif,0.8,1,918233433,156,32.2723,34.1018,1.8295
tiny,chip_010_063_merged.tif,0.8,2,438287915,156,32.2366,33.7217,1.4852
tiny,chip_010_063_merged.tif,0.8,3,57681284,156,31.9785,34.1195,2.141
tiny,chip_010_063_merged.tif,0.8,4,1725219414,156,32.0488,34.3872,2.3384
tiny,chip_030_076_merged.tif,0.2,0,188996778,39,37.2404,37.4472,0.2068
tiny,chip_030_076_merged.tif,0.2,1,1856534908,39,37.4507,36.7678,-0.6829
tiny,chip_030_076_merged.tif,0.2,2,1475928277,39,35.2475,37.5431,2.2956
