backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
tiny,chip_010_063_merged.tif,0.2,0,537862152,39,29.5378,29.5378,-0.0,35.0563,35.0563,-0.0,0.020671,0.010661
tiny,chip_010_063_merged.tif,0.2,1,157255521,39,36.2722,36.2722,0.0,35.1763,35.1763,0.0,0.009666,0.010639
tiny,chip_010_063_merged.tif,0.2,2,1824793651,39,32.9445,32.9445,0.0,34.4061,34.4061,0.0,0.013487,0.011134
tiny,chip_010_063_merged.tif,0.2,3,1444187020,39,36.2715,36.2715,-0.0,34.1871,34.1871,0.0,0.009665,0.011687
tiny,chip_010_063_merged.tif,0.2,4,964241502,39,29.4691,29.4691,-0.0,36.1722,36.1722,0.0,0.019966,0.009236
tiny,chip_010_063_merged.tif,0.4,0,377246819,78,33.8875,33.8875,-0.0,35.3107,35.3107,0.0,0.012891,0.010448
tiny,chip_010_063_merged.tif,0.4,1,2044784949,78,30.6403,30.6403,0.0,34.9613,34.9613,0.0,0.018602,0.010723
tiny,chip_010_063_merged.tif,0.4,2,1664178318,78,31.9811,31.9811,-0.0,34.2951,34.2951,-0.0,0.015853,0.011775
tiny,chip_010_063_merged.tif,0.4,3,1283571687,78,35.1393,35.1393,0.0,35.0663,35.0663,-0.0,0.010966,0.010765
tiny,chip_010_063_merged.tif,0.4,4,803626169,78,30.9835,30.9835,-0.0,35.2847,35.2847,-0.0,0.015992,0.01057
tiny,chip_010_063_merged.tif,0.6,0,1781432260,117,31.7613,31.7613,-0.0,34.1649,34.1649,-0.0,0.015193,0.011398
tiny,chip_010_063_merged.tif,0.6,1,1301486742,117,31.4315,31.4315,0.0,35.3207,35.3207,-0.0,0.015969,0.01022
tiny,chip_010_063_merged.tif,0.6,2,920880111,117,31.3581,31.3581,0.0,33.8387,33.8387,-0.0,0.015992,0.011706
tiny,chip_010_063_merged.tif,0.6,3,540273480,117,31.7565,31.7565,0.0,34.812,34.812,-0.0,0.015451,0.010973
tiny,chip_010_063_merged.tif,0.6,4,60327962,117,31.9977,31.9977,-0.0,34.7779,34.7779,0.0,0.015126,0.010674
tiny,chip_010_063_merged.tif,0.8,0,1298840064,156,32.0259,32.0259,0.0,34.369,34.369,0.0,0.014528,0.011388
tiny,chip_010_063_merged.tif,0.8,1,918233433,156,32.2723,32.2723,0.0,34.1018,34.1018,-0.0,0.014457,0.011756
tiny,chip_010_063_merged.tif,0.8,2,438287915,156,32.2366,32.2366,-0.0,33.7217,33.7217,0.0,0.014463,0.011841
tiny,chip_010_063_merged.tif,0.8,3,57681284,156,31.9785,31.9785,-0.0,34.1195,34.1195,-0.0,0.014466,0.011697
tiny,chip_010_063_merged.tif,0.8,4,1725219414,156,32.0488,32.0488,-0.0,34.3872,34.3872,-0.0,0.014457,0.011407
tiny,chip_030_076_merged.tif,0.2,0,188996778,39,37.2404,37.2404,0.0,37.4472,37.4472,-0.0,0.009155,0.009183
tiny,chip_030_076_merged.tif,0.2,1,1856534908,39,37.4507,37.4507,-0.0,36.7678,36.7678,0.0,0.009094,0.009777
tiny,chip_030_076_merged.tif,0.2,2,1475928277,39,35.2475,35.2475,-0.0,37.5431,37.5431,-0.0,0.011853,0.009282
tiny,chip_030_076_merged.tif,0.2,3,995982759,39,36.4208,36.4208,0.0,36.6948,36.6948,-0.0,0.01043,0.009888
tiny,chip_030_076_merged.tif,0.2,4,615376128,39,36.4208,36.4208,-0.0,36.8419,36.8419,-0.0,0.01043,0.009762
tiny,chip_030_076_merged.tif,0.4,0,1271205356,78,36.9717,36.9717,-0.0,37.1444,37.1444,0.0,0.00953,0.009348
tiny,chip_030_076_merged.tif,0.4,1,890598725,78,36.9715,36.9715,0.0,37.1158,37.1158,-0.0,0.00953,0.009473
tiny,chip_030_076_merged.tif,0.4,2,410653207,78,37.0421,37.0421,0.0,37.7591,37.7591,0.0,0.009515,0.008772
tiny,chip_030_076_merged.tif,0.4,3,30046576,78,35.9507,35.9507,0.0,37.6881,37.6881,-0.0,0.010998,0.008788
tiny,chip_030_076_merged.tif,0.4,4,1697584706,78,36.5923,36.5923,-0.0,37.0505,37.0505,0.0,0.009814,0.009483
tiny,chip_030_076_merged.tif,0.6,0,1333227999,117,36.7289,36.7289,0.0,37.7356,37.7356,-0.0,0.009881,0.008841
tiny,chip_030_076_merged.tif,0.6,1,952621368,117,36.5776,36.5776,-0.0,37.3721,37.3721,0.0,0.010077,0.009152
tiny,chip_030_076_merged.tif,0.6,2,572014737,117,36.3492,36.3492,-0.0,37.2377,37.2377,0.0,0.010259,0.009182
tiny,chip_030_076_merged.tif,0.6,3,92069219,117,36.3322,36.3322,0.0,37.3537,37.3537,0.0,0.010432,0.009107
tiny,chip_030_076_merged.tif,0.6,4,1858946236,117,36.5688,36.5688,-0.0,37.547,37.547,-0.0,0.010085,0.008882
tiny,chip_030_076_merged.tif,0.8,0,949974690,156,36.7814,36.7814,0.0,36.9349,36.9349,-0.0,0.009795,0.009547
tiny,chip_030_076_merged.tif,0.8,1,470029172,156,36.8601,36.8601,0.0,36.8028,36.8028,0.0,0.009758,0.009564
tiny,chip_030_076_merged.tif,0.8,2,89422541,156,36.4346,36.4346,0.0,37.1444,37.1444,0.0,0.010201,0.009291
tiny,chip_030_076_merged.tif,0.8,3,1756960671,156,36.4172,36.4172,0.0,36.9922,36.9922,0.0,0.010234,0.009401
tiny,chip_030_076_merged.tif,0.8,4,1376354040,156,36.8798,36.8798,-0.0,37.2941,37.2941,0.0,0.009738,0.009176
tiny,chip_032_111_merged.tif,0.2,0,607217224,39,33.1973,33.1973,0.0,35.9394,35.9394,0.0,0.014763,0.011064
tiny,chip_032_111_merged.tif,0.2,1,226610593,39,32.168,32.168,-0.0,35.588,35.588,0.0,0.016441,0.01147
tiny,chip_032_111_merged.tif,0.2,2,1894148723,39,33.7635,33.7635,-0.0,36.6031,36.6031,-0.0,0.012484,0.010289
tiny,chip_032_111_merged.tif,0.2,3,1513542092,39,36.3546,36.3546,-0.0,35.6185,35.6185,-0.0,0.010869,0.010887
tiny,chip_032_111_merged.tif,0.2,4,1033596574,39,36.354,36.354,0.0,35.0282,35.0282,-0.0,0.01087,0.011891
tiny,chip_032_111_merged.tif,0.4,0,446601891,78,33.2566,33.2566,-0.0,35.1689,35.1689,-0.0,0.013126,0.01145
tiny,chip_032_111_merged.tif,0.4,1,2114140021,78,34.2268,34.2268,-0.0,36.3505,36.3505,0.0,0.013081,0.010129
tiny,chip_032_111_merged.tif,0.4,2,1733533390,78,33.9469,33.9469,0.0,35.5419,35.5419,-0.0,0.013391,0.011084
tiny,chip_032_111_merged.tif,0.4,3,1352926759,78,34.2237,34.2237,0.0,35.2788,35.2788,0.0,0.013084,0.011008
tiny,chip_032_111_merged.tif,0.4,4,872981241,78,34.2247,34.2247,-0.0,35.6097,35.6097,-0.0,0.013083,0.011053
tiny,chip_032_111_merged.tif,0.6,0,1850787332,117,32.3956,32.3956,-0.0,33.9211,33.9211,0.0,0.015925,0.012896
tiny,chip_032_111_merged.tif,0.6,1,1370841814,117,32.9352,32.9352,0.0,33.1691,33.1691,-0.0,0.013879,0.012825
tiny,chip_032_111_merged.tif,0.6,2,990235183,117,34.6595,34.6595,0.0,35.3048,35.3048,-0.0,0.01234,0.011308
tiny,chip_032_111_merged.tif,0.6,3,609628552,117,32.4181,32.4181,0.0,35.36,35.36,-0.0,0.016063,0.011335
tiny,chip_032_111_merged.tif,0.6,4,129683034,117,32.4387,32.4387,0.0,34.6869,34.6869,0.0,0.01587,0.012135
tiny,chip_032_111_merged.tif,0.8,0,1368195136,156,32.4365,32.4365,-0.0,32.7467,32.7467,0.0,0.01477,0.013522
tiny,chip_032_111_merged.tif,0.8,1,987588505,156,33.6756,33.6756,0.0,34.1514,34.1514,-0.0,0.013423,0.012697
tiny,chip_032_111_merged.tif,0.8,2,507642987,156,33.67,33.67,-0.0,34.182,34.182,0.0,0.013426,0.012862
tiny,chip_032_111_merged.tif,0.8,3,127036356,156,32.6184,32.6184,-0.0,34.5826,34.5826,0.0,0.014545,0.012123
tiny,chip_032_111_merged.tif,0.8,4,1794574486,156,33.6759,33.6759,0.0,33.5792,33.5792,-0.0,0.013418,0.012966
tiny,chip_032_183_merged.tif,0.2,0,108174139,39,39.1038,39.1038,-0.0,43.5416,43.5416,-0.0,0.008248,0.004814
tiny,chip_032_183_merged.tif,0.2,1,1875051156,39,41.9252,41.9252,-0.0,42.9742,42.9742,-0.0,0.005931,0.00511
tiny,chip_032_183_merged.tif,0.2,2,1494444525,39,42.3197,42.3197,0.0,42.7331,42.7331,0.0,0.005849,0.00524
tiny,chip_032_183_merged.tif,0.2,3,1014499007,39,42.1037,42.1037,0.0,41.9058,41.9058,-0.0,0.005918,0.005638
tiny,chip_032_183_merged.tif,0.2,4,633892376,39,41.1811,41.1811,-0.0,42.9546,42.9546,0.0,0.00636,0.005099
tiny,chip_032_183_merged.tif,0.4,0,2095042454,78,42.4535,42.4535,-0.0,42.5928,42.5928,0.0,0.005476,0.005219
tiny,chip_032_183_merged.tif,0.4,1,1714435823,78,42.4466,42.4466,-0.0,43.2809,43.2809,0.0,0.005561,0.00493
tiny,chip_032_183_merged.tif,0.4,2,1234490305,78,42.6101,42.6101,0.0,43.0659,43.0659,-0.0,0.00532,0.00511
tiny,chip_032_183_merged.tif,0.4,3,853883674,78,42.6098,42.6098,0.0,43.1177,43.1177,-0.0,0.00532,0.004983
tiny,chip_032_183_merged.tif,0.4,4,373938156,78,42.3795,42.3795,-0.0,43.311,43.311,-0.0,0.005543,0.004865
tiny,chip_032_183_merged.tif,0.6,0,1351744247,117,39.3554,39.3554,-0.0,43.3215,43.3215,-0.0,0.008128,0.004792
tiny,chip_032_183_merged.tif,0.6,1,971137616,117,42.5898,42.5898,-0.0,43.2495,43.2495,-0.0,0.005231,0.004926
