backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block,block_rmse,random_rmse
tiny,chip_010_063_merged.tif,0.2,0,537862152,39,29.5378,35.0563,5.5185,0.03335108751549251,0.01766790274625811
tiny,chip_010_063_merged.tif,0.2,1,157255521,39,36.2722,35.1763,-1.0959,0.015359957003698141,0.01742549003276171
tiny,chip_010_063_merged.tif,0.2,2,1824793651,39,32.9445,34.4061,1.4616,0.022530716346674404,0.019041230046879583
tiny,chip_010_063_merged.tif,0.2,3,1444187020,39,36.2715,34.1871,-2.0843,0.015361194919860493,0.019527425968360775
tiny,chip_010_063_merged.tif,0.2,4,964241502,39,29.4691,36.1722,6.7031,0.033615919882475934,0.015537816923256476
tiny,chip_010_063_merged.tif,0.4,0,377246819,78,33.8875,35.3107,1.4233,0.020212731174456128,0.017157934279360125
tiny,chip_010_063_merged.tif,0.4,1,2044784949,78,30.6403,34.9613,4.321,0.029375481908892564,0.017862202147823636
tiny,chip_010_063_merged.tif,0.4,2,1664178318,78,31.9811,34.2951,2.314,0.025173581038526023,0.019286126010448004
tiny,chip_010_063_merged.tif,0.4,3,1283571687,78,35.1393,35.0663,-0.073,0.017499877152887932,0.017647573526199365
tiny,chip_010_063_merged.tif,0.4,4,803626169,78,30.9835,35.2847,4.3012,0.02823741912082722,0.01720937111025279
tiny,chip_010_063_merged.tif,0.6,0,1781432260,117,31.7613,34.1649,2.4036,0.02581873737756762,0.019577399355415973
tiny,chip_010_063_merged.tif,0.6,1,1301486742,117,31.4315,35.3207,3.8892,0.026817914386422365,0.01713819184435082
tiny,chip_010_063_merged.tif,0.6,2,920880111,117,31.3581,33.8387,2.4806,0.027045499077562856,0.020326612125724893
tiny,chip_010_063_merged.tif,0.6,3,540273480,117,31.7565,34.812,3.0555,0.025833009282230715,0.018171885847844103
tiny,chip_010_063_merged.tif,0.6,4,60327962,117,31.9977,34.7779,2.7803,0.02512551660290117,0.01824336721511221
tiny,chip_010_063_merged.tif,0.8,0,1298840064,156,32.0259,34.369,2.3431,0.025044075247645348,0.019122734705510215
tiny,chip_010_063_merged.tif,0.8,1,918233433,156,32.2723,34.1018,1.8295,0.024343611023863967,0.019720140280581125
tiny,chip_010_063_merged.tif,0.8,2,438287915,156,32.2366,33.7217,1.4852,0.024443871950658336,0.02060226646798651
tiny,chip_010_063_merged.tif,0.8,3,57681284,156,31.9785,34.1195,2.141,0.025181117527057918,0.019679995736082707
tiny,chip_010_063_merged.tif,0.8,4,1725219414,156,32.0488,34.3872,2.3384,0.024978134509986073,0.019082707786684108
tiny,chip_030_076_merged.tif,0.2,0,188996778,39,37.2404,37.4472,0.2068,0.013739786994981226,0.013416523633249288
tiny,chip_030_076_merged.tif,0.2,1,1856534908,39,37.4507,36.7678,-0.6829,0.0134111185020471,0.014508081947975341
tiny,chip_030_076_merged.tif,0.2,2,1475928277,39,35.2475,37.5431,2.2956,0.01728323360376397,0.013269207942630878
tiny,chip_030_076_merged.tif,0.2,3,995982759,39,36.4208,36.6948,0.2739,0.015099410770468965,0.014630528012521994
tiny,chip_030_076_merged.tif,0.2,4,615376128,39,36.4208,36.8419,0.4211,0.015099410770468965,0.01438483881841305
tiny,chip_030_076_merged.tif,0.4,0,1271205356,78,36.9717,37.1444,0.1727,0.014171473206031886,0.013892487029965228
tiny,chip_030_076_merged.tif,0.4,1,890598725,78,36.9715,37.1158,0.1443,0.014171799520018203,0.013938306168793354
tiny,chip_030_076_merged.tif,0.4,2,410653207,78,37.0421,37.7591,0.717,0.014057076230934948,0.012943299482200294
tiny,chip_030_076_merged.tif,0.4,3,30046576,78,35.9507,37.6881,1.7373,0.015939144212104787,0.01304953390212622
tiny,chip_030_076_merged.tif,0.4,4,1697584706,78,36.5923,37.0505,0.4582,0.014804201921126126,0.014043488404334835
tiny,chip_030_076_merged.tif,0.6,0,1333227999,117,36.7289,37.7356,1.0066,0.014573202512582309,0.012978365478913697
tiny,chip_030_076_merged.tif,0.6,1,952621368,117,36.5776,37.3721,0.7945,0.014829277766294719,0.013533028611412635
tiny,chip_030_076_merged.tif,0.6,2,572014737,117,36.3492,37.2377,0.8885,0.015224393482690958,0.01374405865774446
