backbone,mask_ratio,block_rmse_mean,block_rmse_std,random_rmse_mean,random_rmse_std
100M,0.2,0.02071426964849094,0.006631573708016054,0.015452213600322881,0.003973570882445177
100M,0.4,0.022890768603785208,0.007158808926689265,0.01645981312404933,0.00425750754189574
100M,0.6,0.024139091801795683,0.007274268131107294,0.018014738750835188,0.004771184793702446
100M,0.8,0.025557576188119754,0.00782590468542421,0.02070592361582694,0.005494020296053918
300M,0.2,0.02047788661902055,0.006210669601436391,0.014746486307674053,0.0036435298700240775
300M,0.4,0.022174809832663973,0.006750220010222971,0.015584675223993299,0.0039113866680058835
300M,0.6,0.023139334874239113,0.006982112380015608,0.01702394566100637,0.004419910896822369
300M,0.8,0.024404602918649418,0.007438346385529063,0.01963656500526983,0.0051678529012387005
600M,0.2,0.019280374382886017,0.006585041559697614,0.013224615563460955,0.003304890491942613
600M,0.4,0.020690855685617703,0.006804496278794317,0.013887846988428362,0.0035717938855956703
600M,0.6,0.02171956923834347,0.006766821032107529,0.015344180426899673,0.004011083042034601
600M,0.8,0.024096364345201807,0.007614078681231543,0.018235316623797387,0.004953934293550248
tiny,0.2,0.026185855722956227,0.007973187102473996,0.01907292567810693,0.004566988102029971
tiny,0.4,0.027617221254885794,0.008079511526568951,0.019621772401238854,0.0047381489321761784
tiny,0.6,0.028727639628092164,0.00826413758030843,0.020973088687932625,0.005196947251885296
tiny,0.8,0.029992709724080545,0.008713815926954707,0.023663662331975373,0.005925818369074355
