Found 500 chips matching multi_tile_generalization/study_chips_500/*merged.tif

Top 15 by (spring->summer + summer->fall) pixel variation:
                        chip |  spr->sum  sum->fall  spr->fall |    total
     chip_075_347_merged.tif |    0.0809     0.1074     0.0751 |   0.1883
     chip_282_263_merged.tif |    0.0574     0.1116     0.0779 |   0.1690
     chip_075_350_merged.tif |    0.0752     0.0903     0.0798 |   0.1655
     chip_064_354_merged.tif |    0.0823     0.0749     0.0691 |   0.1572
     chip_194_315_merged.tif |    0.1010     0.0549     0.0805 |   0.1559
     chip_234_371_merged.tif |    0.0738     0.0818     0.0433 |   0.1556
     chip_210_444_merged.tif |    0.0645     0.0895     0.0850 |   0.1539
     chip_197_366_merged.tif |    0.1009     0.0512     0.0650 |   0.1521
     chip_074_351_merged.tif |    0.0682     0.0831     0.0758 |   0.1513
     chip_232_372_merged.tif |    0.0718     0.0793     0.0487 |   0.1511
     chip_254_443_merged.tif |    0.0746     0.0762     0.0431 |   0.1509
     chip_252_264_merged.tif |    0.0566     0.0937     0.0681 |   0.1504
     chip_122_507_merged.tif |    0.0576     0.0924     0.1026 |   0.1501
     chip_064_352_merged.tif |    0.0697     0.0799     0.0694 |   0.1495
     chip_169_407_merged.tif |    0.0955     0.0516     0.0628 |   0.1471
