backbone,mask_ratio,n_chips,mae_mean,mae_std,psnr_mean,psnr_std,ssim_mean,ssim_std,masked_mae_mean,masked_mae_std,masked_psnr_mean,masked_psnr_std,masked_ssim_mean,masked_ssim_std
100M,0.1,500,0.000975,0.000298,46.586616,2.48085,0.993119,0.002662,0.009842,0.002558,36.48589,2.386882,0.923133,0.029672
100M,0.2,500,0.002043,0.000585,42.912491,2.362272,0.985127,0.005493,0.010296,0.002606,35.853668,2.296396,0.917311,0.029255
100M,0.3,500,0.003264,0.000826,40.367446,2.16743,0.975194,0.007837,0.011056,0.002632,35.051567,2.119273,0.906789,0.029433
100M,0.4,500,0.004832,0.001214,38.147019,2.117203,0.961502,0.011576,0.012065,0.002919,34.162396,2.105052,0.89298,0.032354
100M,0.5,500,0.00668,0.001587,36.234185,1.995652,0.94421,0.015759,0.013361,0.003157,33.222752,2.008413,0.87616,0.035477
100M,0.6,500,0.009109,0.0022,34.332661,2.004688,0.91994,0.02185,0.015174,0.003596,32.11218,1.998167,0.852948,0.040247
100M,0.7,500,0.012409,0.002995,32.419951,1.995162,0.886511,0.030313,0.017762,0.004238,30.85901,1.984895,0.822987,0.047659
100M,0.8,500,0.017359,0.004145,30.314935,1.951483,0.836624,0.042028,0.021734,0.005144,29.336213,1.947108,0.781771,0.056774
100M,0.9,500,0.025502,0.006074,27.930882,1.918738,0.76011,0.059265,0.028371,0.006741,27.467268,1.918831,0.723852,0.06927
300M,0.1,500,0.000929,0.000278,46.995201,2.413883,0.993672,0.00242,0.009382,0.002358,36.894468,2.30603,0.929374,0.02698
300M,0.2,500,0.001932,0.000539,43.378591,2.329842,0.986466,0.004936,0.009738,0.002405,36.319772,2.269742,0.924494,0.026525
300M,0.3,500,0.003088,0.000773,40.818419,2.148941,0.977304,0.007149,0.010456,0.002457,35.502545,2.099215,0.914285,0.026921
300M,0.4,500,0.004583,0.001142,38.566025,2.105568,0.964517,0.010666,0.011442,0.002741,34.581401,2.09242,0.900725,0.029998
300M,0.5,500,0.006362,0.001497,36.608961,1.992438,0.948073,0.014624,0.012724,0.002979,33.597526,2.006914,0.883974,0.033155
300M,0.6,500,0.008721,0.002091,34.652183,2.00825,0.924704,0.020586,0.014529,0.003422,32.4317,2.003079,0.860743,0.03831
300M,0.7,500,0.011931,0.002872,32.692305,2.001128,0.892154,0.028972,0.017077,0.004068,31.131365,1.991965,0.830818,0.045926
300M,0.8,500,0.016811,0.004022,30.524281,1.964028,0.842498,0.04085,0.021049,0.004994,29.545561,1.959528,0.788747,0.055507
300M,0.9,500,0.025038,0.005935,28.038236,1.905714,0.764392,0.058136,0.027855,0.006587,27.574623,1.906036,0.728104,0.068237
600M,0.1,500,0.000841,0.000242,47.82969,2.387955,0.994758,0.001952,0.008487,0.002083,37.7395,2.307954,0.984467,0.005861
600M,0.2,500,0.001745,0.000471,44.299619,2.260328,0.988686,0.003999,0.008654,0.00208,37.316973,2.205695,0.980833,0.006552
600M,0.3,500,0.0028,0.000708,41.718084,2.195864,0.980782,0.006214,0.009263,0.002247,36.51139,2.178673,0.974741,0.008281
600M,0.4,500,0.004014,0.000974,39.576657,2.120518,0.970649,0.00894,0.010124,0.002418,35.55563,2.126999,0.965949,0.01041
600M,0.5,500,0.005649,0.001386,37.530105,2.110994,0.955735,0.013101,0.011293,0.002699,34.51508,2.09597,0.952516,0.01393
600M,0.6,500,0.007748,0.001849,35.516811,2.035763,0.935321,0.017978,0.012967,0.003062,33.27716,2.032426,0.933113,0.018469
600M,0.7,500,0.010751,0.002549,33.451815,1.991536,0.904857,0.025979,0.015363,0.003644,31.901429,1.994671,0.903461,0.026213
600M,0.8,500,0.015364,0.003704,31.159299,1.951893,0.856848,0.037858,0.019214,0.004574,30.18574,1.946323,0.855774,0.037855
600M,0.9,500,0.023645,0.005532,28.438192,1.880575,0.775495,0.055947,0.026279,0.006117,27.978465,1.876986,0.77487,0.056027
tiny,0.1,500,0.001192,0.000348,44.908529,2.320043,0.990506,0.003399,0.012041,0.002943,34.807797,2.215989,0.896637,0.036695
tiny,0.2,500,0.002401,0.000671,41.633201,2.282595,0.980743,0.006702,0.012105,0.002992,34.574383,2.220378,0.894685,0.035557
tiny,0.3,500,0.003745,0.000933,39.294796,2.128162,0.969091,0.009445,0.012686,0.002981,33.978918,2.08274,0.885364,0.035063
tiny,0.4,500,0.005414,0.00134,37.299346,2.069735,0.954021,0.013461,0.013518,0.003212,33.314721,2.054268,0.873666,0.037174
tiny,0.5,500,0.007334,0.001735,35.562721,1.983145,0.935483,0.017946,0.014666,0.003448,32.551287,1.995291,0.858231,0.039916
tiny,0.6,500,0.009809,0.002373,33.827756,1.995147,0.910459,0.024439,0.016341,0.003879,31.607274,1.988675,0.836922,0.044606
tiny,0.7,500,0.013119,0.003162,32.052307,1.991698,0.876899,0.032646,0.018777,0.004472,30.491366,1.981334,0.809317,0.050826
tiny,0.8,500,0.018065,0.004358,30.07463,1.959496,0.827553,0.044347,0.022617,0.005404,29.095908,1.954328,0.770883,0.059273
tiny,0.9,500,0.026777,0.006284,27.617061,1.886787,0.748221,0.060923,0.029789,0.006968,27.153446,1.886304,0.712435,0.0707
