chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
0,300M,0.1,0.000985,47.1334,0.992705,0.008395,37.8281,0.933251,0.06
0,300M,0.2,0.002138,42.9979,0.985118,0.009525,36.5099,0.928657,0.07
0,300M,0.3,0.00351,39.4772,0.9709,0.010749,34.6165,0.899902,0.07
0,300M,0.4,0.004678,37.9787,0.961358,0.01146,34.0871,0.894145,0.08
0,300M,0.5,0.005041,37.2141,0.953451,0.012507,33.2678,0.865071,0.08
0,300M,0.6,0.008059,34.941,0.925115,0.014103,32.5106,0.848327,0.1
0,300M,0.7,0.010827,33.5027,0.898573,0.015603,31.9155,0.838081,0.11
0,300M,0.8,0.016611,30.2812,0.83273,0.020477,29.3726,0.776704,0.11
0,300M,0.9,0.027119,27.0184,0.750529,0.029205,26.6965,0.717548,0.12
1,300M,0.1,0.000914,45.8704,0.992601,0.009427,35.7354,0.914655,0.07
1,300M,0.2,0.001912,42.5768,0.984233,0.008714,35.9889,0.920438,0.09
1,300M,0.3,0.002819,40.1483,0.976837,0.010834,34.3014,0.903234,0.1
1,300M,0.4,0.004075,38.6682,0.964993,0.010793,34.438,0.898726,0.11
1,300M,0.5,0.005177,37.7498,0.95341,0.010681,34.6045,0.894527,0.13
1,300M,0.6,0.007702,34.6876,0.927874,0.013601,32.2183,0.869419,0.14
1,300M,0.7,0.009553,33.9216,0.909074,0.01347,32.4292,0.863995,0.16
1,300M,0.8,0.013056,32.0291,0.871028,0.016509,31.0098,0.829061,0.17
1,300M,0.9,0.01925,29.3945,0.811871,0.021684,28.8775,0.787498,0.2
2,300M,0.1,0.000517,51.6762,0.996469,0.005955,41.0581,0.95367,0.07
2,300M,0.2,0.001102,48.6326,0.993393,0.005401,41.7307,0.965918,0.09
2,300M,0.3,0.001647,45.6425,0.987329,0.006209,39.88,0.949455,0.1
2,300M,0.4,0.002421,44.1648,0.983958,0.006245,40.0504,0.954297,0.12
2,300M,0.5,0.00422,39.9605,0.963692,0.008108,37.1239,0.922264,0.14
2,300M,0.6,0.004631,39.3512,0.959292,0.008562,36.6817,0.91484,0.14
2,300M,0.7,0.006807,37.1818,0.937076,0.010263,35.3986,0.8953,0.16
2,300M,0.8,0.009306,35.7604,0.907206,0.011767,34.7412,0.874213,0.17
2,300M,0.9,0.015249,32.2494,0.855465,0.016791,31.8311,0.834116,0.19
3,300M,0.1,0.000547,49.4763,0.996398,0.006304,38.8582,0.947156,0.07
3,300M,0.2,0.000962,49.2262,0.995023,0.005548,41.6185,0.969218,0.08
3,300M,0.3,0.001907,45.1399,0.989737,0.006335,39.9258,0.961735,0.1
3,300M,0.4,0.002505,42.1819,0.983398,0.006376,38.1243,0.955344,0.12
3,300M,0.5,0.004637,38.2856,0.965783,0.009369,35.2308,0.921397,0.13
3,300M,0.6,0.00542,38.1941,0.9616,0.008853,36.0634,0.927591,0.15
3,300M,0.7,0.008486,34.8626,0.927121,0.011631,33.4934,0.889933,0.17
3,300M,0.8,0.01292,32.0153,0.888687,0.015729,31.161,0.854166,0.18
3,300M,0.9,0.018583,29.7797,0.836316,0.020348,29.3857,0.810931,0.19
4,300M,0.1,0.00124,44.1118,0.992127,0.01157,34.4114,0.917905,0.07
4,300M,0.2,0.002008,42.7677,0.985874,0.009841,35.8657,0.926861,0.09
4,300M,0.3,0.00376,39.7319,0.972954,0.010999,35.07,0.916535,0.11
4,300M,0.4,0.005259,37.3426,0.959019,0.012271,33.6628,0.890952,0.12
4,300M,0.5,0.006437,36.1149,0.949698,0.01328,32.9696,0.88236,0.13
4,300M,0.6,0.00855,34.5654,0.926445,0.015374,32.0171,0.84555,0.14
4,300M,0.7,0.012624,32.0086,0.885897,0.018329,30.3894,0.818498,0.16
4,300M,0.8,0.018149,30.1244,0.822086,0.022233,29.2431,0.764675,0.18
4,300M,0.9,0.026223,27.5422,0.735474,0.028713,27.1481,0.693403,0.19
5,300M,0.1,0.001157,45.2575,0.989782,0.010802,35.5571,0.894093,0.07
5,300M,0.2,0.001853,43.359,0.984928,0.010091,35.9995,0.914777,0.09
5,300M,0.3,0.003004,40.4251,0.975099,0.011543,34.5782,0.888818,0.1
5,300M,0.4,0.005437,37.0097,0.953133,0.012687,33.3299,0.881359,0.12
5,300M,0.5,0.006561,36.3765,0.939061,0.01299,33.4103,0.864551,0.13
5,300M,0.6,0.007908,34.7948,0.922237,0.014762,32.0842,0.834724,0.14
5,300M,0.7,0.011825,32.5875,0.883402,0.016794,31.0638,0.820844,0.16
5,300M,0.8,0.016225,30.9941,0.835594,0.020127,30.0581,0.778886,0.18
5,300M,0.9,0.023775,28.3489,0.754406,0.026477,27.8815,0.717473,0.19
6,300M,0.1,0.000869,48.2989,0.995053,0.007401,38.9936,0.95655,0.08
6,300M,0.2,0.00151,45.3291,0.991644,0.008223,37.9696,0.952653,0.09
6,300M,0.3,0.003118,40.734,0.979662,0.010186,35.593,0.925591,0.1
6,300M,0.4,0.00429,39.2928,0.96944,0.01013,35.561,0.919869,0.12
6,300M,0.5,0.006113,36.6397,0.952012,0.012611,33.4944,0.886392,0.13
6,300M,0.6,0.007917,35.5016,0.933759,0.01315,33.2978,0.877651,0.15
6,300M,0.7,0.013071,32.0136,0.877978,0.018042,30.6139,0.815548,0.17
