chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
0,tiny,0.1,0.001247,45.1328,0.989342,0.010624,35.8275,0.906885,0.5
0,tiny,0.2,0.002658,41.2451,0.978633,0.011841,34.7571,0.898747,0.08
0,tiny,0.3,0.004162,38.3084,0.96248,0.012746,33.4476,0.874961,0.12
0,tiny,0.4,0.005429,36.9683,0.951455,0.013302,33.0767,0.868272,0.11
0,tiny,0.5,0.005817,36.1245,0.942863,0.014433,32.1782,0.839632,0.12
0,tiny,0.6,0.009307,33.8014,0.907531,0.016287,31.371,0.817013,0.14
0,tiny,0.7,0.012087,32.7237,0.881347,0.017419,31.1366,0.813404,0.16
0,tiny,0.8,0.017739,29.9598,0.818092,0.021867,29.0512,0.761296,0.18
0,tiny,0.9,0.029611,26.5355,0.726592,0.031889,26.2137,0.695337,0.2
1,tiny,0.1,0.001112,44.3745,0.989498,0.011476,34.2395,0.880979,0.06
1,tiny,0.2,0.002286,41.4165,0.978976,0.01042,34.8286,0.898707,0.08
1,tiny,0.3,0.003388,38.3003,0.968487,0.013021,32.4534,0.871804,0.09
1,tiny,0.4,0.004618,37.8158,0.957469,0.012231,33.5856,0.880416,0.11
1,tiny,0.5,0.006032,36.5432,0.941116,0.012446,33.3979,0.86804,0.13
1,tiny,0.6,0.008392,34.1108,0.916721,0.014818,31.6414,0.850162,0.14
1,tiny,0.7,0.010263,33.6038,0.897158,0.014472,32.1114,0.849067,0.16
1,tiny,0.8,0.01443,31.348,0.855366,0.018247,30.3287,0.81159,0.18
1,tiny,0.9,0.02051,29.0784,0.800764,0.023104,28.5613,0.774685,0.19
2,tiny,0.1,0.000721,48.7121,0.994084,0.008315,38.094,0.919966,0.06
2,tiny,0.2,0.001495,46.1862,0.98914,0.007325,39.2843,0.944681,0.08
2,tiny,0.3,0.002077,43.9664,0.981772,0.007828,38.2039,0.92834,0.09
2,tiny,0.4,0.00291,42.7271,0.977413,0.007506,38.6127,0.935882,0.11
2,tiny,0.5,0.004942,38.9606,0.954881,0.009497,36.124,0.904444,0.13
2,tiny,0.6,0.005182,38.6818,0.952698,0.009582,36.0123,0.902469,0.15
2,tiny,0.7,0.007342,36.6973,0.928822,0.011069,34.9142,0.882107,0.15
2,tiny,0.8,0.010059,35.2718,0.897762,0.01272,34.2526,0.862929,0.17
2,tiny,0.9,0.016926,31.5222,0.843081,0.018638,31.1039,0.82092,0.2
3,tiny,0.1,0.000701,48.349,0.994969,0.008082,37.731,0.9335,0.06
3,tiny,0.2,0.001173,47.5282,0.993127,0.006762,39.9205,0.958415,0.07
3,tiny,0.3,0.002313,43.6694,0.985714,0.007685,38.4553,0.948313,0.09
3,tiny,0.4,0.002915,41.2259,0.979655,0.007421,37.1683,0.945551,0.11
3,tiny,0.5,0.005058,38.0193,0.959815,0.01022,34.9645,0.908107,0.13
3,tiny,0.6,0.006181,37.1925,0.953019,0.010095,35.0618,0.914295,0.15
3,tiny,0.7,0.009392,34.2242,0.91657,0.012873,32.855,0.876484,0.16
3,tiny,0.8,0.013469,31.9502,0.880853,0.016397,31.0959,0.845228,0.18
3,tiny,0.9,0.020027,29.0916,0.823152,0.021929,28.6976,0.798496,0.2
4,tiny,0.1,0.001546,42.3626,0.988547,0.014431,32.6622,0.880961,0.06
4,tiny,0.2,0.002547,40.8942,0.979093,0.01248,33.9923,0.891614,0.08
4,tiny,0.3,0.004698,37.832,0.961744,0.013745,33.1702,0.884298,0.1
4,tiny,0.4,0.006338,35.943,0.944841,0.014789,32.2632,0.857739,0.11
4,tiny,0.5,0.007653,34.8467,0.934617,0.015789,31.7014,0.850878,0.12
4,tiny,0.6,0.009472,33.9348,0.913796,0.017033,31.3865,0.822444,0.14
4,tiny,0.7,0.013967,31.2474,0.869427,0.020279,29.6282,0.794416,0.16
4,tiny,0.8,0.019555,29.6281,0.802436,0.023955,28.7467,0.741259,0.18
4,tiny,0.9,0.028485,27.1343,0.713999,0.03119,26.7403,0.675598,0.19
5,tiny,0.1,0.001396,43.7231,0.986276,0.013029,34.0227,0.854023,0.06
5,tiny,0.2,0.002277,41.1491,0.978689,0.012398,33.7896,0.87994,0.07
5,tiny,0.3,0.003544,38.9739,0.967048,0.013619,33.127,0.860148,0.09
5,tiny,0.4,0.006393,35.7283,0.939176,0.014918,32.0485,0.848168,0.11
5,tiny,0.5,0.007703,34.7315,0.924444,0.015251,31.7653,0.834286,0.13
5,tiny,0.6,0.008766,34.0089,0.909424,0.016363,31.2983,0.812724,0.13
5,tiny,0.7,0.012732,32.0891,0.868512,0.018083,30.5653,0.800322,0.16
5,tiny,0.8,0.017424,30.538,0.820794,0.021615,29.602,0.762916,0.18
5,tiny,0.9,0.024704,27.9421,0.742784,0.027511,27.4746,0.707429,0.19
6,tiny,0.1,0.001185,45.4858,0.99162,0.010098,36.1805,0.927305,0.06
6,tiny,0.2,0.001926,43.2136,0.986815,0.010484,35.8541,0.926342,0.07
6,tiny,0.3,0.003744,39.3713,0.972134,0.012229,34.2303,0.900504,0.09
6,tiny,0.4,0.005136,37.9005,0.959515,0.012128,34.1687,0.897376,0.11
6,tiny,0.5,0.007308,35.2221,0.936037,0.015079,32.0768,0.852182,0.12
6,tiny,0.6,0.008972,34.5566,0.919964,0.014903,32.3529,0.854999,0.14
6,tiny,0.7,0.014615,31.2639,0.862227,0.020172,29.8642,0.794696,0.16
6,tiny,0.8,0.019054,29.822,0.812787,0.023341,28.9406,0.756868,0.18
6,tiny,0.9,0.026707,27.7689,0.736414,0.029408,27.3506,0.701431,0.19
7,tiny,0.1,0.000792,47.7112,0.994714,0.008171,37.5762,0.949733,0.06
7,tiny,0.2,0.002333,42.0716,0.984517,0.010391,35.5835,0.935954,0.08
7,tiny,0.3,0.003001,40.8498,0.977701,0.009643,35.7805,0.920899,0.1
7,tiny,0.4,0.004513,38.4328,0.968228,0.010167,34.9055,0.920785,0.12
7,tiny,0.5,0.006392,36.0669,0.950457,0.012283,33.2304,0.894754,0.13
7,tiny,0.6,0.008547,34.6404,0.931096,0.013296,32.7216,0.883388,0.15
7,tiny,0.7,0.009401,33.7895,0.920279,0.014741,31.836,0.861172,0.15
7,tiny,0.8,0.016284,30.7223,0.860656,0.020329,29.7587,0.814508,0.17
7,tiny,0.9,0.026782,27.4748,0.779353,0.029491,27.0564,0.753022,0.19
8,tiny,0.1,0.000804,48.5263,0.994573,0.007881,38.6141,0.949284,0.06
8,tiny,0.2,0.001956,42.8013,0.986564,0.010088,35.6765,0.927731,0.08
8,tiny,0.3,0.002681,42.3277,0.98124,0.008905,37.1137,0.937125,0.09
8,tiny,0.4,0.004576,39.0432,0.965654,0.009856,35.7111,0.916638,0.12
8,tiny,0.5,0.005493,37.3348,0.954602,0.011703,34.0501,0.897278,0.12
8,tiny,0.6,0.007822,34.976,0.933027,0.013331,32.6604,0.874055,0.14
8,tiny,0.7,0.01224,32.567,0.890904,0.016545,31.2581,0.840373,0.17
8,tiny,0.8,0.015677,31.4437,0.856507,0.018968,30.6163,0.815279,0.18
8,tiny,0.9,0.024999,27.981,0.773693,0.028487,27.4137,0.72916,0.19
9,tiny,0.1,0.002144,40.0356,0.983396,0.022112,29.9006,0.792167,0.06
9,tiny,0.2,0.003272,38.7949,0.974038,0.018323,31.3131,0.828133,0.07
