run_id,timestamp,backbone,mask_position,n_frames,gap_type,tile_id,masked_frame_idx,gap_days,mae,psnr,ssim,loss,mask_ratio,checkpoint
run_20260403_170457_tiny_middle_T3_regular,2026-04-03T17:04:57.534452,tiny,middle,3,regular,tile_mexico_2018,1,"[80, 160]",0.084959,19.432,0.71076,0.56584,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170459_tiny_middle_T3_irregular,2026-04-03T17:04:59.741003,tiny,middle,3,irregular,tile_mexico_2018,1,"[80, 160]",0.084959,19.432,0.71076,0.56584,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170502_tiny_middle_T4_regular,2026-04-03T17:05:02.066182,tiny,middle,4,regular,tile_mexico_2018,1,"[80, 95, 65]",0.077848,20.2581,0.71772,0.577776,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170503_tiny_middle_T4_irregular,2026-04-03T17:05:03.951426,tiny,middle,4,irregular,tile_mexico_2018,1,"[80, 95, 65]",0.077848,20.2581,0.71772,0.577776,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170505_tiny_endpoint_T3_regular,2026-04-03T17:05:05.753842,tiny,endpoint,3,regular,tile_mexico_2018,2,"[80, 160]",0.054172,22.8331,0.688196,0.171984,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170507_tiny_endpoint_T3_irregular,2026-04-03T17:05:07.182908,tiny,endpoint,3,irregular,tile_mexico_2018,2,"[80, 160]",0.054172,22.8331,0.688196,0.171984,0.3333,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170509_tiny_endpoint_T4_regular,2026-04-03T17:05:09.135996,tiny,endpoint,4,regular,tile_mexico_2018,3,"[80, 95, 65]",0.067079,21.4226,0.672588,0.352156,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170510_tiny_endpoint_T4_irregular,2026-04-03T17:05:10.905596,tiny,endpoint,4,irregular,tile_mexico_2018,3,"[80, 95, 65]",0.067079,21.4226,0.672588,0.352156,0.25,Prithvi_EO_V2_tiny_TL.pt
run_20260403_170513_100M_middle_T3_regular,2026-04-03T17:05:13.539764,100M,middle,3,regular,tile_mexico_2018,1,"[80, 160]",0.076609,20.9777,0.754114,0.441597,0.3333,Prithvi_EO_V2_100M_TL.pt
run_20260403_170516_100M_middle_T3_irregular,2026-04-03T17:05:16.478801,100M,middle,3,irregular,tile_mexico_2018,1,"[80, 160]",0.076609,20.9777,0.754114,0.441597,0.3333,Prithvi_EO_V2_100M_TL.pt
